company_name,high,low,last_price,prev_close,change,percent_gain
JBM Auto,732.80,643.95,712.95,625.85,87.1,13.92
Hind Copper,282.40,250.99,280.05,248.58,31.47,12.66
Guj Mineral,577.80,516.50,569.85,514.35,55.5,10.79
Garden Reach Sh,"2,586.40","2,357.00","2,581.90","2,356.20",225.7,9.58
BEML,"4,470.00","4,056.40","4,420.40","4,051.40",369,9.11
Gujarat Pipavav,163.44,151.80,161.28,151.79,9.49,6.25
Bharat Dynamics,"1,577.30","1,481.60","1,566.50","1,481.60",84.9,5.73
Cochin Shipyard,"1,755.00","1,641.70","1,745.70","1,651.20",94.5,5.72
Data Patterns,"2,726.30","2,551.10","2,711.00","2,576.90",134.1,5.2
Mazagon Dock,"2,939.40","2,792.10","2,924.70","2,794.50",130.2,4.66
Nuvama Wealth,"6,520.00","6,159.00","6,443.50","6,169.50",274,4.44
Supreme Ind,"4,548.50","4,356.10","4,532.70","4,353.30",179.4,4.12
MOTHERSON,105.30,100.57,104.69,100.67,4.02,3.99
HFCL,73.70,71.07,73.02,70.28,2.74,3.9
Adani Power,650.50,627.80,648.55,624.65,23.9,3.83
Hind Zinc,464.35,447.50,462.95,446.25,16.7,3.74
Bharat Elec,399.85,385.30,399.30,385.15,14.15,3.67
Hindustan Aeron,"4,750.00","4,581.20","4,745.60","4,581.20",164.4,3.59
Triveni Turbine,538.70,513.65,531.65,513.40,18.25,3.55
Bajaj Finance,"1,004.60",970.85,"1,003.25",970.25,33,3.4
Vodafone Idea,7.70,7.42,7.66,7.41,0.25,3.37
Neuland Lab,"16,217.00","15,478.00","16,049.00","15,554.00",495,3.18
TITAGARH,930.00,901.25,929.00,900.90,28.1,3.12
Vedanta,455.00,439.10,450.90,437.70,13.2,3.02
Solar Ind,"14,669.00","14,002.00","14,403.00","13,985.00",418,2.99
Gland,"2,027.00","1,952.00","2,021.20","1,965.80",55.4,2.82
Lupin,"2,055.00","2,021.10","2,043.40","1,988.00",55.4,2.79
Jindal Saw,209.95,202.75,207.96,202.53,5.43,2.68
Olectra Greente,"1,656.70","1,610.80","1,646.60","1,604.20",42.4,2.64
Railtel,379.15,365.80,373.00,363.40,9.6,2.64
NLC India,266.20,257.20,262.74,256.26,6.48,2.53
INDUS TOWERS,363.05,354.05,361.85,353.25,8.6,2.43
Gujarat Fluoro,"3,764.90","3,626.90","3,715.70","3,629.30",86.4,2.38
Hitachi Energy,"19,990.00","19,470.00","19,911.00","19,450.00",461,2.37
HBL Eng,876.75,846.90,873.30,853.30,20,2.34
PNB Housing Fin,835.90,811.00,830.15,812.35,17.8,2.19
Graphite India,540.90,519.00,533.40,522.15,11.25,2.15
Bajaj Finserv,"2,089.00","2,034.30","2,081.50","2,037.80",43.7,2.14
Piramal Enter,"1,092.00","1,055.00","1,083.70","1,061.20",22.5,2.12
Hyundai Motor,"2,567.20","2,501.80","2,560.70","2,507.80",52.9,2.11
