company_name,high,low,last_price,prev_close,change,percent_gain
Granules India,512.90,467.90,492.25,467.25,25,5.35
Sammaan Capital,126.83,118.55,123.96,117.97,5.99,5.08
NAVA,696.00,652.50,687.60,656.20,31.4,4.79
CG Power ,699.75,668.25,694.30,664.00,30.3,4.56
CreditAccess Gr,"1,410.60","1,323.10","1,399.90","1,343.00",56.9,4.24
RBL Bank,267.35,251.50,261.05,250.85,10.2,4.07
Godfrey Phillip,"11,400.00","10,525.50","11,003.50","10,594.00",409.5,3.87
GE Vernova TD,"2,802.00","2,662.70","2,779.20","2,683.80",95.4,3.55
HBL Eng,835.00,776.55,807.10,780.90,26.2,3.36
Colgate,"2,357.90","2,250.00","2,331.80","2,262.70",69.1,3.05
Olectra Greente,"1,565.00","1,503.00","1,542.20","1,501.40",40.8,2.72
Escorts Kubota,"3,618.00","3,436.90","3,567.80","3,475.20",92.6,2.66
Neuland Lab,"13,567.00","13,152.00","13,455.00","13,115.00",340,2.59
Elecon Eng,557.10,538.20,552.30,538.65,13.65,2.53
Elecon Eng,557.10,538.20,552.30,538.65,13.65,2.53
Redington,241.95,233.05,240.85,235.15,5.7,2.42
Sapphire Foods,328.50,317.80,327.05,319.45,7.6,2.38
Sapphire Foods,328.50,317.80,327.05,319.45,7.6,2.38
Amara Raja,993.20,967.00,990.25,967.70,22.55,2.33
United Spirits,"1,315.30","1,284.20","1,311.00","1,281.50",29.5,2.3
Sarda Energy,605.00,588.10,598.35,585.10,13.25,2.26
Sarda Energy,605.00,588.10,598.35,585.10,13.25,2.26
Yes Bank,19.55,18.71,19.10,18.68,0.42,2.25
ITC,410.45,401.90,409.75,400.90,8.85,2.21
Dalmia Bharat,"2,408.50","2,355.00","2,401.50","2,351.40",50.1,2.13
CenturyPlyboard,754.20,727.45,746.40,730.95,15.45,2.11
CCL Products,874.00,850.70,871.50,853.80,17.7,2.07
Marico,727.00,709.30,725.85,711.60,14.25,2
Syrma SGS,764.00,736.30,753.25,738.60,14.65,1.98
Campus Active,266.90,259.35,264.30,259.20,5.1,1.97
Finolex Ind,212.25,207.60,211.92,207.82,4.1,1.97
Brainbees Solu,366.75,351.35,362.20,355.25,6.95,1.96
Coromandel Int,"2,323.00","2,240.00","2,309.10","2,265.20",43.9,1.94
Bosch,"40,350.00","39,060.00","39,960.00","39,225.00",735,1.87
CG Consumer,334.40,323.05,330.00,324.05,5.95,1.84
Britannia,"5,893.50","5,671.00","5,824.00","5,721.00",103,1.8
Bata India,"1,119.90","1,078.10","1,098.10","1,079.40",18.7,1.73
CRISIL,"5,034.00","4,897.50","4,986.00","4,905.50",80.5,1.64
Gillette India,"10,175.00","9,871.00","10,095.00","9,932.00",163,1.64
V-Guard Ind,365.00,355.55,363.35,357.60,5.75,1.61
Clean Science,"1,188.00","1,162.00","1,174.50","1,156.10",18.4,1.59
AstraZeneca,"8,514.50","8,287.00","8,460.50","8,329.00",131.5,1.58
Bharat Elec,371.00,361.60,369.40,363.85,5.55,1.53
Shriram Finance,588.65,566.50,580.25,571.65,8.6,1.5
Shriram Finance,588.65,566.50,580.25,571.65,8.6,1.5
LIC Housing Fin,558.35,545.00,555.20,547.35,7.85,1.43
Dabur India,528.55,509.70,521.10,513.85,7.25,1.41
Jyoti CNC Auto,918.20,899.00,911.20,899.20,12,1.33
CAMS,"3,758.90","3,645.00","3,705.20","3,657.70",47.5,1.3
GlaxoSmithKline,"2,815.00","2,751.00","2,785.00","2,749.20",35.8,1.3
AIA Engineering,"3,069.80","3,010.90","3,056.30","3,017.40",38.9,1.29
Rattanindia Ent,63.04,59.50,61.36,60.58,0.78,1.29
Vijaya Diagnost,"1,014.90",985.00,"1,007.80",995.00,12.8,1.29
IRB Infra,43.67,42.22,42.90,42.36,0.54,1.27
IRB Infra,43.67,42.22,42.90,42.36,0.54,1.27
Firstsource Sol,351.50,342.80,351.00,346.75,4.25,1.23
BASF,"4,740.00","4,537.60","4,609.40","4,553.90",55.5,1.22
PNC Infratech,309.00,298.00,303.95,300.30,3.65,1.22
Ramco Cements,"1,051.00","1,025.00","1,046.80","1,034.30",12.5,1.21
Aadhar Housing ,508.35,495.70,502.95,497.00,5.95,1.2
Asian Paints,"2,531.60","2,490.00","2,518.60","2,489.00",29.6,1.19
Avenue Supermar,"4,800.50","4,680.00","4,755.60","4,699.90",55.7,1.19
Trent,"5,411.00","5,230.00","5,298.00","5,235.50",62.5,1.19
Larsen,"3,615.00","3,540.20","3,601.00","3,560.10",40.9,1.15
Authum Invest,"3,250.00","3,183.50","3,232.90","3,196.40",36.5,1.14
Aster DM Health,607.50,570.05,601.05,594.45,6.6,1.11
Emami,575.25,562.50,573.60,567.45,6.15,1.08
GAIL,174.00,170.06,173.07,171.22,1.85,1.08
Voltas,"1,382.50","1,345.90","1,374.00","1,359.30",14.7,1.08
Sai Life Sci,834.40,804.55,824.70,816.05,8.65,1.06
JB Chemicals,"1,729.00","1,705.40","1,724.30","1,706.40",17.9,1.05
JB Chemicals,"1,729.00","1,705.40","1,724.30","1,706.40",17.9,1.05
Cohance Life,888.00,862.00,880.60,871.65,8.95,1.03
Apollo Tyres,463.55,454.70,462.20,457.55,4.65,1.02
