company_name,high,low,last_price,prev_close,change,percent_gain
ICICI Lombard ,"2,040.00","1,895.10","2,020.30","1,854.80",165.5,8.92
Bank of Mah,60.24,55.34,59.30,55.11,4.19,7.6
Persistent,"5,738.40","5,465.50","5,724.60","5,337.90",386.7,7.24
CESC,176.80,168.71,176.20,167.43,8.77,5.24
Ola Electric,52.75,50.60,52.75,50.24,2.51,5
Poonawalla Fin,544.10,514.05,541.90,517.20,24.7,4.78
Sobha,"1,542.00","1,441.00","1,506.90","1,439.20",67.7,4.7
Vodafone Idea,8.82,8.37,8.75,8.36,0.39,4.67
Brigade Ent,964.45,910.00,956.80,914.95,41.85,4.57
Prestige Estate,"1,700.00","1,593.40","1,676.00","1,603.60",72.4,4.51
Tata Comm,"1,999.00","1,880.00","1,955.10","1,872.60",82.5,4.41
Newgen Software,909.80,849.95,887.00,849.65,37.35,4.4
Capri Global,196.65,185.10,193.86,185.79,8.07,4.34
IIFL Finance,508.50,485.25,506.25,485.25,21,4.33
SignatureGlobal,"1,047.90","1,001.00","1,043.60","1,000.70",42.9,4.29
Nestle,"1,225.00","1,175.50","1,223.00","1,175.50",47.5,4.04
Bajaj Finance,"1,063.00","1,018.40","1,059.90","1,019.15",40.75,4
Intellect Desig,"1,019.80",958.00,994.95,957.50,37.45,3.91
Aditya Birla F,83.30,80.22,83.24,80.14,3.1,3.87
IOB,40.48,38.51,40.09,38.60,1.49,3.86
COFORGE,"1,771.80","1,710.00","1,765.40","1,700.50",64.9,3.82
AU Small Financ,807.00,776.10,802.10,772.65,29.45,3.81
Godrej Prop,"2,145.00","2,067.40","2,135.60","2,057.40",78.2,3.8
Star Health,490.00,465.70,485.10,467.45,17.65,3.78
Authum Invest,"3,268.20","3,149.60","3,249.70","3,134.30",115.4,3.68
Hind Copper,343.35,330.45,341.90,330.15,11.75,3.56
TBO Tek,"1,560.00","1,500.90","1,550.20","1,497.70",52.5,3.51
Home First,"1,278.00","1,220.70","1,263.10","1,220.70",42.4,3.47
NCC,212.06,204.18,211.10,204.08,7.02,3.44
360 ONE WAM,"1,172.00","1,117.30","1,164.50","1,126.70",37.8,3.35
L&T Finance,272.19,262.87,271.55,262.93,8.62,3.28
Alkyl Amines,"1,926.00","1,812.20","1,900.20","1,840.90",59.3,3.22
Gujarat Pipavav,164.60,156.40,163.28,158.19,5.09,3.22
Bajaj Finserv,"2,088.80","2,020.10","2,084.10","2,019.40",64.7,3.2
