company_name,high,low,last_price,prev_close,change,percent_gain
Chennai Petro,892.00,806.50,885.00,809.70,75.3,9.3
Sagility,57.89,52.67,54.58,50.87,3.71,7.29
PB Fintech,"1,851.00","1,764.60","1,844.50","1,723.40",121.1,7.03
BHEL,262.37,245.12,261.29,245.39,15.9,6.48
Five-Star Busin,659.90,606.00,642.75,605.05,37.7,6.23
AB Capital,328.80,309.60,326.80,310.80,16,5.15
Neuland Lab,"16,205.00","15,398.00","16,158.00","15,406.00",752,4.88
CreditAccess Gr,"1,483.80","1,390.30","1,472.00","1,403.70",68.3,4.87
NLC India,265.45,251.85,263.90,252.10,11.8,4.68
Netweb,"4,216.00","3,951.00","4,103.90","3,924.20",179.7,4.58
Aditya Birla Re,"1,898.70","1,793.20","1,890.40","1,817.80",72.6,3.99
IIFL Finance,549.30,521.00,541.65,523.00,18.65,3.57
Sapphire Foods,310.50,295.00,301.40,291.45,9.95,3.41
Oil India,436.20,420.30,434.75,420.50,14.25,3.39
Canara Bank,134.25,127.80,132.89,128.77,4.12,3.2
C. E. Info Syst,"1,845.00","1,761.00","1,830.00","1,779.00",51,2.87
BEML,"4,536.00","4,303.20","4,435.70","4,312.50",123.2,2.86
Craftsman,"6,709.00","6,402.00","6,654.00","6,471.50",182.5,2.82
JK Tyre Ind,441.90,421.25,436.10,424.15,11.95,2.82
BLS Internation,325.30,309.95,317.30,308.85,8.45,2.74
BPCL,359.80,345.30,357.60,348.10,9.5,2.73
NBCC (India),118.90,115.11,118.37,115.22,3.15,2.73
CAMS,"3,980.00","3,860.00","3,957.10","3,855.50",101.6,2.64
Hitachi Energy,"18,045.00","17,350.00","17,933.00","17,482.00",451,2.58
Adani Green Ene,"1,151.80","1,088.70","1,140.10","1,112.60",27.5,2.47
Max Financial,"1,564.70","1,514.70","1,556.20","1,518.80",37.4,2.46
Hyundai Motor,"2,428.70","2,331.00","2,413.70","2,357.70",56,2.38
Westlife Food,610.00,584.00,600.70,587.35,13.35,2.27
Ceat,"4,165.00","4,004.80","4,104.10","4,014.80",89.3,2.22
India Cements,430.45,389.85,400.00,391.35,8.65,2.21
Divis Labs,"6,695.00","6,536.50","6,655.00","6,512.00",143,2.2
Oberoi Realty,"1,765.00","1,721.50","1,750.30","1,713.40",36.9,2.15
Glenmark,"1,888.30","1,824.00","1,882.80","1,843.30",39.5,2.14
Welspun Corp,932.00,899.50,926.15,906.95,19.2,2.12
MRPL,168.75,158.14,162.58,159.42,3.16,1.98
Gravita India,"1,687.50","1,625.60","1,674.40","1,643.20",31.2,1.9
Lemon Tree,168.75,164.41,168.21,165.08,3.13,1.9
Blue Dart,"7,036.00","6,334.50","6,694.00","6,572.00",122,1.86
Engineers India,207.20,200.29,205.02,201.28,3.74,1.86
RHI Magnesita,473.85,457.55,472.25,463.75,8.5,1.83
Gujarat Pipavav,171.54,165.50,169.02,166.01,3.01,1.81
eClerx Services,"4,749.90","4,629.90","4,721.30","4,639.60",81.7,1.76
Motilal Oswal,"1,033.00",998.85,"1,025.30","1,007.80",17.5,1.74
Intellect Desig,"1,063.90","1,035.00","1,046.75","1,028.90",17.85,1.73
Anand Rathi,"3,165.00","3,086.50","3,139.40","3,086.40",53,1.72
HUDCO,240.65,233.40,239.74,235.68,4.06,1.72
Nippon,882.65,841.70,871.80,857.90,13.9,1.62
GMR Airports,95.50,93.20,94.47,92.97,1.5,1.61
Elecon Eng,572.20,558.00,568.80,560.00,8.8,1.57
Chalet Hotels,967.70,948.65,965.55,950.75,14.8,1.56
Coal India,388.95,379.30,387.70,382.00,5.7,1.49
Bayer CropScien,"5,020.00","4,870.70","4,925.70","4,854.50",71.2,1.47
Godawari Power,286.15,279.02,282.42,278.44,3.98,1.43
Timken,"3,063.70","3,005.00","3,055.80","3,012.70",43.1,1.43
HEG,598.00,570.50,588.85,580.60,8.25,1.42
Polycab,"7,868.50","7,698.00","7,845.00","7,735.50",109.5,1.42
Can Fin Homes,879.40,858.00,874.65,862.85,11.8,1.37
AstraZeneca,"9,497.00","9,268.00","9,469.00","9,346.50",122.5,1.31
MMTC,70.35,68.12,69.62,68.75,0.87,1.27
AFFLE 3I,"1,942.90","1,905.30","1,933.00","1,909.70",23.3,1.22
EIH,395.75,387.00,394.80,390.05,4.75,1.22
Firstsource Sol,354.20,348.25,353.15,348.90,4.25,1.22
Jubilant Ing.,701.00,684.90,697.50,689.15,8.35,1.21
Anant Raj,653.10,633.20,643.25,635.60,7.65,1.2
Indegene,557.50,545.05,552.05,545.50,6.55,1.2
Persistent,"5,967.00","5,881.00","5,961.70","5,891.10",70.6,1.2
Mah Seamless,581.10,572.80,579.25,572.80,6.45,1.13
Sobha,"1,583.00","1,547.60","1,576.80","1,559.40",17.4,1.12
GE Shipping,"1,090.00","1,066.75","1,083.65","1,071.90",11.75,1.1
IFCI,59.60,57.10,57.69,57.07,0.62,1.09
Zen Tech,"1,386.90","1,353.70","1,376.90","1,362.10",14.8,1.09
ACME Solar,289.75,283.00,288.60,285.60,3,1.05
AAVAS Financier,"1,688.10","1,647.80","1,680.80","1,665.30",15.5,0.93
Metropolis,"1,971.50","1,925.10","1,962.80","1,944.80",18,0.93
Cera Sanitary,"6,195.00","6,050.00","6,183.50","6,126.50",57,0.93
Ashok Leyland,141.30,139.00,140.77,139.48,1.29,0.92
Latent View,424.90,417.25,423.20,419.35,3.85,0.92
Pfizer,"5,346.00","5,179.50","5,318.00","5,269.50",48.5,0.92
Laurus Labs,972.55,948.20,970.35,961.70,8.65,0.9
Graphite India,651.80,620.85,636.05,630.55,5.5,0.87
Dixon Technolog,"15,714.00","15,443.00","15,644.00","15,512.00",132,0.85
Praj Industries,345.25,340.45,343.65,340.80,2.85,0.84
Patanjali Foods,613.40,603.25,609.55,604.70,4.85,0.8
Biocon,380.20,371.65,376.60,373.70,2.9,0.78
Syrma SGS,829.90,805.10,823.15,816.95,6.2,0.76
Larsen,"4,062.60","3,975.60","3,987.50","3,958.10",29.4,0.74
PNC Infratech,288.25,282.85,284.65,282.65,2,0.71
Adani Total Gas,643.50,631.40,638.65,634.25,4.4,0.69
JSW Energy,541.30,529.00,538.15,534.45,3.7,0.69
Whirlpool,"1,427.00","1,400.60","1,420.90","1,411.20",9.7,0.69
Bharat Elec,410.65,404.30,409.90,407.20,2.7,0.66
MphasiS,"2,907.00","2,854.00","2,893.70","2,874.60",19.1,0.66
Guj Mineral,605.00,585.10,595.10,591.20,3.9,0.66
KPR Mill,"1,092.80","1,060.70","1,087.10","1,080.20",6.9,0.64
UNO Minda,"1,228.90","1,207.70","1,222.80","1,215.00",7.8,0.64
PVR INOX,"1,249.70","1,225.10","1,241.00","1,233.10",7.9,0.64
Natco Pharma,835.60,824.25,833.30,828.10,5.2,0.63
Cummins,"4,398.40","4,310.00","4,384.20","4,357.90",26.3,0.6
Hindalco,864.00,848.10,861.35,856.25,5.1,0.6
Action Const,"1,119.00","1,101.50","1,112.00","1,105.50",6.5,0.59
Godrej Consumer,"1,118.60","1,098.40","1,113.10","1,106.80",6.3,0.57
COFORGE,"1,813.00","1,788.90","1,807.70","1,797.40",10.3,0.57
JB Chemicals,"1,710.00","1,680.00","1,706.40","1,696.90",9.5,0.56
Suzlon Energy,59.33,57.92,58.51,58.19,0.32,0.55
Nestle,"1,281.40","1,267.70","1,279.90","1,273.00",6.9,0.54
Reliance Power,47.75,45.60,46.55,46.30,0.25,0.54
Granules India,576.00,569.20,574.30,571.30,3,0.53
United Spirits,"1,399.90","1,375.90","1,394.60","1,387.40",7.2,0.52
KEI Industries,"4,128.90","4,065.00","4,109.00","4,088.20",20.8,0.51
Rashtriya Chem,153.70,150.40,151.52,150.77,0.75,0.5
JBM Auto,691.20,678.00,680.95,677.65,3.3,0.49
Bikaji Foods,737.85,729.65,736.35,732.85,3.5,0.48
Caplin Labs,"2,036.00","2,012.10","2,030.50","2,021.00",9.5,0.47
IGIL,342.55,337.20,339.60,338.05,1.55,0.46
UltraTechCement,"12,084.00","11,950.00","12,053.00","11,999.00",54,0.45
Gujarat Fluoro,"3,660.00","3,600.00","3,647.90","3,632.10",15.8,0.44
Gillette India,"9,226.00","9,045.00","9,103.50","9,063.50",40,0.44
LTIMindtree,"5,710.00","5,626.00","5,699.00","5,674.00",25,0.44
Brigade Ent,"1,042.00","1,015.95","1,038.90","1,034.50",4.4,0.43
SUMITOMO,510.00,505.65,508.75,506.55,2.2,0.43
Endurance Techn,"2,894.20","2,830.50","2,852.20","2,840.20",12,0.42
Maruti Suzuki,"16,275.00","16,077.00","16,206.00","16,138.00",68,0.42
RBL Bank,327.40,321.70,324.95,323.60,1.35,0.42
Campus Active,281.20,277.00,280.00,278.85,1.15,0.41
Indian Hotels,752.25,742.60,749.65,746.75,2.9,0.39
Sai Life Sci,939.95,907.70,920.35,916.75,3.6,0.39
CenturyPlyboard,764.40,747.05,755.90,753.25,2.65,0.35
3M India,"30,020.00","29,465.00","29,865.00","29,765.00",100,0.34
Olectra Greente,"1,538.80","1,506.40","1,531.00","1,526.00",5,0.33
SKF India,"2,219.00","2,134.20","2,152.00","2,144.90",7.1,0.33
Amara Raja,"1,019.55","1,008.70","1,016.45","1,013.30",3.15,0.31
Saregama India,462.30,457.05,459.75,458.35,1.4,0.31
Adani Power,164.70,160.20,162.57,162.10,0.47,0.29
