company_name,high,low,last_price,prev_close,change,percent_gain
Tata Inv Corp,885.00,814.00,875.00,805.00,70,8.7
ACME Solar,293.75,276.40,290.35,274.75,15.6,5.68
Jubilant Pharmo,"1,184.80","1,102.80","1,143.70","1,096.30",47.4,4.32
SBFC Finance,117.75,112.12,115.80,111.15,4.65,4.18
Sarda Energy,549.90,528.05,545.45,526.25,19.2,3.65
Birlasoft,353.65,340.00,351.05,338.95,12.1,3.57
Nuvama Wealth,"7,290.00","7,000.00","7,260.00","7,019.50",240.5,3.43
Poly Medicure,"1,969.00","1,896.00","1,934.70","1,879.40",55.3,2.94
Whirlpool,"1,429.00","1,352.00","1,397.50","1,357.90",39.6,2.92
eClerx Services,"4,527.00","4,335.90","4,439.80","4,314.40",125.4,2.91
Sapphire Foods,299.00,289.75,294.55,286.75,7.8,2.72
Gravita India,"1,610.00","1,563.90","1,601.70","1,559.60",42.1,2.7
Wockhardt,"1,380.00","1,348.00","1,372.70","1,339.00",33.7,2.52
Sterling Wilson,232.29,226.60,230.46,224.81,5.65,2.51
Swiggy,433.90,424.00,432.10,421.90,10.2,2.42
Shipping Corp,233.10,230.12,231.64,226.19,5.45,2.41
Jindal Saw,191.71,187.99,191.04,186.60,4.44,2.38
Mah Seamless,587.25,573.30,583.95,570.60,13.35,2.34
Cohance Life,917.85,875.10,898.30,878.40,19.9,2.27
Home First,"1,260.00","1,229.20","1,253.00","1,225.30",27.7,2.26
Data Patterns,"2,850.00","2,801.00","2,842.00","2,782.00",60,2.16
Welspun Corp,853.85,837.50,850.20,832.85,17.35,2.08
Suzlon Energy,54.34,53.40,54.18,53.09,1.09,2.05
Ceat,"4,350.60","4,122.90","4,289.70","4,203.90",85.8,2.04
Route,741.00,730.10,737.50,722.85,14.65,2.03
Syrma SGS,801.30,783.90,795.65,779.90,15.75,2.02
Zen Tech,"1,406.00","1,385.00","1,400.20","1,373.10",27.1,1.97
LT Foods,432.40,425.15,430.90,422.60,8.3,1.96
Techno Electric,"1,364.00","1,339.00","1,357.20","1,331.10",26.1,1.96
Intellect Desig,975.95,956.45,970.10,951.50,18.6,1.95
Triveni Turbine,534.50,520.00,528.20,518.10,10.1,1.95
Balrampur Chini,471.65,459.80,468.70,459.80,8.9,1.94
PCBL Chemical,371.50,362.85,368.30,361.30,7,1.94
Carborundum,916.50,895.10,909.85,892.65,17.2,1.93
Elgi Equipments,478.80,470.00,475.50,466.60,8.9,1.91
Elecon Eng,555.40,549.00,553.70,543.65,10.05,1.85
SKF India,"2,266.40","2,200.10","2,240.60","2,200.00",40.6,1.85
Sammaan Capital,175.95,173.40,175.12,171.99,3.13,1.82
Indiamart Inter,"2,385.50","2,335.00","2,376.70","2,334.70",42,1.8
Nippon,971.90,947.05,968.20,951.05,17.15,1.8
Schaeffler Ind,"3,949.00","3,875.00","3,927.90","3,860.10",67.8,1.76
Concord Biotech,"1,534.00","1,508.80","1,522.40","1,496.70",25.7,1.72
Himadri Special,472.70,462.00,467.85,460.00,7.85,1.71
TataTeleservice,56.25,55.08,56.01,55.08,0.93,1.69
Niva Bupa Healt,75.89,74.61,75.71,74.46,1.25,1.68
Clean Science,"1,057.00","1,041.20","1,053.10","1,035.80",17.3,1.67
INDUS TOWERS,361.20,353.60,360.30,354.40,5.9,1.66
Tejas Networks,554.00,539.35,548.65,539.70,8.95,1.66
Vedant Fashions,698.55,685.20,695.40,684.15,11.25,1.64
Apollo Tyres,518.00,507.40,515.15,507.00,8.15,1.61
Inox Wind,150.80,147.20,149.15,146.79,2.36,1.61
Jindal Stainles,799.80,788.90,797.50,784.85,12.65,1.61
Praj Industries,347.55,343.05,346.55,341.05,5.5,1.61
DOMS Industries,"2,530.00","2,488.00","2,524.20","2,486.50",37.7,1.52
Bajaj Housing,111.00,109.07,110.70,109.05,1.65,1.51
Raymond,584.35,576.95,581.85,573.20,8.65,1.51
Godrej Agrovet,674.95,661.00,672.05,662.15,9.9,1.5
Graphite India,558.05,550.00,556.50,548.30,8.2,1.5
Cipla,"1,669.00","1,642.10","1,663.60","1,639.10",24.5,1.49
NMDC Steel,44.19,43.37,44.00,43.36,0.64,1.48
Karur Vysya,247.50,241.08,244.84,241.31,3.53,1.46
Radico Khaitan,"3,314.40","3,276.50","3,302.10","3,254.70",47.4,1.46
Godawari Power,257.00,255.01,255.99,252.34,3.65,1.45
Westlife Food,603.85,594.05,600.05,591.55,8.5,1.44
Rainbow Child,"1,378.60","1,351.20","1,360.00","1,340.70",19.3,1.44
Alok Industries,17.44,17.10,17.34,17.10,0.24,1.4
Kirloskar Oil,898.00,882.00,894.95,882.65,12.3,1.39
AIA Engineering,"3,364.20","3,314.30","3,356.10","3,310.50",45.6,1.38
IGIL,341.20,333.30,338.10,333.50,4.6,1.38
Bajaj Finserv,"2,184.00","2,134.00","2,169.10","2,139.80",29.3,1.37
RamkrishnaForge,554.90,549.10,551.70,544.25,7.45,1.37
JSW Infra,299.00,295.85,298.05,294.05,4,1.36
Usha Martin,465.80,453.90,460.05,453.90,6.15,1.35
Lemon Tree,169.84,168.00,168.47,166.25,2.22,1.34
Asahi India,945.00,929.00,938.90,926.60,12.3,1.33
Mastek,"2,074.00","2,055.00","2,065.00","2,037.80",27.2,1.33
Kansai Nerolac,258.75,255.24,256.85,253.54,3.31,1.31
EIH,391.10,386.10,389.80,384.80,5,1.3
Jubilant Ing.,691.90,671.00,686.20,677.40,8.8,1.3
Atul,"6,041.00","5,864.00","5,997.00","5,922.00",75,1.27
Anant Raj,645.80,639.55,644.05,636.00,8.05,1.27
IOB,40.75,40.20,40.67,40.16,0.51,1.27
Balkrishna Ind,"2,329.00","2,286.20","2,311.50","2,283.00",28.5,1.25
HEG,515.70,508.50,513.15,506.80,6.35,1.25
Emcure Pharmace,"1,401.10","1,374.00","1,393.00","1,376.10",16.9,1.23
BEML,"4,420.00","4,349.50","4,395.90","4,343.00",52.9,1.22
Thermax,"3,227.70","3,185.00","3,219.10","3,180.40",38.7,1.22
Timken,"2,975.00","2,935.10","2,961.90","2,927.70",34.2,1.17
Chambal Fert,489.45,485.90,488.65,483.05,5.6,1.16
SUMITOMO,534.00,523.75,529.80,523.75,6.05,1.16
Just Dial,796.00,787.25,794.35,785.30,9.05,1.15
MM Financial,305.00,296.40,300.25,296.85,3.4,1.15
Torrent Power,"1,324.00","1,305.00","1,319.20","1,304.20",15,1.15
Jyothy Labs,325.00,318.10,320.65,317.05,3.6,1.14
Deepak Fert,"1,443.20","1,423.00","1,439.80","1,423.70",16.1,1.13
UCO Bank,32.50,32.09,32.30,31.94,0.36,1.13
Finolex Cables,799.90,790.10,796.10,787.25,8.85,1.12
Guj Mineral,588.80,581.60,584.65,578.20,6.45,1.12
Devyani Int,168.51,165.52,167.41,165.58,1.83,1.11
PTC Industries,"17,177.00","16,980.00","17,017.00","16,831.00",186,1.11
AWL Agri,261.90,260.00,261.40,258.55,2.85,1.1
Gujarat Gas,419.00,415.05,417.35,412.80,4.55,1.1
Abbott India,"30,330.00","29,875.00","30,255.00","29,930.00",325,1.09
Tata Chemicals,917.20,905.95,912.90,903.15,9.75,1.08
HBL Eng,959.80,948.75,954.15,944.05,10.1,1.07
Sonata,367.80,359.00,363.40,359.60,3.8,1.06
Firstsource Sol,323.95,319.00,321.80,318.45,3.35,1.05
HFCL,77.74,76.47,77.21,76.41,0.8,1.05
Trident,28.29,27.91,28.20,27.91,0.29,1.04
Narayana Hruda,"1,786.00","1,774.10","1,780.20","1,761.90",18.3,1.04
EID Parry,"1,044.00","1,028.10","1,039.20","1,028.60",10.6,1.03
Bajaj Holdings,"12,799.00","12,623.00","12,732.00","12,605.00",127,1.01
Krishna Inst.,729.20,721.05,727.20,719.90,7.3,1.01
Ramco Cements,"1,053.50","1,030.95","1,038.90","1,028.65",10.25,1
Natco Pharma,844.40,834.35,842.00,833.65,8.35,1
BASF,"4,568.00","4,491.90","4,535.70","4,491.20",44.5,0.99
ACC,"1,856.10","1,835.40","1,848.90","1,830.90",18,0.98
Amara Raja,999.95,992.15,996.90,987.20,9.7,0.98
MMTC,68.99,67.81,68.30,67.64,0.66,0.98
Shree Renuka,29.99,29.58,29.87,29.58,0.29,0.98
Caplin Labs,"2,037.00","2,004.00","2,029.90","2,010.60",19.3,0.96
ABSL AMC,874.00,866.70,870.05,862.05,8,0.93
Authum Invest,"3,211.00","3,169.00","3,190.90","3,161.40",29.5,0.93
BLS Internation,333.00,322.80,325.95,322.95,3,0.93
Axis Bank,"1,238.80","1,222.00","1,237.30","1,226.00",11.3,0.92
Rail Vikas,333.30,330.60,332.00,329.00,3,0.91
Central Bank,39.25,38.90,39.10,38.75,0.35,0.9
Sagility,46.20,45.81,45.94,45.53,0.41,0.9
CRISIL,"4,999.30","4,850.10","4,955.90","4,912.80",43.1,0.88
Piramal Pharma,198.40,195.40,197.28,195.56,1.72,0.88
Hyundai Motor,"2,348.80","2,327.00","2,343.00","2,323.20",19.8,0.85
R R Kabel,"1,275.00","1,255.00","1,263.70","1,253.00",10.7,0.85
Gujarat Pipavav,162.33,160.40,161.24,159.92,1.32,0.83
JSW Holdings,"17,448.00","17,001.00","17,204.00","17,063.00",141,0.83
Swan Corp,431.50,428.15,430.15,426.60,3.55,0.83
Five-Star Busin,538.60,531.00,535.95,531.65,4.3,0.81
Ipca Labs,"1,285.00","1,276.30","1,281.30","1,271.00",10.3,0.81
Gillette India,"9,440.00","9,341.00","9,410.50","9,336.50",74,0.79
Infosys,"1,486.00","1,470.00","1,472.40","1,460.90",11.5,0.79
KNR Construct,191.17,189.70,190.85,189.36,1.49,0.79
CESC,182.00,179.10,180.52,179.13,1.39,0.78
Happiest Minds ,503.55,499.00,500.50,496.70,3.8,0.77
Voltas,"1,460.00","1,432.90","1,455.80","1,444.80",11,0.76
Akums Drugs P,472.00,468.95,470.35,466.85,3.5,0.75
Granules India,572.90,566.90,570.05,565.80,4.25,0.75
Aditya Birla F,83.94,82.92,83.65,83.03,0.62,0.75
PNB Housing Fin,879.00,870.15,875.60,869.15,6.45,0.74
Rashtriya Chem,149.99,148.52,149.09,147.99,1.1,0.74
Schneider Infra,829.90,817.00,820.40,814.40,6,0.74
Linde India,"6,151.00","6,101.50","6,138.00","6,093.50",44.5,0.73
Colgate,"2,267.90","2,246.80","2,260.60","2,244.20",16.4,0.73
Jaiprakash Pow,18.10,17.97,18.01,17.88,0.13,0.73
Can Fin Homes,859.85,831.00,844.40,838.35,6.05,0.72
New India Assur,188.40,186.70,187.66,186.31,1.35,0.72
Premier Energie,"1,066.70","1,056.00","1,059.50","1,052.00",7.5,0.71
Bank of Mah,60.56,59.83,60.03,59.61,0.42,0.7
Honasa Consumer,282.00,278.10,279.40,277.45,1.95,0.7
CreditAccess Gr,"1,300.30","1,290.80","1,295.70","1,286.80",8.9,0.69
Aditya Birla Re,"1,655.00","1,632.00","1,643.20","1,632.00",11.2,0.69
Deepak Nitrite,"1,781.90","1,765.00","1,770.60","1,758.70",11.9,0.68
Varun Beverages,461.00,456.35,459.45,456.35,3.1,0.68
Vodafone Idea,9.06,8.95,9.00,8.94,0.06,0.67
Sundram,990.00,971.00,981.45,974.90,6.55,0.67
Aster DM Health,730.45,718.00,722.95,718.20,4.75,0.66
Aarti Ind,376.95,372.70,375.10,372.65,2.45,0.66
Cochin Shipyard,"1,814.50","1,800.80","1,808.80","1,797.00",11.8,0.66
JK Tyre Ind,427.00,418.00,421.20,418.45,2.75,0.66
REC,378.00,376.00,377.15,374.70,2.45,0.65
JSW Steel,"1,154.70","1,148.60","1,152.50","1,145.20",7.3,0.64
SJVN,90.18,89.42,89.79,89.22,0.57,0.64
Fert and Chem,897.30,890.15,893.50,887.95,5.55,0.63
Navin Fluorine,"5,209.00","5,155.00","5,186.50","5,153.90",32.6,0.63
IEX,140.46,138.61,139.14,138.29,0.85,0.61
M&M,"3,628.10","3,604.30","3,621.20","3,599.10",22.1,0.61
Tata Tech,687.45,680.85,685.00,680.85,4.15,0.61
KFin Tech,"1,134.40","1,115.50","1,127.30","1,120.60",6.7,0.6
Global Health,"1,404.00","1,388.00","1,392.50","1,384.40",8.1,0.59
Grasim,"2,875.90","2,861.50","2,870.70","2,854.00",16.7,0.59
Poonawalla Fin,518.90,512.00,514.90,511.90,3,0.59
J. K. Cement,"6,485.50","6,400.00","6,466.00","6,428.50",37.5,0.58
Mahanagar Gas,"1,294.20","1,283.50","1,290.10","1,282.70",7.4,0.58
Motilal Oswal,"1,030.00","1,021.00","1,026.25","1,020.35",5.9,0.58
NALCO,227.92,226.50,227.35,226.03,1.32,0.58
Adani Green Ene,"1,045.40","1,036.30","1,040.00","1,034.10",5.9,0.57
Blue Dart,"5,591.50","5,530.50","5,578.00","5,546.50",31.5,0.57
CCL Products,852.10,841.25,848.65,843.85,4.8,0.57
Engineers India,200.05,198.27,199.28,198.16,1.12,0.57
Jyoti CNC Auto,939.65,929.30,933.90,928.65,5.25,0.57
JK Bank,108.50,107.02,107.30,106.69,0.61,0.57
Latent View,435.00,428.50,432.40,429.95,2.45,0.57
NTPC Green Ener,100.80,100.20,100.55,99.98,0.57,0.57
Torrent Pharma,"3,685.60","3,561.00","3,590.90","3,570.40",20.5,0.57
Sundaram Fin,"4,566.50","4,513.00","4,546.70","4,521.60",25.1,0.56
JSW Energy,531.50,525.30,528.10,525.20,2.9,0.55
Zee Entertain,105.49,103.94,104.51,103.94,0.57,0.55
Bharti Hexacom,"1,832.00","1,801.20","1,812.70","1,803.00",9.7,0.54
CG Consumer,290.30,287.60,288.60,287.05,1.55,0.54
Godrej Ind,"1,116.00","1,085.00","1,106.50","1,100.60",5.9,0.54
HINDPETRO,456.50,451.70,455.40,452.95,2.45,0.54
Tata Comm,"1,929.90","1,901.00","1,915.30","1,905.10",10.2,0.54
Tata Motors,403.40,400.05,401.85,399.75,2.1,0.53
Dr Reddys Labs,"1,294.00","1,283.10","1,288.70","1,282.00",6.7,0.52
Bajaj Finance,"1,089.00","1,081.00","1,086.50","1,081.00",5.5,0.51
KPIT Tech,"1,155.30","1,148.00","1,152.40","1,146.60",5.8,0.51
Pfizer,"5,400.00","5,300.00","5,351.50","5,324.50",27,0.51
Sun TV Network,569.05,564.20,567.50,564.60,2.9,0.51
Raymond Life,"1,200.00","1,176.00","1,195.50","1,189.60",5.9,0.5
Reliance Power,44.80,44.16,44.38,44.16,0.22,0.5
Alkyl Amines,"1,928.10","1,900.00","1,909.30","1,900.00",9.3,0.49
Biocon,367.60,361.80,366.10,364.30,1.8,0.49
Craftsman,"6,800.00","6,640.50","6,726.00","6,693.50",32.5,0.49
Max Financial,"1,548.00","1,529.60","1,540.80","1,533.30",7.5,0.49
NMDC,76.19,75.31,75.61,75.24,0.37,0.49
Redington,272.00,267.15,268.50,267.20,1.3,0.49
