company_name,high,low,last_price,prev_close,change,percent_gain
Raymond,"1,457.30","1,232.95","1,428.30","1,231.35",196.95,15.99
Mastek,"2,520.00","2,116.25","2,440.05","2,113.20",326.85,15.47
Triveni Turbine,600.60,515.00,576.05,509.00,67.05,13.17
Finolex Cables,918.50,785.15,876.10,785.15,90.95,11.58
Welspun Living,131.99,117.36,128.82,116.65,12.17,10.43
Apar Ind,"5,848.25","5,304.60","5,752.60","5,321.60",431.00,8.1
One 97 Paytm,746.65,695.00,741.40,688.90,52.50,7.62
Kirloskar Oil,745.00,674.05,718.10,667.95,50.15,7.51
Sun Pharma Adv,127.85,117.70,126.01,117.25,8.76,7.47
Ratnamani Metal,"2,777.70","2,487.30","2,672.45","2,488.85",183.60,7.38
PB Fintech,"1,461.75","1,371.00","1,454.00","1,354.80",99.20,7.32
Netweb,"1,516.00","1,415.00","1,504.60","1,403.70",100.90,7.19
Zomato,219.10,204.28,218.19,203.69,14.50,7.12
Blue Star,"2,180.00","2,038.70","2,156.85","2,013.80",143.05,7.1
360 ONE WAM,919.95,855.50,914.80,854.60,60.20,7.04
360 ONE WAM,919.95,855.50,914.80,854.60,60.20,7.04
PVR INOX,965.50,910.75,961.70,901.25,60.45,6.71
Easy Trip,12.92,12.01,12.86,12.07,0.79,6.55
Easy Trip,12.92,12.01,12.86,12.07,0.79,6.55
Rattanindia Ent,41.62,38.62,40.80,38.38,2.42,6.31
Elecon Eng,421.00,392.00,415.30,390.85,24.45,6.26
Elecon Eng,421.00,392.00,415.30,390.85,24.45,6.26
Syrma SGS,446.45,419.60,442.65,416.85,25.80,6.19
Chola Fin Hold,"1,671.75","1,562.00","1,658.70","1,562.65",96.05,6.15
Aditya Birla Re,"1,908.00","1,785.50","1,866.65","1,759.85",106.80,6.07
Kirloskar Bros,"1,675.00","1,591.85","1,668.70","1,573.30",95.40,6.06
IIFL Finance,333.00,308.35,325.85,307.45,18.40,5.98
CDSL,"1,125.00","1,062.00","1,119.75","1,058.20",61.55,5.82
Godrej Agrovet,774.45,723.85,767.05,724.85,42.20,5.82
Varroc Engineer,430.80,402.05,424.55,401.20,23.35,5.82
JBM Auto,524.95,494.00,521.45,493.15,28.30,5.74
Poonawalla Fin,306.90,290.70,306.25,289.65,16.60,5.73
KNR Construct,220.69,208.00,217.92,206.22,11.70,5.67
Angel One,"2,099.00","1,991.90","2,091.95","1,979.85",112.10,5.66
Indian Renew,147.30,139.98,145.95,138.16,7.79,5.64
Balrampur Chini,510.00,475.00,503.75,477.00,26.75,5.61
Ircon Internati,150.40,142.70,145.92,138.17,7.75,5.61
Ircon Internati,150.40,142.70,145.92,138.17,7.75,5.61
Finolex Ind,178.70,168.82,177.13,167.79,9.34,5.57
Jindal Saw,267.50,253.74,266.02,252.48,13.54,5.36
Jindal Saw,267.50,253.74,266.02,252.48,13.54,5.36
Motilal Oswal,610.00,581.70,608.60,578.10,30.50,5.28
VIP Industries,297.15,278.35,292.05,277.60,14.45,5.21
CAMS,"3,620.00","3,443.00","3,602.20","3,425.25",176.95,5.17
RBL Bank,163.06,155.41,162.28,154.33,7.95,5.15
Shree Renuka,28.55,27.25,28.41,27.02,1.39,5.14
Fert and Chem,628.50,598.00,627.05,596.65,30.40,5.1
TBO Tek,"1,272.45","1,190.45","1,250.10","1,190.45",59.65,5.01
Varun Beverages,536.00,512.75,532.50,507.25,25.25,4.98
Varun Beverages,536.00,512.75,532.50,507.25,25.25,4.98
