company_name,high,low,last_price,prev_close,change,percent_gain
Redington,293.30,265.00,289.95,250.25,39.70,15.86
IGIL,368.65,342.00,367.70,335.15,32.55,9.71
CCL Products,"1,004.00",922.00,973.10,888.65,84.45,9.5
Bajaj Holdings,"13,245.00","12,015.00","13,195.00","12,091.00","1,104.00",9.13
Astral Ltd,"1,572.50","1,482.50","1,566.10","1,467.20",98.90,6.74
Gujarat Pipavav,179.57,171.00,171.82,162.78,9.04,5.55
Asian Paints,"2,631.00","2,560.10","2,602.90","2,486.70",116.20,4.67
One 97 Paytm,"1,333.80","1,292.70","1,320.60","1,268.00",52.60,4.15
Shipping Corp,267.00,251.60,260.45,250.20,10.25,4.1
Emcure Pharmace,"1,392.30","1,328.00","1,368.80","1,324.70",44.10,3.33
Manappuram Fin,277.40,266.50,274.00,266.45,7.55,2.83
Global Health,"1,291.00","1,227.80","1,280.70","1,249.30",31.40,2.51
KPR Mill,"1,085.00","1,040.20","1,080.60","1,056.20",24.40,2.31
Nuvama Wealth,"7,440.00","7,100.00","7,308.00","7,148.00",160.00,2.24
Sobha,"1,660.00","1,610.00","1,654.40","1,619.20",35.20,2.17
Britannia,"6,191.50","5,993.50","6,013.50","5,892.50",121.00,2.05
Can Fin Homes,881.80,853.85,877.60,861.60,16.00,1.86
PI Industries,"3,775.00","3,679.40","3,750.10","3,683.30",66.80,1.81
Sundaram Fin,"4,890.50","4,734.00","4,858.40","4,775.40",83.00,1.74
Motherson SWI,48.81,46.74,47.73,46.99,0.74,1.57
Reliance,"1,501.60","1,476.20","1,496.10","1,473.10",23.00,1.56
PTC Industries,"17,720.00","17,110.00","17,450.00","17,201.00",249.00,1.45
Aarti Ind,392.00,380.00,390.50,385.10,5.40,1.4
INDUS TOWERS,404.85,386.60,398.05,392.55,5.50,1.4
Berger Paints,554.80,530.30,544.45,537.45,7.00,1.3
Dabur India,524.50,511.05,523.70,517.05,6.65,1.29
Biocon,386.80,380.20,385.20,380.50,4.70,1.24
Divis Labs,"6,898.00","6,764.00","6,881.50","6,804.50",77.00,1.13
Garden Reach Sh,"2,648.80","2,571.00","2,584.20","2,556.20",28.00,1.1
Latent View,473.00,459.45,470.45,465.60,4.85,1.04
M&M,"3,674.70","3,586.30","3,618.50","3,581.20",37.30,1.04
LT Foods,411.55,402.00,407.70,403.60,4.10,1.02
Interglobe Avi,"5,833.50","5,679.50","5,693.00","5,637.00",56.00,0.99
TATA Cons. Prod,"1,192.50","1,167.40","1,190.40","1,179.30",11.10,0.94
Reliance Power,41.75,38.50,41.07,40.72,0.35,0.86
Wipro,240.62,238.37,239.97,237.92,2.05,0.86
Apar Ind,"8,500.00","8,330.00","8,404.00","8,338.50",65.50,0.79
