company_name,high,low,last_price,prev_close,change,percent_gain
Raymond,"1,712.25","1,412.05","1,652.30","1,426.90",225.40,15.8
Praj Industries,804.00,670.30,779.20,675.50,103.70,15.35
Swan Energy,594.40,518.50,586.80,528.00,58.80,11.14
Fine Organics,"5,234.00","4,698.25","5,144.80","4,693.30",451.50,9.62
Easy Trip,32.90,29.42,32.03,29.52,2.51,8.5
Easy Trip,32.90,29.42,32.03,29.52,2.51,8.5
MRPL,160.74,146.00,157.25,145.05,12.20,8.41
Sun Pharma Adv,209.70,190.54,204.50,190.33,14.17,7.44
Sobha,"1,644.90","1,526.60","1,629.30","1,516.95",112.35,7.41
Shipping Corp,222.80,205.42,220.74,206.29,14.45,7
Castrol,200.80,187.00,198.68,186.24,12.44,6.68
One 97 Paytm,909.75,843.05,900.95,845.40,55.55,6.57
Info Edge,"8,029.60","7,670.00","7,999.95","7,515.35",484.60,6.45
Gujarat Pipavav,179.90,168.00,178.95,168.26,10.69,6.35
Vijaya Diagnost,"1,249.95","1,128.55","1,219.65","1,147.90",71.75,6.25
Phoenix Mills,"1,637.80","1,515.00","1,627.35","1,534.25",93.10,6.07
Godrej Prop,"2,870.00","2,700.00","2,857.15","2,704.80",152.35,5.63
Power Finance,479.50,454.60,477.95,453.35,24.60,5.43
KEI Industries,"4,020.00","3,775.95","3,994.85","3,791.40",203.45,5.37
Craftsman,"5,239.95","4,894.35","5,210.60","4,962.20",248.40,5.01
Akums Drugs & P,640.10,640.10,640.10,609.65,30.45,4.99
Laurus Labs,516.00,486.85,512.60,489.15,23.45,4.79
Kansai Nerolac,270.90,255.00,267.25,255.45,11.80,4.62
SBI,819.95,784.05,816.05,780.75,35.30,4.52
Jubilant Food,644.65,608.35,637.65,610.20,27.45,4.5
NCC,288.20,271.40,283.80,271.95,11.85,4.36
Oil India,509.55,487.50,507.15,486.05,21.10,4.34
TCS,"4,254.95","4,054.00","4,244.60","4,072.85",171.75,4.22
CCL Products,760.00,714.15,740.55,710.75,29.80,4.19
HBL Power,569.80,538.40,560.55,538.00,22.55,4.19
Devyani Int,169.00,159.00,167.83,161.20,6.63,4.11
Titan Company,"3,317.00","3,152.15","3,308.70","3,178.45",130.25,4.1
SJVN,110.30,105.00,107.57,103.44,4.13,3.99
IRB Infra,47.78,45.15,47.60,45.80,1.80,3.93
IRB Infra,47.78,45.15,47.60,45.80,1.80,3.93
UltraTechCement,"11,409.90","10,931.65","11,375.30","10,954.85",420.45,3.84
ITC,476.50,455.50,474.65,457.15,17.50,3.83
DLF,808.90,775.90,803.40,773.95,29.45,3.81
Global Health,"1,130.00","1,065.85","1,113.65","1,072.90",40.75,3.8
Infosys,"1,914.05","1,834.00","1,902.25","1,834.05",68.20,3.72
TATA Cons. Prod,948.50,912.85,945.20,911.70,33.50,3.67
PNB,100.25,97.05,99.82,96.37,3.45,3.58
JSW Steel,981.30,939.05,977.35,944.15,33.20,3.52
KFin Tech,"1,084.50","1,024.15","1,066.70","1,030.65",36.05,3.5
MphasiS,"2,894.50","2,822.05","2,883.55","2,786.20",97.35,3.49
NALCO,259.50,249.34,256.85,248.21,8.64,3.48
Reliance,"1,268.85","1,222.45","1,265.40","1,223.00",42.40,3.47
Larsen,"3,613.50","3,473.10","3,603.50","3,483.50",120.00,3.44
LTIMindtree,"6,148.25","5,931.05","6,133.70","5,931.05",202.65,3.42
Power Grid Corp,337.60,324.00,336.95,325.90,11.05,3.39
Bajaj Finance,"6,722.40","6,456.05","6,683.95","6,465.65",218.30,3.38
CreditAccess Gr,895.25,864.05,890.55,861.45,29.10,3.38
HCL Tech,"1,902.00","1,836.50","1,898.40","1,836.35",62.05,3.38
Schneider Infra,795.00,743.45,781.20,755.65,25.55,3.38
General Insuran,379.85,365.05,378.85,366.50,12.35,3.37
Oracle Fin Serv,"11,598.95","11,249.95","11,516.40","11,141.90",374.50,3.36
Ceat,"2,861.00","2,760.05","2,844.55","2,753.10",91.45,3.32
J. K. Cement,"4,148.90","3,981.10","4,135.85","4,003.00",132.85,3.32
Polycab,"6,645.50","6,408.35","6,620.50","6,408.35",212.15,3.31
NLC India,266.00,251.80,261.35,253.00,8.35,3.3
Bank of Mah,53.10,51.40,52.94,51.26,1.68,3.28
Bank of Baroda,238.00,229.00,236.00,228.50,7.50,3.28
Ramco Cements,952.30,916.00,944.95,914.95,30.00,3.28
EIH,369.00,355.45,366.80,355.20,11.60,3.27
Ambuja Cements,514.85,477.15,499.85,484.15,15.70,3.24
Hindustan Aeron,"4,127.10","3,988.10","4,111.35","3,983.45",127.90,3.21
Hindustan Aeron,"4,127.10","3,988.10","4,111.35","3,983.45",127.90,3.21
Motilal Oswal,924.00,885.35,909.45,881.45,28.00,3.18
Siemens,"6,975.00","6,649.00","6,849.40","6,641.65",207.75,3.13
REC,512.00,490.05,506.25,490.95,15.30,3.12
ACC,"2,118.05","1,995.10","2,089.60","2,027.20",62.40,3.08
Shree Cements,"24,822.00","24,043.65","24,794.75","24,052.85",741.90,3.08
Vinati Organics,"1,869.05","1,769.00","1,840.85","1,786.60",54.25,3.04
GMR Airports,79.64,76.85,79.16,76.85,2.31,3.01
Birlasoft,564.00,546.10,561.70,545.40,16.30,2.99
Trent,"6,678.00","6,430.00","6,652.80","6,460.45",192.35,2.98
M&M Financial,264.70,255.75,263.80,256.25,7.55,2.95
CG Consumer,394.70,380.95,393.05,381.95,11.10,2.91
Piramal Enter,"1,093.60","1,051.45","1,085.50","1,054.95",30.55,2.9
Bharti Airtel,"1,575.00","1,520.20","1,569.30","1,525.15",44.15,2.89
Apollo Hospital,"6,950.30","6,751.60","6,935.10","6,742.50",192.60,2.86
Mahanagar Gas,"1,174.30","1,122.00","1,157.50","1,125.35",32.15,2.86
Apollo Tyres,496.10,479.90,495.00,481.30,13.70,2.85
BHEL,236.15,226.80,234.39,227.94,6.45,2.83
