company_name,high,low,last_price,prev_close,change,percent_gain
JBM Auto,707.60,633.00,694.75,625.05,69.70,11.15
Guj Mineral,325.65,287.00,315.00,287.00,28.00,9.76
DOMS Industries,"2,912.00","2,652.10","2,878.00","2,628.80",249.20,9.48
Engineers India,184.70,168.80,183.72,169.30,14.42,8.52
IndusInd Bank,794.40,733.00,788.25,735.90,52.35,7.11
NBCC (India),96.50,89.77,95.80,89.77,6.03,6.72
Emcure Pharmace,"1,040.00",941.80,"1,008.30",951.80,56.50,5.94
Sterling Wilson,284.70,263.25,280.70,265.60,15.10,5.69
Indian Renew,179.68,174.00,176.39,166.98,9.41,5.64
JK Bank,98.60,93.34,98.24,93.15,5.09,5.46
Aegis Logistics,833.00,764.05,806.30,766.05,40.25,5.25
GE Vernova TD,"1,469.70","1,359.10","1,461.50","1,391.00",70.50,5.07
ITI,268.20,252.80,268.20,255.43,12.77,5
Quess Corp,313.10,310.20,313.05,298.20,14.85,4.98
Indian Bank,569.90,541.50,568.15,541.25,26.90,4.97
Equitas Bank,62.35,58.02,60.96,58.20,2.76,4.74
SBFC Finance,98.95,92.84,98.33,93.91,4.42,4.71
Sundaram Fin,"5,224.90","4,953.60","5,179.30","4,948.80",230.50,4.66
Can Fin Homes,705.00,665.45,697.40,666.50,30.90,4.64
Akums Drugs P,504.40,474.60,499.15,477.15,22.00,4.61
KFin Tech,"1,067.00","1,010.30","1,052.40","1,007.20",45.20,4.49
Olectra Greente,"1,274.50","1,188.60","1,232.00","1,179.90",52.10,4.42
Swan Energy,441.40,415.30,432.10,413.95,18.15,4.38
Axis Bank,"1,163.50","1,112.60","1,161.30","1,112.80",48.50,4.36
Zee Entertain,114.39,107.38,112.62,107.95,4.67,4.33
Just Dial,921.60,877.05,916.95,880.20,36.75,4.18
Ceat,"3,049.00","2,898.10","3,023.80","2,903.10",120.70,4.16
Guj Amb Exports,128.06,120.53,124.98,120.20,4.78,3.98
Union Bank,127.65,122.25,127.26,122.40,4.86,3.97
Mankind Pharma,"2,538.10","2,418.10","2,520.00","2,426.10",93.90,3.87
MRPL,140.42,132.55,137.58,132.50,5.08,3.83
Aadhar Housing ,489.00,465.70,485.10,467.70,17.40,3.72
Thermax,"3,406.00","3,221.50","3,366.40","3,245.60",120.80,3.72
Bank of India,116.30,111.53,115.48,111.36,4.12,3.7
ONGC,242.00,231.72,241.22,232.69,8.53,3.67
Emami,628.00,604.80,626.75,604.70,22.05,3.65
Karur Vysya,221.20,210.11,218.46,211.09,7.37,3.49
Poly Medicure,"2,379.60","2,238.20","2,320.40","2,242.20",78.20,3.49
Patanjali Foods,"2,011.00","1,927.10","2,000.80","1,933.30",67.50,3.49
Alkyl Amines,"1,844.00","1,765.20","1,831.30","1,770.60",60.70,3.43
Kirloskar Oil,761.00,728.55,757.75,732.70,25.05,3.42
New India Assur,167.50,160.86,166.80,161.33,5.47,3.39
ICICI Prudentia,602.25,576.15,586.30,567.15,19.15,3.38
Oil India,379.50,366.25,378.30,365.95,12.35,3.37
Narayana Hruda,"1,833.00","1,736.10","1,793.30","1,735.60",57.70,3.32
Chola Invest.,"1,629.90","1,543.00","1,611.90","1,560.30",51.60,3.31
Phoenix Mills,"1,613.70","1,544.50","1,598.70","1,548.30",50.40,3.26
Archean Chem,636.00,608.55,633.20,613.25,19.95,3.25
Home First,"1,185.70","1,105.00","1,175.10","1,138.10",37.00,3.25
Trent,"5,049.50","4,852.00","5,035.50","4,877.00",158.50,3.25
Bank of Mah,47.88,46.07,47.52,46.03,1.49,3.24
GAIL,185.00,176.31,184.70,178.99,5.71,3.19
PNB Housing Fin,"1,006.50",972.05,"1,001.70",970.80,30.90,3.18
Network 18,45.69,43.65,45.11,43.76,1.35,3.09
Cello World,563.95,543.65,562.05,545.35,16.70,3.06
TataTeleservice,60.55,58.37,60.24,58.46,1.78,3.04
