company_name,high,low,last_price,prev_close,change,percent_gain
Graphite India,576.00,487.15,568.20,486.40,81.8,16.82
Alembic Pharma,"1,050.00",915.00,"1,028.65",912.95,115.7,12.67
Delhivery,367.70,332.30,351.25,320.85,30.4,9.47
HEG,550.90,492.60,528.70,490.60,38.1,7.77
HEG,550.90,492.60,528.70,490.60,38.1,7.77
Caplin Labs,"2,188.00","2,008.60","2,161.10","2,010.00",151.1,7.52
Usha Martin,339.95,309.15,334.85,311.60,23.25,7.46
BASF,"4,955.00","4,563.30","4,902.90","4,572.60",330.3,7.22
Bajaj Holdings,"14,400.00","13,045.00","13,973.00","13,111.00",862,6.57
ACME Solar,248.80,237.00,246.67,234.12,12.55,5.36
Rail Vikas,438.90,416.00,431.50,409.60,21.9,5.35
Transformers,529.45,490.00,529.45,504.25,25.2,5
Zen Tech,"1,884.50","1,884.50","1,884.50","1,794.80",89.7,5
Raymond,637.90,637.90,637.90,607.60,30.3,4.99
Divis Labs,"6,705.00","6,333.50","6,580.00","6,279.50",300.5,4.79
PNC Infratech,298.75,283.80,293.50,280.20,13.3,4.75
Shree Renuka,34.20,31.90,33.36,31.85,1.51,4.74
Central Bank,39.16,36.57,38.21,36.49,1.72,4.71
CESC,173.36,166.10,172.69,165.19,7.5,4.54
Ircon Internati,201.70,190.08,197.35,188.88,8.47,4.48
Ircon Internati,201.70,190.08,197.35,188.88,8.47,4.48
Aegis Logistics,911.50,847.50,906.00,867.55,38.45,4.43
Astral Ltd,"1,428.90","1,356.10","1,419.10","1,359.70",59.4,4.37
NBCC (India),116.44,112.20,115.93,111.08,4.85,4.37
Bajaj Auto,"8,861.50","8,492.00","8,851.00","8,482.50",368.5,4.34
Supreme Ind,"3,866.00","3,668.60","3,839.40","3,681.90",157.5,4.28
IDBI Bank,90.85,85.73,89.64,86.00,3.64,4.23
Gravita India,"2,170.00","2,055.20","2,113.30","2,030.20",83.1,4.09
Bank of Mah,54.09,51.03,53.11,51.06,2.05,4.01
IOB,40.78,37.87,39.35,37.86,1.49,3.94
UCO Bank,33.15,31.01,32.19,30.98,1.21,3.91
UTI AMC,"1,174.90","1,112.30","1,162.40","1,120.20",42.2,3.77
NCC,238.85,229.43,235.44,227.19,8.25,3.63
Railtel,402.40,384.50,397.35,383.55,13.8,3.6
LT Foods,389.45,372.15,384.15,370.85,13.3,3.59
Phoenix Mills,"1,617.00","1,536.10","1,606.50","1,550.90",55.6,3.59
Alok Industries,19.48,18.71,19.12,18.46,0.66,3.58
Kajaria Ceramic,992.15,950.00,981.15,947.80,33.35,3.52
Blue Star,"1,645.00","1,560.20","1,618.00","1,563.20",54.8,3.51
Home First,"1,241.00","1,168.10","1,207.40","1,166.80",40.6,3.48
Oberoi Realty,"1,746.00","1,670.80","1,734.60","1,676.20",58.4,3.48
ZFCVINDIA,"13,850.00","13,181.00","13,672.00","13,221.00",451,3.41
Sarda Energy,472.00,454.45,470.00,454.75,15.25,3.35
Sarda Energy,472.00,454.45,470.00,454.75,15.25,3.35
HBL Eng,596.65,569.90,587.25,568.75,18.5,3.25
Inox Wind,188.85,180.28,185.61,179.82,5.79,3.22
KPR Mill,"1,225.00","1,183.00","1,213.55","1,175.90",37.65,3.2
Ipca Labs,"1,464.10","1,393.60","1,436.80","1,392.60",44.2,3.17
Bank of India,119.80,114.57,117.94,114.33,3.61,3.16
Vardhman Text,530.00,504.05,515.50,499.80,15.7,3.14
DLF,739.00,713.25,737.65,715.90,21.75,3.04
Jubilant Food,703.00,665.10,694.50,674.30,20.2,3
CDSL,"1,468.00","1,408.00","1,450.80","1,408.80",42,2.98
Natco Pharma,874.30,841.30,866.15,841.15,25,2.97
Union Bank,139.30,132.40,136.97,133.02,3.95,2.97
Nippon,749.80,715.00,748.95,727.85,21.1,2.9
Minda Corp,524.00,501.00,517.20,502.70,14.5,2.88
Aditya Birla F,295.70,277.35,286.05,278.10,7.95,2.86
Deepak Fert,"1,390.00","1,340.80","1,383.40","1,345.10",38.3,2.85
Indian Bank,619.00,595.45,611.50,594.55,16.95,2.85
CRISIL,"5,255.00","5,026.30","5,157.80","5,015.50",142.3,2.84
RITES,303.40,290.00,294.93,286.99,7.94,2.77
Tube Investment,"3,255.00","3,071.80","3,126.40","3,044.60",81.8,2.69
NALCO,183.45,176.62,181.93,177.19,4.74,2.68
TITAGARH,974.35,923.00,937.00,912.85,24.15,2.65
Max Financial,"1,398.50","1,356.10","1,390.90","1,355.20",35.7,2.63
Aarti Ind,492.25,473.00,486.75,474.65,12.1,2.55
Godrej Prop,"2,269.10","2,153.80","2,231.10","2,176.10",55,2.53
Thermax,"3,605.40","3,443.90","3,512.90","3,426.60",86.3,2.52
Bombay Burmah,"2,094.00","1,910.60","1,956.80","1,909.20",47.6,2.49
BSE Limited,"7,475.00","7,282.00","7,459.00","7,279.00",180,2.47
Honasa Consumer,269.74,259.10,268.06,261.70,6.36,2.43
ABSL AMC,739.50,703.80,724.85,707.95,16.9,2.39
DCM Shriram,"1,068.80","1,042.10","1,065.25","1,040.90",24.35,2.34
Godrej Agrovet,753.00,732.00,749.65,732.70,16.95,2.31
JSW Energy,524.85,505.10,515.35,503.85,11.5,2.28
EID Parry,990.00,959.15,982.65,960.80,21.85,2.27
Container Corp,756.35,726.50,746.95,730.50,16.45,2.25
One 97 Paytm,874.50,841.60,870.95,852.35,18.6,2.18
Gujarat Pipavav,151.27,145.53,148.10,144.96,3.14,2.17
Jindal Saw,226.54,218.99,221.83,217.13,4.7,2.16
Jindal Saw,226.54,218.99,221.83,217.13,4.7,2.16
Wockhardt,"1,394.50","1,320.50","1,358.90","1,330.40",28.5,2.14
SRF,"3,032.00","2,914.90","2,977.00","2,914.90",62.1,2.13
Hyundai Motor,"1,908.00","1,830.00","1,894.50","1,855.60",38.9,2.1
JM Financial,120.85,115.44,117.60,115.18,2.42,2.1
IRFC,143.61,139.60,141.49,138.61,2.88,2.08
360 ONE WAM,"1,036.65",993.55,"1,021.25","1,000.55",20.7,2.07
360 ONE WAM,"1,036.65",993.55,"1,021.25","1,000.55",20.7,2.07
KPIL,"1,135.95","1,105.10","1,116.30","1,093.80",22.5,2.06
PNB,102.90,99.00,100.91,98.91,2,2.02
UNO Minda,"1,012.90",980.00,"1,009.40",989.50,19.9,2.01
Alkem Lab,"5,400.00","5,192.00","5,324.00","5,221.00",103,1.97
Schneider Infra,675.00,653.40,665.90,653.05,12.85,1.97
KEC Intl,844.00,808.00,816.20,800.60,15.6,1.95
Macrotech Dev,"1,432.00","1,379.30","1,422.00","1,394.80",27.2,1.95
ICICI Lombard ,"1,901.00","1,844.40","1,884.70","1,849.60",35.1,1.9
Bajaj Housing,128.70,123.76,126.23,123.90,2.33,1.88
