company_name,high,low,last_price,prev_close,change,percent_gain
L&T Finance,305.40,272.00,303.60,275.20,28.40,10.32
BSE Limited,"2,718.70","2,443.20","2,678.30","2,455.50",222.80,9.07
Swan Corp,482.35,427.00,468.90,435.65,33.25,7.63
Guj Mineral,605.00,561.50,600.30,566.75,33.55,5.92
CCL Products,"1,034.50",953.25,"1,025.15",973.10,52.05,5.35
Angel One,"2,625.00","2,446.00","2,616.40","2,486.50",129.90,5.22
KFin Tech,"1,116.80","1,051.00","1,111.00","1,062.10",48.90,4.6
Gujarat Pipavav,183.00,171.44,179.60,171.82,7.78,4.53
Chennai Petro,"1,020.90",970.20,"1,016.30",975.85,40.45,4.15
Netweb,"3,579.00","3,272.40","3,431.90","3,300.80",131.10,3.97
Radico Khaitan,"3,329.00","3,163.50","3,310.90","3,185.90",125.00,3.92
Bank of Mah,59.85,56.90,59.62,57.42,2.20,3.83
Vodafone Idea,9.73,9.20,9.61,9.27,0.34,3.67
Five-Star Busin,656.75,617.15,646.10,624.30,21.80,3.49
GE Shipping,"1,088.00","1,035.10","1,085.20","1,049.50",35.70,3.4
AB Capital,345.40,322.60,338.10,327.05,11.05,3.38
Hind Copper,335.35,317.40,332.80,322.30,10.50,3.26
Hitachi Energy,"20,939.00","19,914.00","20,863.00","20,207.00",656.00,3.25
Carborundum,921.00,876.20,916.20,887.35,28.85,3.25
IDBI Bank,101.40,95.83,100.42,97.26,3.16,3.25
Bank of India,144.88,138.55,144.58,140.17,4.41,3.15
AU Small Financ,909.75,870.85,908.70,881.00,27.70,3.14
LIC India,936.95,895.10,924.15,896.10,28.05,3.13
Shriram Finance,820.00,780.80,816.35,792.50,23.85,3.01
CDSL,"1,612.00","1,508.00","1,578.80","1,532.90",45.90,2.99
C. E. Info Syst,"1,824.50","1,741.00","1,815.50","1,764.60",50.90,2.88
Sobha,"1,705.50","1,615.00","1,701.20","1,654.40",46.80,2.83
Alivus Life,932.00,903.90,915.05,890.50,24.55,2.76
Premier Energie,"1,040.00",992.50,"1,029.80","1,004.20",25.60,2.55
Shyam Metalics,895.00,840.30,860.55,839.30,21.25,2.53
GE Vernova TD,"3,127.70","3,000.20","3,073.20","3,000.50",72.70,2.42
Britannia,"6,169.50","5,913.50","6,157.50","6,013.50",144.00,2.39
JK Bank,105.80,101.28,105.21,102.75,2.46,2.39
Adani Enterpris,"2,402.50","2,291.40","2,369.40","2,314.30",55.10,2.38
Bajaj Finance,"1,076.90","1,034.20","1,066.60","1,041.90",24.70,2.37
JK Tyre Ind,461.65,441.90,458.50,447.90,10.60,2.37
JSW Holdings,"17,485.00","16,355.00","17,042.00","16,653.00",389.00,2.34
Jindal Steel,"1,075.10","1,002.10","1,069.90","1,045.50",24.40,2.33
Sagility,52.34,49.87,51.82,50.65,1.17,2.31
Tata Steel,182.25,175.01,181.37,177.27,4.10,2.31
Shipping Corp,276.80,257.15,266.45,260.45,6.00,2.3
IOB,39.85,38.01,39.59,38.72,0.87,2.25
Voltas,"1,327.30","1,288.20","1,321.50","1,292.40",29.10,2.25
SAIL,141.98,134.66,141.00,137.91,3.09,2.24
Central Bank,39.18,37.47,38.96,38.11,0.85,2.23
Max Financial,"1,633.80","1,562.10","1,618.10","1,584.20",33.90,2.14
Vardhman Text,440.00,424.05,438.30,429.25,9.05,2.11
Union Bank,153.66,147.80,153.30,150.15,3.15,2.1
Aditya Birla F,80.31,76.20,79.70,78.08,1.62,2.07
Campus Active,282.25,266.00,276.80,271.30,5.50,2.03
Vedanta,517.25,497.50,515.05,504.95,10.10,2
UPL,753.80,720.75,747.95,733.35,14.60,1.99
M&M,"3,718.00","3,566.80","3,690.20","3,618.50",71.70,1.98
One 97 Paytm,"1,351.70","1,302.80","1,346.50","1,320.60",25.90,1.96
Tata Inv Corp,789.00,750.25,781.25,766.25,15.00,1.96
Godawari Power,279.00,266.40,274.65,269.40,5.25,1.95
MCX India,"9,505.00","8,810.50","9,430.50","9,250.50",180.00,1.95
ICICI Prudentia,616.95,599.85,615.35,603.75,11.60,1.92
Apollo Tyres,520.80,497.50,515.40,505.80,9.60,1.9
Bajaj Finserv,"2,112.00","2,042.80","2,102.10","2,063.20",38.90,1.89
