company_name,high,low,last_price,prev_close,change,percent_gain
Netweb,"2,362.90","2,064.90","2,322.40","2,065.80",256.6,12.42
Vodafone Idea,7.31,6.58,7.07,6.55,0.52,7.94
Aditya Birla F,81.99,75.60,81.25,75.65,5.6,7.4
Godawari Power,241.80,223.00,238.61,223.19,15.42,6.91
Godawari Power,241.80,223.00,238.61,223.19,15.42,6.91
Zee Entertain,124.14,117.05,123.58,117.11,6.47,5.52
Poly Medicure,"2,096.90","1,963.00","2,070.60","1,964.70",105.9,5.39
Zen Tech,"1,492.60","1,414.10","1,492.60","1,421.60",71,4.99
Ipca Labs,"1,432.70","1,340.50","1,418.40","1,359.10",59.3,4.36
Poonawalla Fin,467.00,449.55,465.50,450.75,14.75,3.27
Bharti Hexacom,"1,868.50","1,776.50","1,859.60","1,801.40",58.2,3.23
Swan Energy,496.70,456.10,475.30,461.05,14.25,3.09
PTC Industries,"14,577.00","13,470.00","13,764.00","13,367.00",397,2.97
UNO Minda,"1,272.60","1,224.20","1,265.80","1,230.60",35.2,2.86
Authum Invest,"3,015.00","2,886.20","2,983.10","2,903.70",79.4,2.73
Asahi India,887.55,858.95,882.85,859.90,22.95,2.67
Atul,"6,579.00","6,325.50","6,497.50","6,345.00",152.5,2.4
Usha Martin,386.50,366.85,377.00,368.15,8.85,2.4
Techno Electric,"1,574.90","1,503.80","1,545.00","1,510.90",34.1,2.26
SJVN,100.50,97.36,99.54,97.35,2.19,2.25
Home First,"1,322.70","1,276.60","1,307.40","1,279.40",28,2.19
Divis Labs,"6,188.00","6,088.00","6,151.50","6,028.00",123.5,2.05
Lemon Tree,174.90,166.00,169.45,166.34,3.11,1.87
Solar Ind,"15,039.00","14,574.00","14,845.00","14,581.00",264,1.81
Finolex Ind,215.30,204.10,211.72,208.10,3.62,1.74
JM Financial,199.80,187.75,193.02,189.73,3.29,1.73
INDUS TOWERS,359.80,348.80,353.55,348.05,5.5,1.58
Sona BLW,451.95,443.40,449.65,442.65,7,1.58
Emcure Pharmace,"1,502.10","1,468.10","1,493.10","1,470.00",23.1,1.57
Minda Corp,510.25,496.80,507.85,500.05,7.8,1.56
One 97 Paytm,"1,277.80","1,242.60","1,264.60","1,245.60",19,1.53
Olectra Greente,"1,595.70","1,526.00","1,553.50","1,530.30",23.2,1.52
Jubilant Pharmo,"1,089.70","1,055.00","1,083.00","1,066.80",16.2,1.52
Saregama India,502.85,480.15,489.30,482.40,6.9,1.43
Supreme Ind,"4,658.80","4,550.10","4,637.80","4,576.40",61.4,1.34
GE Vernova TD,"2,805.50","2,725.00","2,770.00","2,734.00",36,1.32
CESC,167.36,163.43,166.81,164.72,2.09,1.27
Sagility India,48.11,45.37,46.06,45.51,0.55,1.21
Wockhardt,"1,484.90","1,455.00","1,479.40","1,461.90",17.5,1.2
ACME Solar,293.50,284.20,290.80,287.40,3.4,1.18
