company_name,high,low,last_price,prev_close,change,percent_gain
Firstsource Sol,356.00,325.70,352.65,326.35,26.3,8.06
eClerx Services,"4,830.00","4,509.00","4,787.30","4,446.60",340.7,7.66
R R Kabel,"1,345.90","1,255.00","1,327.40","1,245.50",81.9,6.58
HBL Eng,997.50,932.00,992.45,931.70,60.75,6.52
Netweb,"3,917.20","3,724.20","3,897.00","3,717.10",179.9,4.84
Intellect Desig,"1,053.70",972.00,"1,044.75",997.95,46.8,4.69
Kirloskar Oil,946.75,890.90,941.35,899.30,42.05,4.68
Welspun Corp,879.45,838.50,873.05,834.00,39.05,4.68
Bharti Hexacom,"1,880.50","1,798.30","1,870.10","1,787.60",82.5,4.62
Valor Estate,158.00,150.44,156.89,150.25,6.64,4.42
DCM Shriram,"1,287.10","1,213.60","1,278.50","1,224.70",53.8,4.39
Bank of India,140.95,133.73,139.71,133.90,5.81,4.34
Aditya Birla Re,"1,763.90","1,686.40","1,755.20","1,682.40",72.8,4.33
Swan Corp,452.40,430.90,449.90,432.50,17.4,4.02
COFORGE,"1,866.60","1,820.00","1,830.60","1,760.00",70.6,4.01
Mastek,"2,210.00","2,102.00","2,201.30","2,116.60",84.7,4
Rattanindia Ent,54.39,50.70,52.73,50.78,1.95,3.84
BPCL,343.50,331.25,343.00,330.45,12.55,3.8
City Union Bank,234.50,223.07,231.63,223.17,8.46,3.79
Coromandel Int,"2,249.50","2,158.50","2,244.80","2,163.10",81.7,3.78
PB Fintech,"1,756.90","1,681.00","1,749.40","1,685.70",63.7,3.78
Vodafone Idea,9.75,9.61,9.97,9.62,0.35,3.64
Anand Rathi,"3,240.00","3,132.00","3,226.00","3,113.40",112.6,3.62
Indiamart Inter,"2,465.90","2,353.00","2,455.10","2,370.80",84.3,3.56
Brigade Ent,"1,040.00",999.95,"1,035.85","1,000.40",35.45,3.54
Raymond Life,"1,225.00","1,160.00","1,208.10","1,167.10",41,3.51
CreditAccess Gr,"1,490.10","1,415.50","1,472.20","1,422.50",49.7,3.49
HINDPETRO,454.55,438.00,453.75,438.45,15.3,3.49
SBI Life Insura,"1,923.90","1,880.20","1,903.10","1,839.80",63.3,3.44
Nuvama Wealth,"7,436.00","7,164.00","7,420.50","7,176.00",244.5,3.41
MCX India,"9,335.00","8,983.50","9,305.50","9,003.50",302,3.35
Ashok Leyland,141.19,136.50,140.81,136.35,4.46,3.27
IOC,155.37,151.13,155.20,150.37,4.83,3.21
IIFL Finance,506.75,491.00,505.35,489.80,15.55,3.17
Dr Lal PathLab,"3,195.50","3,060.20","3,144.10","3,048.20",95.9,3.15
Aegis Logistics,813.65,784.30,807.00,782.60,24.4,3.12
Cummins,"4,324.00","4,195.50","4,311.50","4,183.20",128.3,3.07
MRPL,152.90,144.20,149.72,145.31,4.41,3.03
Apar Ind,"9,051.00","8,725.00","8,991.00","8,733.50",257.5,2.95
Federal Bank,235.20,228.02,234.04,227.40,6.64,2.92
CDSL,"1,641.00","1,592.00","1,636.50","1,590.20",46.3,2.91
Grasim,"2,934.00","2,847.60","2,923.90","2,841.30",82.6,2.91
GE Shipping,"1,060.00","1,021.00","1,052.50","1,022.80",29.7,2.9
Eris Life,"1,637.80","1,576.60","1,627.80","1,582.60",45.2,2.86
Bank of Baroda,279.90,266.30,273.65,266.20,7.45,2.8
PTC Industries,"17,900.00","17,153.00","17,461.00","16,990.00",471,2.77
Karur Vysya,251.00,242.48,249.75,243.05,6.7,2.76
Premier Energie,"1,119.10","1,068.50","1,100.00","1,070.70",29.3,2.74
Canara Bank,129.98,125.73,129.13,125.70,3.43,2.73
INDUS TOWERS,381.40,359.65,371.30,361.55,9.75,2.7
Godawari Power,271.90,262.10,270.50,263.48,7.02,2.66
EID Parry,"1,078.40","1,033.30","1,066.10","1,038.80",27.3,2.63
Schneider Infra,873.00,848.50,862.40,840.45,21.95,2.61
Jindal Steel,"1,036.30","1,011.20","1,034.30","1,008.20",26.1,2.59
IRB Infra,45.50,43.48,44.63,43.52,1.11,2.55
Metropolis,"1,964.90","1,899.30","1,953.20","1,905.00",48.2,2.53
NMDC Steel,45.75,44.66,45.61,44.49,1.12,2.52
Raymond,593.40,571.50,590.75,576.25,14.5,2.52
Bharti Airtel,"2,094.00","2,030.00","2,080.10","2,029.30",50.8,2.5
Angel One,"2,585.10","2,508.10","2,577.00","2,514.50",62.5,2.49
MphasiS,"2,897.00","2,835.00","2,888.70","2,818.90",69.8,2.48
TITAGARH,900.00,871.25,895.90,874.70,21.2,2.42
KPIT Tech,"1,214.00","1,181.30","1,207.00","1,178.70",28.3,2.4
Tata Comm,"1,953.60","1,890.00","1,941.30","1,896.00",45.3,2.39
Ipca Labs,"1,302.30","1,271.90","1,298.00","1,268.70",29.3,2.31
PNB,120.40,116.99,119.63,116.94,2.69,2.3
Sterling Wilson,233.00,225.61,231.62,226.45,5.17,2.28
J. K. Cement,"6,448.00","6,220.00","6,399.00","6,257.50",141.5,2.26
Union Bank,146.20,141.65,144.96,141.77,3.19,2.25
PNB Housing Fin,933.00,911.30,927.60,907.30,20.3,2.24
Reliance,"1,485.00","1,458.00","1,484.10","1,451.60",32.5,2.24
Sobha,"1,596.00","1,534.70","1,569.00","1,534.70",34.3,2.23
CAMS,"3,977.80","3,882.00","3,965.40","3,880.20",85.2,2.2
Motilal Oswal,"1,064.90","1,035.40","1,058.90","1,036.20",22.7,2.19
Eternal,334.90,324.60,333.70,326.60,7.1,2.17
Anant Raj,635.00,615.05,630.75,617.45,13.3,2.15
Kalyan Jeweller,506.95,494.20,505.85,495.30,10.55,2.13
Oberoi Realty,"1,747.30","1,700.00","1,736.00","1,699.90",36.1,2.12
IOB,41.00,39.45,40.38,39.55,0.83,2.1
Just Dial,794.45,775.00,791.40,775.30,16.1,2.08
UCO Bank,32.55,31.61,32.32,31.66,0.66,2.08
Central Bank,40.14,38.90,39.87,39.07,0.8,2.05
Polycab,"7,702.00","7,483.50","7,666.50","7,513.00",153.5,2.04
SBI,928.00,906.00,922.75,904.50,18.25,2.02
Sagility,49.14,47.14,48.48,47.52,0.96,2.02
Hindalco,845.10,827.00,840.85,824.45,16.4,1.99
IndusInd Bank,772.00,753.15,770.05,755.05,15,1.99
IDBI Bank,96.24,94.08,95.77,93.93,1.84,1.96
Vedanta,505.95,497.25,505.25,495.60,9.65,1.95
RBL Bank,325.90,317.05,322.05,315.95,6.1,1.93
Hero Motocorp,"5,662.00","5,550.00","5,646.50","5,540.50",106,1.91
Cyient,"1,215.00","1,189.30","1,208.10","1,185.60",22.5,1.9
NCC,215.80,212.15,213.55,209.56,3.99,1.9
Amber Enterpris,"8,520.50","8,301.00","8,476.00","8,321.50",154.5,1.86
JK Bank,108.45,105.75,107.63,105.66,1.97,1.86
FSN E-Co Nykaa,255.97,251.31,255.14,250.59,4.55,1.82
Phoenix Mills,"1,715.40","1,680.70","1,711.10","1,680.70",30.4,1.81
Alkyl Amines,"1,910.40","1,868.20","1,904.20","1,871.30",32.9,1.76
BHEL,236.94,231.57,235.00,230.94,4.06,1.76
Prestige Estate,"1,798.70","1,754.10","1,784.80","1,754.10",30.7,1.75
AFFLE 3I,"1,929.00","1,884.20","1,919.60","1,887.40",32.2,1.71
CCL Products,853.45,839.90,850.70,836.50,14.2,1.7
KFin Tech,"1,178.00","1,154.30","1,168.90","1,149.40",19.5,1.7
