company_name,high,low,last_price,prev_close,change,percent_gain
Sun Pharma Adv,258.95,236.65,256.80,237.60,19.2,8.08
Aegis Logistics,318.25,291.60,315.85,294.05,21.8,7.41
KFin Tech,522.45,475.30,509.30,476.50,32.8,6.88
BASF,"2,900.00","2,629.05","2,846.00","2,663.40",182.6,6.86
Metropolis,"1,632.00","1,530.00","1,623.75","1,536.85",86.9,5.65
FDC,388.75,361.55,386.05,365.90,20.15,5.51
CDSL,"1,700.00","1,613.00","1,692.75","1,608.60",84.15,5.23
Power Finance,280.50,265.45,277.30,263.55,13.75,5.22
Sobha,854.00,792.00,829.25,789.20,40.05,5.07
Welspun Corp,496.45,473.25,479.80,456.95,22.85,5
Rattanindia Ent,64.10,60.25,62.70,59.75,2.95,4.94
UNO Minda,636.00,605.70,631.35,602.00,29.35,4.88
PCBL,217.00,202.60,214.20,204.30,9.9,4.85
Triveni Turbine,407.00,387.55,404.25,386.65,17.6,4.55
M&M,"1,558.70","1,487.40","1,552.05","1,487.40",64.65,4.35
Prestige Estate,878.00,830.05,868.45,832.75,35.7,4.29
Ajanta Pharma,"1,898.00","1,797.10","1,875.15","1,801.25",73.9,4.1
Elgi Equipments,540.90,522.05,534.70,515.30,19.4,3.76
Apollo Hospital,"5,313.00","5,122.05","5,297.60","5,110.95",186.65,3.65
City Union Bank,145.45,138.75,143.85,139.15,4.7,3.38
Granules India,374.80,353.40,370.10,358.05,12.05,3.37
Global Health,868.70,816.00,859.75,833.50,26.25,3.15
KEC Intl,580.00,556.00,576.00,558.55,17.45,3.12
Keystone Real,567.85,537.15,557.80,541.85,15.95,2.94
ICICI Securitie,663.50,641.20,660.00,641.20,18.8,2.93
Solar Ind,"6,224.95","6,015.10","6,169.30","5,993.75",175.55,2.93
Oberoi Realty,"1,265.70","1,223.95","1,256.30","1,221.70",34.6,2.83
JB Chemicals,"1,536.25","1,481.30","1,503.30","1,462.20",41.1,2.81
JB Chemicals,"1,536.25","1,481.30","1,503.30","1,462.20",41.1,2.81
Indigo Paints,"1,485.00","1,425.60","1,467.95","1,429.10",38.85,2.72
Poly Medicure,"1,555.00","1,432.00","1,469.00","1,432.00",37,2.58
REC,321.65,310.80,318.00,310.20,7.8,2.51
Swan Energy,419.75,401.75,413.90,404.00,9.9,2.45
Godrej Prop,"1,837.70","1,780.00","1,815.25","1,773.10",42.15,2.38
APL Apollo,"1,660.95","1,614.05","1,646.35","1,608.45",37.9,2.36
Chambal Fert,309.80,303.20,307.25,300.20,7.05,2.35
AU Small Financ,699.80,675.75,690.55,675.35,15.2,2.25
Yes Bank,18.80,18.00,18.35,17.95,0.4,2.23
Dr Lal PathLab,"2,744.00","2,679.80","2,732.55","2,674.45",58.1,2.17
TML - D,448.45,436.25,445.05,436.10,8.95,2.05
TML - D,448.45,436.25,445.05,436.10,8.95,2.05
Finolex Cables,964.00,900.05,940.10,921.30,18.8,2.04
JK Lakshmi Cem,786.00,756.00,780.30,764.80,15.5,2.03
Motilal Oswal,"1,049.35","1,015.05","1,031.95","1,011.75",20.2,2
Adani Power,409.65,390.55,401.10,393.40,7.7,1.96
Coal India,324.50,315.70,323.55,317.40,6.15,1.94
PI Industries,"3,737.50","3,555.00","3,647.85","3,579.10",68.75,1.92
Vardhman Text,377.90,356.90,372.10,365.25,6.85,1.88
Apollo Tyres,427.80,412.00,417.85,410.30,7.55,1.84
Vodafone Idea,14.10,13.70,13.90,13.65,0.25,1.83
M&M Financial,273.50,266.00,271.90,267.05,4.85,1.82
360 ONE WAM,549.00,532.45,545.65,535.95,9.7,1.81
360 ONE WAM,549.00,532.45,545.65,535.95,9.7,1.81
Piramal Pharma,120.40,116.10,117.60,115.60,2,1.73
IRB Infra,36.45,35.05,35.40,34.80,0.6,1.72
IRB Infra,36.45,35.05,35.40,34.80,0.6,1.72
NOCIL,226.50,220.80,224.95,221.15,3.8,1.72
Redington,155.40,152.40,154.55,152.00,2.55,1.68
Emami,521.80,506.10,518.85,510.60,8.25,1.62
Eris Life,971.90,907.05,912.25,897.80,14.45,1.61
Aurobindo Pharm,958.15,929.30,950.75,936.55,14.2,1.52
Gujarat Pipavav,138.70,132.55,135.30,133.30,2,1.5
KPIL,619.65,602.10,614.75,605.90,8.85,1.46
Chalet Hotels,594.40,578.10,588.45,580.05,8.4,1.45
Quess Corp,454.90,438.60,447.70,441.30,6.4,1.45
Info Edge,"4,602.85","4,456.10","4,569.10","4,505.80",63.3,1.4
SAIL,87.50,86.00,87.15,85.95,1.2,1.4
Godrej Ind,670.25,655.00,667.70,658.55,9.15,1.39
CreditAccess Gr,"1,693.00","1,650.00","1,686.75","1,663.80",22.95,1.38
Power Grid Corp,210.50,206.10,209.80,207.00,2.8,1.35
Hero Motocorp,"3,196.00","3,135.00","3,173.90","3,132.10",41.8,1.33
Ceat,"2,239.90","2,132.45","2,150.50","2,123.20",27.3,1.29
PNB Housing Fin,754.70,735.80,745.25,735.80,9.45,1.28
Vijaya Diagnost,597.65,576.35,590.90,583.45,7.45,1.28
Kajaria Ceramic,"1,318.10","1,274.10","1,283.90","1,267.80",16.1,1.27
IndusInd Bank,"1,516.30","1,484.85","1,507.35","1,488.95",18.4,1.24
Ramco Cements,"1,040.00",995.80,"1,022.20","1,009.95",12.25,1.21
Zee Entertain,266.15,256.10,262.85,259.70,3.15,1.21
AAVAS Financier,"1,466.90","1,444.00","1,460.05","1,442.95",17.1,1.19
IIFL Finance,622.40,607.00,617.95,610.70,7.25,1.19
Aarti Drugs,496.75,478.45,483.45,477.80,5.65,1.18
Alkem Lab,"4,337.50","4,232.70","4,282.70","4,232.70",50,1.18
JK Paper,374.60,367.55,372.65,368.35,4.3,1.17
Apar Ind,"5,336.10","5,126.60","5,185.40","5,126.60",58.8,1.15
Five-Star Busin,792.00,768.95,782.20,773.40,8.8,1.14
IDFC First Bank,84.95,83.30,84.65,83.70,0.95,1.14
Torrent Pharma,"2,059.90","2,016.90","2,051.20","2,028.10",23.1,1.14
Ingersoll Rand,"3,025.00","2,950.05","2,975.95","2,943.50",32.45,1.1
Cera Sanitary,"8,619.85","8,491.00","8,598.60","8,505.75",92.85,1.09
Tata Motors,653.65,642.70,649.35,642.55,6.8,1.06
Tata Motors,653.65,642.70,649.35,642.55,6.8,1.06
Angel One,"2,760.90","2,655.30","2,704.20","2,676.05",28.15,1.05
Raymond,"1,894.00","1,855.20","1,884.15","1,864.50",19.65,1.05
Birla Corp,"1,323.00","1,272.00","1,299.30","1,286.10",13.2,1.03
Trent,"2,487.25","2,438.20","2,478.05","2,452.85",25.2,1.03
Krishna Inst.,"1,896.75","1,855.00","1,889.00","1,869.85",19.15,1.02
Indiabulls Real,83.95,79.60,80.80,80.00,0.8,1
Torrent Power,800.00,737.75,760.10,752.65,7.45,0.99
Bata India,"1,613.65","1,530.00","1,572.15","1,556.95",15.2,0.98
Avenue Supermar,"3,765.00","3,725.00","3,747.60","3,712.40",35.2,0.95
Lux Industries,"1,442.95","1,399.00","1,423.25","1,409.90",13.35,0.95
Larsen,"3,028.70","2,997.00","3,024.85","2,996.45",28.4,0.95
Hinduja Global,966.80,946.70,957.65,948.90,8.75,0.92
KPR Mill,794.95,775.05,784.65,777.50,7.15,0.92
Voltas,830.50,814.30,827.70,820.20,7.5,0.91
Sonata,"1,308.00","1,272.40","1,301.60","1,290.20",11.4,0.88
Exide Ind,270.75,265.95,268.70,266.40,2.3,0.86
Castrol,139.10,135.65,137.00,135.85,1.15,0.85
ABB India,"4,372.95","4,216.00","4,310.50","4,275.55",34.95,0.82
DLF,605.60,596.95,600.70,595.90,4.8,0.81
Godrej Agrovet,480.65,469.50,477.00,473.25,3.75,0.79
3M India,"31,788.00","31,261.60","31,726.55","31,479.85",246.7,0.78
Chola Invest.,"1,155.85","1,135.25","1,152.05","1,143.15",8.9,0.78
Maruti Suzuki,"10,449.60","10,316.75","10,400.35","10,322.30",78.05,0.76
Sharda Crop,414.90,407.60,410.70,407.60,3.1,0.76
Home First,934.45,912.00,922.15,915.50,6.65,0.73
Bikaji Foods,535.00,517.30,524.00,520.25,3.75,0.72
Welspun India,152.75,148.40,149.60,148.55,1.05,0.71
TCI Express,"1,343.00","1,320.10","1,334.70","1,325.55",9.15,0.69
PB Fintech,739.90,720.05,731.15,726.20,4.95,0.68
Atul,"6,693.25","6,560.10","6,641.60","6,598.85",42.75,0.65
Archean Chem,541.70,523.40,527.10,523.75,3.35,0.64
Century,"1,173.45","1,149.60","1,169.30","1,162.10",7.2,0.62
HDFC AMC,"2,765.55","2,724.75","2,762.50","2,745.95",16.55,0.6
Balrampur Chini,437.40,431.05,432.60,430.05,2.55,0.59
Craftsman,"4,943.00","4,857.55","4,909.10","4,880.20",28.9,0.59
Fortis Health,346.50,339.25,342.20,340.25,1.95,0.57
Mazagon Dock,"2,068.80","1,986.65","1,996.45","1,985.40",11.05,0.56
Macrotech Dev,861.00,831.65,849.35,844.85,4.5,0.53
NTPC,239.70,236.00,237.95,236.70,1.25,0.53
MphasiS,"2,199.40","2,181.05","2,193.65","2,182.20",11.45,0.52
Persistent,"6,329.00","6,257.10","6,319.70","6,288.40",31.3,0.5
Tata Steel,120.50,118.85,119.65,119.05,0.6,0.5
Tata Steel,120.50,118.85,119.65,119.05,0.6,0.5
Astral Ltd,"1,905.00","1,875.45","1,899.25","1,890.00",9.25,0.49
Sterling Wilson,298.45,287.10,289.10,287.70,1.4,0.49
Sona BLW,566.65,555.20,565.30,562.60,2.7,0.48
Firstsource Sol,161.60,156.50,161.15,160.40,0.75,0.47
