company_name,high,low,last_price,prev_close,change,percent_gain
Valor Estate,152.40,127.25,151.61,127.00,24.61,19.38
MRPL,137.80,117.52,135.53,117.88,17.65,14.97
Alembic Pharma,978.95,838.10,952.60,834.70,117.9,14.12
RamkrishnaForge,858.85,747.05,843.90,745.20,98.7,13.24
Tejas Networks,835.00,709.20,799.90,710.50,89.4,12.58
Jupiter Wagons,362.80,312.05,347.90,313.50,34.4,10.97
Redington,257.50,229.06,250.18,227.45,22.73,9.99
Chennai Petro,643.70,570.45,632.95,575.50,57.45,9.98
BLS Internation,402.00,356.45,397.40,361.60,35.8,9.9
Home First,"1,121.70","1,001.50","1,103.15","1,010.60",92.55,9.16
General Insuran,449.40,409.50,445.35,409.50,35.85,8.75
Sterling Wilson,258.95,234.15,255.75,235.80,19.95,8.46
UTI AMC,"1,078.90",990.55,"1,070.20",989.15,81.05,8.19
IDBI Bank,81.79,74.71,81.37,75.26,6.11,8.12
Olectra Greente,"1,220.00","1,108.00","1,215.30","1,125.55",89.75,7.97
Network 18,47.86,44.20,47.44,44.01,3.43,7.79
Manappuram Fin,247.60,219.73,234.16,217.50,16.66,7.66
New India Assur,169.80,151.93,165.04,153.38,11.66,7.6
Mankind Pharma,"2,450.00","2,253.00","2,415.05","2,244.85",170.2,7.58
Newgen Software,"1,094.85",951.25,"1,034.15",962.10,72.05,7.49
Grindwell Norto,"1,859.85","1,662.90","1,787.25","1,662.90",124.35,7.48
Schneider Infra,694.50,639.05,686.30,638.80,47.5,7.44
PCBL Chemical,428.90,391.30,423.05,394.15,28.9,7.33
Quess Corp,688.00,636.65,683.05,636.65,46.4,7.29
EIH,389.90,357.75,385.15,359.95,25.2,7
JM Financial,102.70,91.62,97.84,91.45,6.39,6.99
Nuvoco Vistas,341.80,305.00,325.55,304.80,20.75,6.81
BSE Limited,"4,850.00","4,455.10","4,779.75","4,478.10",301.65,6.74
Sammaan Capital,119.00,110.51,117.95,110.51,7.44,6.73
CHEMPLAST SANMA,469.00,434.85,463.35,435.55,27.8,6.38
Cello World,597.95,533.30,577.90,544.50,33.4,6.13
HINDPETRO,360.20,334.10,356.95,336.55,20.4,6.06
Netweb,"1,624.65","1,500.00","1,606.55","1,515.45",91.1,6.01
Triveni Engg,407.45,378.15,402.90,380.25,22.65,5.96
Nuvama Wealth,"6,399.00","5,990.55","6,344.55","5,995.25",349.3,5.83
JSW Infra,314.90,296.00,312.80,295.70,17.1,5.78
RITES,241.00,224.30,239.52,226.55,12.97,5.73
Jyoti CNC Auto,"1,156.00","1,017.00","1,118.45","1,057.95",60.5,5.72
TITAGARH,802.00,744.50,784.50,742.70,41.8,5.63
Swan Energy,447.20,420.40,443.65,420.40,23.25,5.53
MphasiS,"2,438.00","2,240.40","2,429.95","2,305.85",124.1,5.38
Aditya Birla Re,"2,055.00","1,939.75","2,038.40","1,937.05",101.35,5.23
Poonawalla Fin,337.90,318.00,334.80,318.20,16.6,5.22
Welspun Living,139.50,130.07,137.45,130.63,6.82,5.22
SBFC Finance,89.30,83.83,87.98,83.64,4.34,5.19
Raymond,"1,564.20","1,410.00","1,481.90","1,409.30",72.6,5.15
PTC Industries,"13,212.05","12,538.55","13,211.90","12,582.95",628.95,5
GE Vernova TD,"1,622.60","1,526.95","1,622.05","1,545.35",76.7,4.96
Vodafone Idea,7.68,7.24,7.62,7.26,0.36,4.96
AB Capital,186.41,177.46,185.52,176.78,8.74,4.94
eClerx Services,"2,772.60","2,585.05","2,749.30","2,620.80",128.5,4.9
Sapphire Foods,319.50,299.25,313.95,299.55,14.4,4.81
Sapphire Foods,319.50,299.25,313.95,299.55,14.4,4.81
KFin Tech,"1,120.00","1,043.40","1,100.50","1,050.30",50.2,4.78
CCL Products,598.00,564.80,593.30,566.60,26.7,4.71
TVS Supply,142.88,135.49,141.38,135.10,6.28,4.65
Kirloskar Bros,"1,770.10","1,636.55","1,733.65","1,657.60",76.05,4.59
SJVN,96.85,90.58,95.23,91.07,4.16,4.57
Carborundum,"1,031.40",970.00,"1,022.20",977.85,44.35,4.54
Kaynes Tech,"4,890.00","4,599.05","4,848.30","4,642.90",205.4,4.42
IFCI,46.24,43.28,45.30,43.42,1.88,4.33
Fert and Chem,682.80,643.65,672.10,644.80,27.3,4.23
PNB Housing Fin,867.25,823.45,860.80,826.05,34.75,4.21
JBM Auto,573.00,538.05,568.00,545.40,22.6,4.14
Praj Industries,577.00,550.50,574.50,551.75,22.75,4.12
Railtel,321.65,295.35,309.75,297.50,12.25,4.12
Adani Wilmar,266.70,254.54,265.25,254.88,10.37,4.07
Alok Industries,17.00,16.15,16.92,16.26,0.66,4.06
IIFL Finance,342.00,326.85,340.00,326.75,13.25,4.06
Chola Fin Hold,"1,717.45","1,611.80","1,692.30","1,626.60",65.7,4.04
Inox India,"1,055.00","1,005.70","1,050.25","1,009.85",40.4,4
CDSL,"1,220.10","1,169.00","1,216.30","1,170.30",46,3.93
CreditAccess Gr,"1,052.55",965.25,"1,009.50",971.55,37.95,3.91
GAIL,177.33,168.40,175.05,168.46,6.59,3.91
NLC India,269.06,245.45,257.49,247.98,9.51,3.83
Krishna Inst.,618.00,585.50,614.15,591.55,22.6,3.82
Krishna Inst.,618.00,585.50,614.15,591.55,22.6,3.82
Anant Raj,554.00,516.10,540.35,520.65,19.7,3.78
SignatureGlobal,"1,203.85","1,118.00","1,157.95","1,116.20",41.75,3.74
Bharat Dynamics,"1,317.65","1,265.25","1,293.10","1,247.00",46.1,3.7
Bharat Dynamics,"1,317.65","1,265.25","1,293.10","1,247.00",46.1,3.7
Apar Ind,"6,028.45","5,723.90","5,928.20","5,717.00",211.2,3.69
KPIL,983.90,928.25,973.55,939.00,34.55,3.68
LT Finance,156.05,148.52,155.09,149.71,5.38,3.59
Usha Martin,343.00,326.40,339.90,328.15,11.75,3.58
Firstsource Sol,319.40,302.45,317.50,306.60,10.9,3.56
Schaeffler Ind,"3,736.95","3,458.75","3,649.15","3,524.30",124.85,3.54
Himadri Special,444.00,427.45,441.55,426.45,15.1,3.54
EID Parry,780.00,753.55,777.90,751.55,26.35,3.51
J. K. Cement,"4,857.35","4,672.05","4,822.50","4,660.65",161.85,3.47
Tata Inv Corp,"6,474.00","6,224.50","6,433.85","6,220.50",213.35,3.43
Cera Sanitary,"5,624.80","5,413.05","5,600.80","5,416.50",184.3,3.4
Poly Medicure,"2,330.00","2,206.15","2,318.00","2,242.15",75.85,3.38
Bank of India,106.10,102.03,105.84,102.40,3.44,3.36
Elecon Eng,459.95,424.10,439.95,425.70,14.25,3.35
Elecon Eng,459.95,424.10,439.95,425.70,14.25,3.35
Adani Green Ene,983.35,920.55,954.25,923.40,30.85,3.34
Ajanta Pharma,"2,881.50","2,630.05","2,714.10","2,626.35",87.75,3.34
AU Small Financ,545.60,525.65,542.80,525.25,17.55,3.34
Angel One,"2,344.40","2,235.00","2,336.80","2,262.80",74,3.27
KPIT Tech,"1,328.00","1,263.25","1,323.40","1,281.60",41.8,3.26
Indian Renew,156.67,149.09,154.82,149.96,4.86,3.24
Kansai Nerolac,249.40,235.64,244.93,237.30,7.63,3.22
CenturyPlyboard,731.35,698.70,726.80,704.20,22.6,3.21
SBI Life Insura,"1,553.30","1,493.45","1,546.40","1,498.35",48.05,3.21
JK Tyre Ind,297.75,283.00,294.75,285.60,9.15,3.2
Rashtriya Chem,130.35,122.78,127.30,123.40,3.9,3.16
NHPC,84.09,80.02,82.56,80.04,2.52,3.15
Zee Entertain,107.99,103.22,106.34,103.17,3.17,3.07
Mahindra Life,344.00,324.50,339.35,329.30,10.05,3.05
IEX,172.97,167.55,172.67,167.58,5.09,3.04
Chola Invest.,"1,550.00","1,500.80","1,538.50","1,493.20",45.3,3.03
Max Healthcare,"1,189.50","1,119.75","1,170.25","1,135.85",34.4,3.03
Chambal Fert,598.55,576.25,597.05,579.55,17.5,3.02
Dalmia Bharat,"1,760.55","1,680.00","1,747.40","1,696.25",51.15,3.02
Piramal Enter,"1,001.00",956.00,996.45,967.35,29.1,3.01
Shree Renuka,30.90,29.23,30.24,29.36,0.88,3
Kirloskar Oil,749.90,722.20,746.75,725.10,21.65,2.99
Easy Trip,13.64,13.08,13.54,13.15,0.39,2.97
Easy Trip,13.64,13.08,13.54,13.15,0.39,2.97
Tata Tech,706.30,665.90,685.75,665.95,19.8,2.97
Intellect Desig,712.65,675.00,709.65,689.25,20.4,2.96
Techno Electric,"1,048.00","1,004.00","1,034.50","1,004.75",29.75,2.96
CAMS,"3,849.00","3,691.60","3,815.70","3,706.20",109.5,2.95
Karur Vysya,210.50,201.00,209.72,203.72,6,2.95
Sanofi India,"5,905.00","5,780.05","5,875.05","5,707.25",167.8,2.94
ONGC,248.00,235.80,242.42,235.59,6.83,2.9
Sonata,376.55,358.35,375.10,364.65,10.45,2.87
LIC Housing Fin,572.65,556.10,571.70,555.80,15.9,2.86
TVS Motor,"2,450.00","2,350.05","2,413.85","2,346.80",67.05,2.86
DOMS Industries,"3,032.30","2,840.50","2,972.30","2,889.85",82.45,2.85
P and G,"13,959.75","13,440.50","13,859.80","13,476.55",383.25,2.84
Emcure Pharmace,"1,058.10",994.10,"1,028.35","1,000.05",28.3,2.83
PB Fintech,"1,608.40","1,533.10","1,603.00","1,559.20",43.8,2.81
NTPC,353.85,341.75,351.30,341.75,9.55,2.79
Union Bank,123.00,119.26,122.52,119.19,3.33,2.79
BPCL,285.85,271.06,279.66,272.13,7.53,2.77
APTUS VALUE,305.65,295.30,304.10,296.00,8.1,2.74
Bajaj Finance,"9,089.00","8,831.00","8,916.10","8,679.65",236.45,2.72
CESC,151.80,146.62,150.82,146.82,4,2.72
Deepak Fert,"1,148.00","1,108.75","1,143.05","1,112.95",30.1,2.7
Gujarat Gas,415.50,400.40,413.25,402.45,10.8,2.68
Bombay Burmah,"1,795.00","1,725.00","1,784.60","1,738.20",46.4,2.67
Ceat,"2,873.95","2,750.10","2,840.20","2,767.20",73,2.64
FSN E-Co Nykaa,174.60,167.01,172.52,168.08,4.44,2.64
GlaxoSmithKline,"2,968.90","2,839.35","2,935.65","2,860.50",75.15,2.63
BHEL,213.67,206.30,211.95,206.54,5.41,2.62
Cyient,"1,345.50","1,268.00","1,316.75","1,283.25",33.5,2.61
Anand Rathi,"1,791.90","1,720.00","1,774.75","1,729.75",45,2.6
Phoenix Mills,"1,687.75","1,623.05","1,666.15","1,624.00",42.15,2.6
Indian Bank,552.15,530.75,547.95,534.25,13.7,2.56
Delhivery,265.82,257.93,263.62,257.07,6.55,2.55
Central Bank,45.25,43.75,45.15,44.04,1.11,2.52
Piramal Pharma,233.51,223.01,226.83,221.29,5.54,2.5
Latent View,384.65,372.85,381.50,372.25,9.25,2.48
Amara Raja,"1,076.10","1,028.00","1,063.90","1,038.30",25.6,2.47
Tata Power,381.90,370.25,379.50,370.35,9.15,2.47
Jyothy Labs,348.65,336.45,345.50,337.25,8.25,2.45
Bandhan Bank,145.28,141.00,144.96,141.52,3.44,2.43
Glenmark,"1,518.85","1,486.50","1,514.75","1,478.80",35.95,2.43
INDUS TOWERS,350.00,338.45,348.85,340.60,8.25,2.42
Pidilite Ind,"2,835.10","2,762.50","2,825.50","2,759.10",66.4,2.41
AIA Engineering,"3,460.00","3,220.00","3,328.75","3,250.70",78.05,2.4
Motherson SWI,54.49,52.44,54.22,52.95,1.27,2.4
Bajaj Holdings,"12,390.00","11,950.00","12,273.55","11,998.70",274.85,2.29
Coal India,411.10,395.10,405.40,396.40,9,2.27
Guj Amb Exports,108.85,104.72,107.55,105.16,2.39,2.27
One 97 Paytm,756.85,727.30,751.05,734.40,16.65,2.27
RBL Bank,169.19,164.84,168.30,164.57,3.73,2.27
Sun Pharma Adv,149.30,142.31,147.77,144.49,3.28,2.27
NCC,207.40,200.00,206.03,201.48,4.55,2.26
Concord Biotech,"1,693.00","1,640.05","1,680.25","1,643.30",36.95,2.25
LTIMindtree,"4,532.70","4,259.80","4,520.25","4,421.15",99.1,2.24
Aurobindo Pharm,"1,204.70","1,178.00","1,200.35","1,174.15",26.2,2.23
COFORGE LTD.,"7,810.00","7,370.10","7,746.80","7,578.30",168.5,2.22
Action Const,"1,262.70","1,213.05","1,250.85","1,223.80",27.05,2.21
Linde India,"6,500.00","6,320.00","6,471.60","6,332.50",139.1,2.2
Jaiprakash Pow,15.20,14.51,14.96,14.64,0.32,2.19
Solar Ind,"10,698.85","10,372.00","10,650.65","10,424.45",226.2,2.17
Affle India,"1,548.00","1,502.25","1,541.65","1,509.05",32.6,2.16
Route,"1,012.55",973.00,999.35,978.45,20.9,2.14
Kotak Mahindra,"2,097.60","2,035.00","2,079.00","2,035.65",43.35,2.13
Nestle,"2,275.00","2,231.95","2,268.85","2,221.55",47.3,2.13
Nestle,"2,275.00","2,231.95","2,268.85","2,221.55",47.3,2.13
