company_name,high,low,last_price,prev_close,change,percent_gain
Shree Renuka,33.50,30.35,32.44,28.79,3.65,12.68
Sammaan Capital,140.50,125.10,139.36,125.43,13.93,11.11
Raymond Life,"1,224.90","1,119.00","1,190.60","1,117.50",73.10,6.54
MRF,"155,000.00","144,185.00","153,885.00","144,835.00","9,050.00",6.25
ITI,311.90,284.00,301.90,284.40,17.50,6.15
JK Tyre Ind,356.50,330.10,351.95,331.95,20.00,6.03
Alok Industries,19.00,17.30,18.26,17.23,1.03,5.98
Ceat,"3,394.80","3,219.30","3,376.00","3,203.30",172.70,5.39
KEC Intl,878.00,814.75,862.05,818.05,44.00,5.38
Ircon Internati,179.64,165.32,175.38,166.48,8.90,5.35
Rail Vikas,339.50,316.00,331.85,315.70,16.15,5.12
Reliance Power,46.24,44.11,46.24,44.04,2.20,5
TataTeleservice,58.75,56.00,58.75,55.96,2.79,4.99
Can Fin Homes,759.50,720.10,755.15,719.90,35.25,4.9
BEML,"4,118.40","3,906.20","4,077.50","3,893.50",184.00,4.73
Balrampur Chini,584.00,561.55,566.85,541.65,25.20,4.65
NMDC,73.14,69.79,72.80,69.62,3.18,4.57
NALCO,201.95,190.87,200.53,191.79,8.74,4.56
Aster DM Health,644.30,602.45,632.05,605.20,26.85,4.44
Elgi Equipments,503.00,471.60,494.70,473.85,20.85,4.4
Apollo Tyres,493.00,467.00,487.80,467.60,20.20,4.32
Sun TV Network,581.80,549.00,567.40,544.85,22.55,4.14
Praj Industries,433.00,412.15,418.40,402.15,16.25,4.04
Dabur India,547.75,523.65,544.60,523.65,20.95,4
Fert and Chem,"1,021.30",947.00,989.35,952.25,37.10,3.9
Cochin Shipyard,"1,770.00","1,664.10","1,738.80","1,673.90",64.90,3.88
Railtel,362.70,338.55,352.25,339.40,12.85,3.79
Schneider Infra,882.90,845.10,876.20,844.40,31.80,3.77
Bata India,"1,160.00","1,117.10","1,157.40","1,115.50",41.90,3.76
Torrent Power,"1,306.90","1,261.20","1,304.60","1,262.00",42.60,3.38
Anant Raj,540.60,520.50,538.20,521.15,17.05,3.27
NMDC Steel,39.78,37.91,39.23,38.01,1.22,3.21
Phoenix Mills,"1,597.50","1,551.10","1,565.70","1,517.10",48.60,3.2
PNB Housing Fin,793.00,760.10,785.45,761.25,24.20,3.18
CG Power ,742.75,718.30,739.65,717.20,22.45,3.13
Triveni Engg,368.45,358.50,360.45,349.70,10.75,3.07
AWL Agri,259.70,250.00,257.40,249.95,7.45,2.98
Trident,28.84,27.58,28.41,27.59,0.82,2.97
Deepak Fert,"1,458.70","1,401.70","1,447.80","1,406.40",41.40,2.94
Mazagon Dock,"2,756.90","2,636.00","2,731.00","2,653.30",77.70,2.93
IOB,40.52,38.73,40.00,38.87,1.13,2.91
Mastek,"2,614.00","2,519.30","2,607.30","2,534.90",72.40,2.86
IGL,218.25,211.91,216.87,210.93,5.94,2.82
Jindal Saw,208.02,200.10,205.26,199.78,5.48,2.74
Jupiter Wagons,337.70,320.05,330.20,321.45,8.75,2.72
Chambal Fert,568.50,540.50,559.05,544.85,14.20,2.61
Rashtriya Chem,159.98,152.49,157.14,153.17,3.97,2.59
JK Bank,103.44,100.22,102.69,100.18,2.51,2.51
Aditya Birla Re,"1,859.00","1,775.00","1,821.30","1,777.20",44.10,2.48
United Brewerie,"1,854.80","1,801.10","1,840.40","1,795.80",44.60,2.48
IDBI Bank,90.74,87.30,89.19,87.05,2.14,2.46
Neuland Lab,"13,784.00","13,317.00","13,728.00","13,399.00",329.00,2.46
Power Grid Corp,287.90,279.85,286.70,279.85,6.85,2.45
Motherson SWI,43.12,41.77,43.00,41.98,1.02,2.43
Garden Reach Sh,"2,589.00","2,455.00","2,543.80","2,485.00",58.80,2.37
HUDCO,219.30,210.55,216.31,211.35,4.96,2.35
Emami,600.00,581.20,595.70,582.15,13.55,2.33
TATA Cons. Prod,"1,105.60","1,074.10","1,100.80","1,075.70",25.10,2.33
Colgate,"2,423.80","2,355.10","2,413.70","2,360.20",53.50,2.27
Firstsource Sol,367.80,356.90,366.75,358.65,8.10,2.26
Nestle,"1,202.50","1,172.40","1,200.90","1,174.40",26.50,2.26
Thermax,"3,288.80","3,204.80","3,282.20","3,210.60",71.60,2.23
RITES,267.99,255.30,264.18,258.48,5.70,2.21
Manappuram Fin,282.80,274.10,281.00,275.00,6.00,2.18
CDSL,"1,543.30","1,463.30","1,508.90","1,476.90",32.00,2.17
Godrej Consumer,"1,286.80","1,247.10","1,283.80","1,256.80",27.00,2.15
Hind Copper,241.68,232.30,237.80,232.82,4.98,2.14
Ramco Cements,"1,084.00","1,061.60","1,080.60","1,058.50",22.10,2.09
CCL Products,925.00,894.40,923.60,904.95,18.65,2.06
Finolex Cables,865.20,839.60,859.30,842.15,17.15,2.04
JSW Energy,513.10,499.55,511.30,501.10,10.20,2.04
IRFC,125.92,120.61,122.99,120.54,2.45,2.03
Voltas,"1,445.00","1,410.50","1,440.60","1,411.90",28.70,2.03
Gravita India,"1,714.90","1,651.60","1,688.90","1,655.60",33.30,2.01
Guj Mineral,445.00,428.25,440.05,431.40,8.65,2.01
Himadri Special,467.80,454.00,461.75,452.65,9.10,2.01
Bombay Burmah,"1,837.20","1,781.90","1,824.00","1,788.20",35.80,2
GAIL,180.45,175.72,179.29,175.94,3.35,1.9
Triveni Turbine,533.35,521.10,530.25,520.50,9.75,1.87
AstraZeneca,"8,955.00","8,649.00","8,926.00","8,764.00",162.00,1.85
Ashok Leyland,132.79,128.46,130.39,128.03,2.36,1.84
Chennai Petro,709.95,684.30,699.60,687.05,12.55,1.83
HBL Eng,864.60,836.10,854.45,839.10,15.35,1.83
ACME Solar,291.00,281.50,287.20,282.15,5.05,1.79
One 97 Paytm,"1,261.50","1,226.00","1,257.90","1,235.80",22.10,1.79
Inox Wind,145.26,141.04,143.34,140.83,2.51,1.78
Navin Fluorine,"4,789.00","4,647.70","4,755.30","4,674.20",81.10,1.74
City Union Bank,201.58,197.33,200.74,197.33,3.41,1.73
