company_name,high,low,last_price,prev_close,change,percent_gain
Vodafone Idea,8.56,7.48,8.10,6.80,1.3,19.12
HBL Eng,532.40,490.55,511.70,472.50,39.2,8.3
Mah Seamless,755.00,682.75,735.10,682.75,52.35,7.67
Lemon Tree,138.43,127.81,137.06,128.41,8.65,6.74
Sterling Wilson,272.50,247.45,266.20,250.35,15.85,6.33
TataTeleservice,61.49,55.91,59.63,56.29,3.34,5.93
Whirlpool,"1,066.20",979.65,"1,047.55",989.90,57.65,5.82
Rattanindia Ent,43.78,40.65,43.40,41.05,2.35,5.72
PVR INOX,974.90,913.00,962.60,912.55,50.05,5.48
INDUS TOWERS,360.90,346.80,352.45,334.30,18.15,5.43
Guj Amb Exports,108.70,102.10,107.43,102.12,5.31,5.2
RHI Magnesita,547.90,510.00,533.65,507.30,26.35,5.19
Godawari Power,190.80,180.52,189.45,180.12,9.33,5.18
Godawari Power,190.80,180.52,189.45,180.12,9.33,5.18
IndusInd Bank,689.80,646.85,682.70,649.85,32.85,5.06
Godfrey Phillip,"7,107.65","6,774.70","7,107.65","6,769.20",338.45,5
Trent,"5,614.95","5,334.20","5,576.75","5,325.15",251.6,4.72
Rajesh Exports,201.30,184.99,194.30,185.56,8.74,4.71
Route,984.00,924.50,976.15,932.20,43.95,4.71
Bikaji Foods,699.00,665.30,691.95,661.00,30.95,4.68
Sammaan Capital,112.64,107.10,111.93,107.10,4.83,4.51
Easy Trip,12.35,11.70,12.22,11.71,0.51,4.36
Easy Trip,12.35,11.70,12.22,11.71,0.51,4.36
TVS Supply,126.86,121.68,126.00,120.75,5.25,4.35
Clean Science,"1,227.00","1,165.35","1,217.90","1,167.35",50.55,4.33
Trident,25.45,24.30,25.31,24.27,1.04,4.29
Tejas Networks,815.70,759.15,791.70,760.45,31.25,4.11
Alkyl Amines,"1,720.00","1,619.90","1,683.15","1,618.15",65,4.02
IDFC First Bank,57.66,54.96,57.17,54.96,2.21,4.02
Shree Renuka,28.90,27.53,28.66,27.58,1.08,3.92
Balaji Amines,"1,264.20","1,205.30","1,253.20","1,207.15",46.05,3.81
