company_name,high,low,last_price,prev_close,change,percent_gain
Wockhardt,"1,433.00","1,288.70","1,413.80","1,281.50",132.30,10.32
Vodafone Idea,9.96,8.76,9.54,8.73,0.81,9.28
Sterling Wilson,245.80,219.61,238.70,219.93,18.77,8.53
Gravita India,"1,822.00","1,674.60","1,806.60","1,667.10",139.50,8.37
Schaeffler Ind,"4,390.00","4,050.00","4,278.70","4,021.40",257.30,6.4
Shriram Finance,799.90,758.50,796.45,748.90,47.55,6.35
Jubilant Pharmo,"1,179.00","1,105.00","1,169.80","1,101.00",68.80,6.25
Latent View,477.00,449.25,474.90,448.35,26.55,5.92
Intellect Desig,"1,244.60","1,126.10","1,198.00","1,133.50",64.50,5.69
NMDC Steel,45.88,42.65,45.48,43.05,2.43,5.64
HFCL,78.10,73.60,77.51,73.51,4.00,5.44
Godrej Consumer,"1,184.80","1,141.30","1,177.50","1,118.60",58.90,5.27
INDUS TOWERS,384.55,365.20,382.05,363.60,18.45,5.07
Home First,"1,259.00","1,195.60","1,254.70","1,195.10",59.60,4.99
Chola Fin Hold,"2,015.90","1,914.50","2,007.00","1,912.60",94.40,4.94
Bank of Baroda,293.25,283.00,291.20,278.40,12.80,4.6
Minda Corp,591.10,563.70,588.85,563.70,25.15,4.46
GE Vernova TD,"3,323.80","3,039.10","3,171.20","3,037.40",133.80,4.41
Aditya Birla F,85.50,81.36,85.10,81.64,3.46,4.24
Neuland Lab,"17,224.00","16,527.00","17,159.00","16,473.00",686.00,4.16
Zen Tech,"1,446.10","1,393.40","1,413.30","1,357.20",56.10,4.13
Vedanta,514.50,500.40,513.00,493.55,19.45,3.94
SBFC Finance,123.00,115.28,118.50,114.08,4.42,3.87
3M India,"31,085.00","29,490.00","30,700.00","29,560.00","1,140.00",3.86
Navin Fluorine,"6,099.00","5,700.00","5,905.50","5,687.40",218.10,3.83
Dr Lal PathLab,"3,289.90","3,151.10","3,254.90","3,135.50",119.40,3.81
Phoenix Mills,"1,762.00","1,660.10","1,746.50","1,682.60",63.90,3.8
JSW Holdings,"17,102.00","16,200.00","16,998.00","16,382.00",616.00,3.76
Karur Vysya,258.50,245.12,251.80,243.15,8.65,3.56
L&T Finance,279.95,269.90,279.70,270.49,9.21,3.4
Dabur India,504.45,485.60,503.30,487.55,15.75,3.23
Motilal Oswal,"1,014.00",970.20,"1,008.90",978.00,30.90,3.16
Sarda Energy,549.00,527.10,546.15,529.50,16.65,3.14
Vijaya Diagnost,"1,029.00",990.90,"1,019.70",988.65,31.05,3.14
Schneider Infra,866.40,836.90,862.65,836.50,26.15,3.13
Lodha Developer,"1,240.00","1,196.80","1,235.10","1,197.90",37.20,3.11
AB Capital,335.70,325.00,334.25,324.20,10.05,3.1
Supreme Ind,"3,939.00","3,788.10","3,929.50","3,812.50",117.00,3.07
MCX India,"9,624.00","9,275.00","9,526.50","9,243.50",283.00,3.06
Ipca Labs,"1,320.00","1,270.00","1,309.70","1,271.20",38.50,3.03
PI Industries,"3,699.00","3,566.70","3,685.30","3,577.40",107.90,3.02
Ajanta Pharma,"2,557.90","2,462.20","2,539.40","2,465.30",74.10,3.01
Alembic Pharma,929.00,897.40,924.20,897.40,26.80,2.99
City Union Bank,237.00,227.12,235.42,228.67,6.75,2.95
BPCL,369.50,356.25,367.30,356.80,10.50,2.94
Usha Martin,480.00,458.00,478.25,464.85,13.40,2.88
AstraZeneca,"9,849.50","9,519.00","9,827.50","9,555.00",272.50,2.85
LIC India,923.00,894.70,919.90,894.70,25.20,2.82
BSE Limited,"2,577.00","2,485.50","2,548.30","2,479.00",69.30,2.8
TATA Cons. Prod,"1,202.80","1,157.20","1,197.50","1,165.00",32.50,2.79
DLF,784.50,752.35,777.20,756.25,20.95,2.77
Angel One,"2,560.00","2,486.20","2,558.70","2,492.40",66.30,2.66
Shyam Metalics,915.00,870.50,901.20,877.85,23.35,2.66
Indian Bank,887.80,859.10,881.40,858.70,22.70,2.64
TataTeleservice,58.25,54.53,56.01,54.58,1.43,2.62
Atul,"5,920.00","5,775.00","5,906.50","5,762.50",144.00,2.5
JK Tyre Ind,447.00,430.90,442.75,432.05,10.70,2.48
TITAGARH,919.00,893.50,906.35,884.55,21.80,2.46
GlaxoSmithKline,"2,694.00","2,618.70","2,682.80","2,618.60",64.20,2.45
Aegis Logistics,788.00,748.50,768.10,750.15,17.95,2.39
Sobha,"1,661.40","1,619.20","1,656.40","1,618.60",37.80,2.34
Aarti Ind,392.60,379.50,388.65,379.95,8.70,2.29
Laurus Labs,979.60,955.70,975.40,953.65,21.75,2.28
Mah Seamless,582.25,568.30,580.70,568.00,12.70,2.24
Gland,"2,034.00","1,922.60","1,972.00","1,928.90",43.10,2.23
Alkem Lab,"5,637.50","5,499.00","5,628.50","5,506.50",122.00,2.22
JM Financial,168.30,164.02,167.61,164.02,3.59,2.19
Tanla Platforms,625.20,610.35,623.80,610.55,13.25,2.17
Torrent Power,"1,352.50","1,309.10","1,344.80","1,316.50",28.30,2.15
Godrej Ind,"1,133.50","1,099.60","1,128.40","1,104.90",23.50,2.13
Astral Ltd,"1,486.00","1,440.00","1,480.70","1,450.10",30.60,2.11
Ambuja Cements,582.75,566.70,577.20,565.40,11.80,2.09
UNO Minda,"1,268.80","1,215.00","1,260.80","1,235.20",25.60,2.07
Prestige Estate,"1,805.20","1,735.40","1,780.70","1,744.70",36.00,2.06
V-Guard Ind,380.80,363.00,369.70,362.25,7.45,2.06
Solar Ind,"14,195.00","13,826.00","14,161.00","13,878.00",283.00,2.04
CCL Products,888.00,857.60,877.15,859.75,17.40,2.02
Radico Khaitan,"3,203.40","3,120.50","3,193.60","3,131.50",62.10,1.98
Sundaram Fin,"4,742.40","4,550.00","4,684.90","4,594.50",90.40,1.97
Ola Electric,51.85,48.65,51.12,50.14,0.98,1.95
NALCO,240.10,236.28,238.66,234.14,4.52,1.93
Torrent Pharma,"3,641.00","3,560.10","3,628.30","3,560.10",68.20,1.92
Canara Bank,141.45,137.30,139.60,136.99,2.61,1.91
Kirloskar Oil,"1,023.00",990.10,"1,018.95",999.90,19.05,1.91
Newgen Software,"1,008.40",967.15,994.60,976.10,18.50,1.9
ZFCVINDIA,"12,680.00","12,403.00","12,660.00","12,424.00",236.00,1.9
Apollo Hospital,"7,845.00","7,661.50","7,824.50","7,681.00",143.50,1.87
Lemon Tree,168.59,165.27,168.30,165.27,3.03,1.83
Rashtriya Chem,153.50,148.81,152.01,149.28,2.73,1.83
Sona BLW,483.55,472.85,481.25,472.75,8.50,1.8
Concord Biotech,"1,478.60","1,439.10","1,469.70","1,443.80",25.90,1.79
JB Chemicals,"1,720.10","1,683.30","1,712.30","1,682.30",30.00,1.78
M&M,"3,590.00","3,511.00","3,548.90","3,487.20",61.70,1.77
Aurobindo Pharm,"1,163.80","1,135.20","1,158.60","1,138.90",19.70,1.73
Metropolis,"2,009.00","1,960.10","2,004.50","1,970.40",34.10,1.73
TMPV,417.85,410.10,417.00,410.00,7.00,1.71
Craftsman,"6,890.00","6,729.00","6,793.50","6,680.00",113.50,1.7
Vardhman Text,452.50,438.20,443.40,436.05,7.35,1.69
Alivus Life,933.00,904.45,919.50,904.45,15.05,1.66
Alkyl Amines,"1,900.60","1,860.00","1,890.50","1,860.00",30.50,1.64
Oberoi Realty,"1,817.60","1,777.10","1,807.50","1,778.30",29.20,1.64
Route,726.00,705.55,723.85,712.25,11.60,1.63
Raymond Life,"1,242.00","1,175.00","1,201.50","1,182.30",19.20,1.62
Bank of India,142.95,140.20,142.13,139.88,2.25,1.61
HINDPETRO,487.40,480.05,483.65,476.00,7.65,1.61
IGIL,349.85,337.85,343.15,337.70,5.45,1.61
PNC Infratech,285.80,280.45,284.95,280.45,4.50,1.6
Techno Electric,"1,354.30","1,314.80","1,340.20","1,319.10",21.10,1.6
Apollo Tyres,513.40,499.40,509.45,501.50,7.95,1.59
Escorts Kubota,"3,880.00","3,786.00","3,846.50","3,786.50",60.00,1.58
SUMITOMO,510.50,496.00,510.15,502.20,7.95,1.58
