company_name,high,low,last_price,prev_close,change,percent_gain
Netweb,"3,182.50","2,615.00","3,079.40","2,652.10",427.3,16.11
Brainbees Solu,407.80,354.20,401.10,352.20,48.9,13.88
Guj Mineral,515.00,451.90,509.00,455.20,53.8,11.82
Vodafone Idea,7.45,6.60,7.23,6.61,0.62,9.38
SKF India,"4,919.00","4,700.00","4,878.10","4,599.80",278.3,6.05
Godfrey Phillip,"11,175.00","10,360.00","11,073.00","10,453.00",620,5.93
Rattanindia Ent,64.00,58.82,61.97,58.93,3.04,5.16
Jaiprakash Pow,19.07,18.08,19.07,18.17,0.9,4.95
Schneider Infra,891.50,850.05,890.10,849.05,41.05,4.83
BSE Limited,"2,347.90","2,227.00","2,319.60","2,219.50",100.1,4.51
Niva Bupa Healt,86.24,82.26,84.67,81.26,3.41,4.2
INDUS TOWERS,341.90,324.30,337.40,324.05,13.35,4.12
RBL Bank,279.00,265.80,276.00,265.80,10.2,3.84
Swiggy,440.00,420.70,439.05,423.10,15.95,3.77
Aditya Birla F,86.50,82.82,85.92,82.88,3.04,3.67
BEML,"4,149.00","3,940.20","4,083.10","3,951.70",131.4,3.33
Indegene,563.80,545.00,561.40,543.70,17.7,3.26
City Union Bank,201.36,194.29,200.07,194.05,6.02,3.1
Glenmark,"2,055.20","1,990.90","2,051.90","1,990.90",61,3.06
Clean Science,"1,217.90","1,155.40","1,189.20","1,155.50",33.7,2.92
APTUS VALUE,340.00,329.15,338.05,328.70,9.35,2.84
KFin Tech,"1,098.10","1,058.00","1,087.50","1,058.00",29.5,2.79
NALCO,213.00,205.20,212.14,206.67,5.47,2.65
PNC Infratech,313.85,304.40,313.05,305.05,8,2.62
Cohance Life,926.00,897.50,922.90,899.30,23.6,2.62
Hyundai Motor,"2,549.60","2,462.10","2,541.70","2,479.30",62.4,2.52
Godrej Agrovet,752.50,730.55,748.60,730.40,18.2,2.49
Lemon Tree,177.95,170.75,175.17,170.95,4.22,2.47
MM Financial,274.00,263.00,269.30,262.90,6.4,2.43
Eicher Motors,"6,598.50","6,440.50","6,580.50","6,425.00",155.5,2.42
Astral Ltd,"1,458.20","1,415.10","1,454.90","1,421.30",33.6,2.36
Shree Renuka,32.89,30.95,32.13,31.39,0.74,2.36
Motherson SWI,45.48,43.86,45.17,44.15,1.02,2.31
M&M,"3,577.80","3,481.50","3,561.30","3,481.50",79.8,2.29
Vedanta,446.80,435.60,445.50,435.70,9.8,2.25
Ashok Leyland,132.23,128.24,130.77,128.01,2.76,2.16
Gravita India,"1,699.90","1,651.00","1,693.50","1,657.80",35.7,2.15
Voltas,"1,437.40","1,405.20","1,432.80","1,402.60",30.2,2.15
Swan Corp,458.80,445.55,455.15,445.65,9.5,2.13
Chola Invest.,"1,495.70","1,457.00","1,490.90","1,461.20",29.7,2.03
Campus Active,274.50,262.60,272.10,266.70,5.4,2.02
CenturyPlyboard,810.15,784.15,803.80,788.20,15.6,1.98
Biocon,364.80,354.00,363.70,356.85,6.85,1.92
IGIL,351.00,339.30,348.70,342.20,6.5,1.9
MMTC,67.20,62.96,64.54,63.38,1.16,1.83
Welspun Living,114.90,111.36,114.02,111.97,2.05,1.83
CAMS,"3,848.00","3,776.90","3,832.40","3,764.70",67.7,1.8
RITES,263.45,255.90,262.19,257.62,4.57,1.77
Angel One,"2,304.50","2,252.80","2,296.80","2,257.10",39.7,1.76
Exide Ind,414.80,406.50,412.75,405.65,7.1,1.75
Sarda Energy,583.65,559.10,569.40,559.75,9.65,1.72
Amara Raja,"1,032.80","1,001.10","1,018.30","1,001.60",16.7,1.67
NMDC Steel,43.14,41.32,42.46,41.77,0.69,1.65
Tanla Platforms,664.10,648.60,658.65,647.95,10.7,1.65
Vijaya Diagnost,"1,114.90","1,084.70","1,107.20","1,089.40",17.8,1.63
Maruti Suzuki,"14,957.00","14,701.00","14,895.00","14,662.00",233,1.59
Escorts Kubota,"3,720.30","3,621.10","3,690.50","3,633.30",57.2,1.57
UNO Minda,"1,310.50","1,279.80","1,298.60","1,278.70",19.9,1.56
Karur Vysya,206.80,202.59,206.10,202.96,3.14,1.55
IRFC,123.71,121.74,123.46,121.63,1.83,1.5
NMDC,74.69,72.82,74.53,73.43,1.1,1.5
Jyoti CNC Auto,899.00,881.15,896.75,884.05,12.7,1.44
