company_name,high,low,last_price,prev_close,change,percent_gain
Godawari Power,275.50,245.20,270.13,244.07,26.06,10.68
Anant Raj,604.00,536.05,589.45,533.30,56.15,10.53
Aegis Logistics,774.00,701.35,758.90,702.25,56.65,8.07
Railtel,407.70,382.00,399.70,374.60,25.1,6.7
Ircon Internati,186.90,172.55,183.66,172.30,11.36,6.59
Vodafone Idea,8.38,7.65,8.14,7.66,0.48,6.27
Sarda Energy,638.90,590.20,626.15,589.90,36.25,6.15
Asahi India,899.00,851.00,893.80,846.90,46.9,5.54
IFCI,58.38,53.43,56.21,53.37,2.84,5.32
Piramal Enter,"1,149.00","1,088.00","1,141.00","1,083.70",57.3,5.29
SBI Card,902.00,846.55,900.05,856.15,43.9,5.13
Welspun Corp,925.00,874.45,923.80,879.75,44.05,5.01
Authum Invest,"3,281.00","3,115.50","3,276.90","3,134.80",142.1,4.53
Inox India,"1,233.90","1,170.00","1,221.50","1,169.70",51.8,4.43
Bombay Burmah,"1,975.20","1,871.00","1,961.30","1,879.80",81.5,4.34
ITI,331.50,310.85,322.55,309.50,13.05,4.22
HBL Eng,914.35,870.00,909.45,873.30,36.15,4.14
CESC,168.40,161.00,166.39,160.06,6.33,3.95
Aditya Birla Re,"1,875.60","1,789.40","1,866.20","1,797.10",69.1,3.85
Radico Khaitan,"2,986.80","2,904.00","2,980.60","2,870.90",109.7,3.82
Tube Investment,"3,374.40","3,240.00","3,354.10","3,231.20",122.9,3.8
NHPC,86.79,83.50,86.61,83.50,3.11,3.72
Jyoti CNC Auto,941.90,900.15,932.25,900.15,32.1,3.57
KPR Mill,"1,052.00","1,009.90","1,047.00","1,010.90",36.1,3.57
Cochin Shipyard,"1,828.00","1,750.00","1,807.80","1,745.70",62.1,3.56
Tata Comm,"1,675.00","1,603.20","1,670.30","1,614.00",56.3,3.49
Indian Renew,154.44,147.89,152.37,147.35,5.02,3.41
JBM Auto,764.30,713.10,736.75,712.95,23.8,3.34
HUDCO,225.49,216.63,223.06,216.48,6.58,3.04
MOTHERSON,108.07,105.31,107.81,104.69,3.12,2.98
Prestige Estate,"1,603.90","1,546.10","1,594.20","1,549.70",44.5,2.87
Siemens,"3,325.00","3,190.10","3,293.70","3,202.00",91.7,2.86
Chalet Hotels,"1,059.00","1,020.80","1,050.50","1,021.80",28.7,2.81
Ola Electric,61.02,57.50,60.51,58.90,1.61,2.73
Godrej Ind,"1,269.80","1,206.10","1,243.50","1,210.70",32.8,2.71
Rail Vikas,355.50,339.30,347.25,338.10,9.15,2.71
RITES,280.90,267.91,275.14,267.90,7.24,2.7
Brigade Ent,972.70,945.00,970.05,945.60,24.45,2.59
PTC Industries,"14,599.00","14,039.00","14,530.00","14,166.00",364,2.57
Alembic Pharma,979.00,947.50,970.10,946.50,23.6,2.49
Motilal Oswal,946.75,915.60,940.75,918.00,22.75,2.48
Jupiter Wagons,351.00,336.45,344.55,336.30,8.25,2.45
Bharat Dynamics,"1,609.90","1,554.60","1,604.70","1,566.50",38.2,2.44
Aadhar Housing ,519.95,504.65,518.80,506.65,12.15,2.4
Oberoi Realty,"1,652.20","1,599.90","1,640.00","1,601.90",38.1,2.38
Finolex Ind,222.50,214.06,220.76,215.65,5.11,2.37
Chennai Petro,754.80,733.00,751.90,734.85,17.05,2.32
CreditAccess Gr,"1,328.20","1,265.00","1,322.10","1,292.60",29.5,2.28
DLF,781.70,759.40,775.70,758.40,17.3,2.28
TBO Tek,"1,603.70","1,542.70","1,590.10","1,554.70",35.4,2.28
AAVAS Financier,"1,685.80","1,633.70","1,670.30","1,633.30",37,2.27
GE Vernova TD,"2,885.00","2,758.10","2,851.00","2,788.20",62.8,2.25
TITAGARH,965.00,928.50,948.30,927.50,20.8,2.24
MMTC,68.60,65.10,66.27,64.84,1.43,2.21
Schneider Infra,900.00,865.55,889.60,870.95,18.65,2.14
Anand Rathi,"3,067.80","2,953.30","3,039.70","2,977.10",62.6,2.1
Inventurus Know,"1,578.70","1,539.90","1,572.80","1,540.70",32.1,2.08
Triveni Turbine,554.00,533.40,542.35,531.65,10.7,2.01
Bikaji Foods,794.80,773.00,791.60,776.25,15.35,1.98
Ceat,"3,364.00","3,285.00","3,345.00","3,280.40",64.6,1.97
Godrej Prop,"2,063.90","2,003.20","2,036.60","1,998.90",37.7,1.89
CCL Products,910.25,885.95,903.85,887.60,16.25,1.83
Mah Seamless,644.00,626.95,638.35,626.85,11.5,1.83
Akums Drugs P,474.50,459.05,470.35,462.00,8.35,1.81
Amber Enterpris,"8,123.00","7,895.00","8,080.00","7,936.00",144,1.81
PCBL Chemical,393.90,384.90,391.50,384.55,6.95,1.81
Phoenix Mills,"1,603.70","1,553.60","1,587.60","1,560.10",27.5,1.76
Gujarat Pipavav,165.62,162.70,164.09,161.28,2.81,1.74
Jindal Saw,214.00,205.17,211.56,207.96,3.6,1.73
ABB India,"5,383.30","5,241.20","5,338.80","5,248.60",90.2,1.72
Vedant Fashions,736.90,719.30,735.50,723.05,12.45,1.72
India Cements,400.25,387.60,398.35,391.65,6.7,1.71
Indian Hotels,792.55,778.50,790.85,777.70,13.15,1.69
Suzlon Energy,58.45,57.20,58.07,57.11,0.96,1.68
Lodha Developer,"1,201.00","1,159.60","1,187.80","1,168.30",19.5,1.67
ZFCVINDIA,"13,750.00","13,473.00","13,658.00","13,433.00",225,1.67
Capri Global,190.13,186.90,189.12,186.04,3.08,1.66
IEX,147.90,145.00,147.21,144.84,2.37,1.64
Sobha,"1,606.60","1,555.00","1,594.70","1,569.00",25.7,1.64
NCC,212.77,208.01,212.10,208.72,3.38,1.62
Inox Wind,153.15,148.90,151.32,148.92,2.4,1.61
UNO Minda,"1,305.00","1,282.50","1,301.50","1,281.00",20.5,1.6
DOMS Industries,"2,655.90","2,581.00","2,637.20","2,596.80",40.4,1.56
Schaeffler Ind,"4,030.90","3,953.30","4,014.60","3,953.30",61.3,1.55
Power Finance,404.75,395.75,401.85,395.70,6.15,1.55
UCO Bank,29.58,28.91,29.44,28.99,0.45,1.55
IRFC,130.35,126.01,128.18,126.23,1.95,1.54
Fert and Chem,"1,016.00",981.95,996.85,981.80,15.05,1.53
Alkyl Amines,"2,074.90","2,014.20","2,061.40","2,030.60",30.8,1.52
Brainbees Solu,399.25,389.20,397.65,391.70,5.95,1.52
Piramal Pharma,205.71,198.81,203.69,200.67,3.02,1.5
IGIL,377.70,365.80,375.35,369.90,5.45,1.47
Tata Chemicals,985.20,961.55,975.40,961.25,14.15,1.47
Ambuja Cements,571.50,561.00,568.75,560.55,8.2,1.46
Ramco Cements,"1,055.00","1,030.90","1,046.00","1,030.90",15.1,1.46
Techno Electric,"1,488.10","1,430.40","1,462.90","1,442.00",20.9,1.45
Havells India,"1,601.00","1,575.40","1,595.20","1,572.60",22.6,1.44
Linde India,"6,560.00","6,409.00","6,529.50","6,439.00",90.5,1.41
Canara Bank,113.00,111.21,112.51,110.96,1.55,1.4
IOB,40.16,39.41,39.98,39.43,0.55,1.39
Chola Fin Hold,"1,895.00","1,836.30","1,891.40","1,865.40",26,1.39
IRB Infra,43.73,42.62,43.27,42.68,0.59,1.38
REC,383.30,373.10,378.45,373.30,5.15,1.38
SignatureGlobal,"1,139.50","1,120.80","1,133.00","1,117.70",15.3,1.37
Hitachi Energy,"20,300.00","19,854.00","20,180.00","19,911.00",269,1.35
Angel One,"2,274.00","2,212.60","2,252.00","2,222.30",29.7,1.34
Bank of Mah,54.90,54.00,54.77,54.05,0.72,1.33
Jio Financial,316.65,310.00,315.35,311.20,4.15,1.33
Sona BLW,437.10,430.20,434.00,428.30,5.7,1.33
Transformers,509.00,497.40,504.80,498.15,6.65,1.33
Tata Tech,720.75,707.75,711.45,702.10,9.35,1.33
Concord Biotech,"1,680.00","1,631.40","1,660.50","1,639.00",21.5,1.31
General Insuran,375.45,368.55,374.25,369.40,4.85,1.31
R R Kabel,"1,271.90","1,240.20","1,260.40","1,244.20",16.2,1.3
Jindal Stainles,753.50,733.10,750.20,740.95,9.25,1.25
Raymond,634.10,616.00,622.25,614.65,7.6,1.24
Caplin Labs,"2,292.00","2,250.00","2,273.30","2,245.60",27.7,1.23
MphasiS,"2,944.00","2,878.40","2,939.20","2,904.20",35,1.21
BSE Limited,"2,254.30","2,216.20","2,227.40","2,201.20",26.2,1.19
JSW Energy,535.00,523.15,532.00,525.75,6.25,1.19
Bajaj Housing,115.34,112.66,113.35,112.03,1.32,1.18
GMR Airports,89.79,87.99,89.17,88.13,1.04,1.18
Bharat Forge,"1,240.00","1,217.30","1,237.20","1,223.00",14.2,1.16
HFCL,74.61,73.30,73.87,73.02,0.85,1.16
TataTeleservice,58.95,57.17,57.74,57.08,0.66,1.16
V-Guard Ind,375.00,365.00,374.05,369.75,4.3,1.16
IIFL Finance,443.00,434.00,439.55,434.55,5,1.15
Zen Tech,"1,525.00","1,481.50","1,498.50","1,481.50",17,1.15
PNB,109.21,107.31,108.51,107.31,1.2,1.12
NBCC (India),109.20,106.60,107.66,106.49,1.17,1.1
Container Corp,562.90,549.90,556.00,550.05,5.95,1.08
Central Bank,36.91,36.30,36.67,36.28,0.39,1.07
Castrol,200.10,197.40,199.46,197.34,2.12,1.07
Sai Life Sci,887.00,872.00,882.00,872.70,9.3,1.07
Patanjali Foods,601.90,589.50,599.00,592.70,6.3,1.06
Hindustan Aeron,"4,845.00","4,780.00","4,795.20","4,745.60",49.6,1.05
LIC India,885.95,875.15,883.70,874.75,8.95,1.02
Swiggy,427.90,420.45,424.85,420.55,4.3,1.02
Engineers India,218.00,210.12,210.88,208.80,2.08,1
Jindal Steel,"1,049.95","1,033.20","1,046.30","1,035.95",10.35,1
Syngene Intl,673.70,658.10,670.80,664.15,6.65,1
City Union Bank,207.69,203.10,206.40,204.37,2.03,0.99
Federal Bank,196.88,194.20,196.27,194.36,1.91,0.98
Finolex Cables,859.85,847.20,854.90,846.60,8.3,0.98
Alok Industries,19.08,18.54,18.71,18.53,0.18,0.97
EIH,403.00,394.15,401.00,397.15,3.85,0.97
IOC,144.19,142.31,143.99,142.61,1.38,0.97
Alkem Lab,"5,530.50","5,391.00","5,500.50","5,448.00",52.5,0.96
AU Small Financ,715.00,699.20,713.40,706.65,6.75,0.96
360 ONE WAM,"1,082.90","1,059.00","1,079.00","1,068.80",10.2,0.95
APTUS VALUE,338.55,331.70,334.90,331.80,3.1,0.93
SJVN,95.58,93.25,93.92,93.05,0.87,0.93
Graphite India,545.00,532.00,538.30,533.40,4.9,0.92
Godfrey Phillip,"10,445.00","10,084.00","10,229.00","10,136.00",93,0.92
Berger Paints,546.25,536.10,544.25,539.35,4.9,0.91
L&T Finance,238.35,233.80,237.10,234.96,2.14,0.91
Rashtriya Chem,155.79,152.60,153.59,152.20,1.39,0.91
Adani Energy,843.40,830.05,837.15,829.90,7.25,0.87
Voltas,"1,421.90","1,400.00","1,415.80","1,403.60",12.2,0.87
Afcons Infra,453.20,444.00,452.55,448.75,3.8,0.85
Atul,"6,490.00","6,372.50","6,445.50","6,392.00",53.5,0.84
C. E. Info Syst,"1,651.90","1,630.80","1,648.30","1,634.80",13.5,0.83
