company_name,high,low,last_price,prev_close,change,percent_gain
Data Patterns,"3,044.50","2,886.60","3,003.40","2,792.20",211.2,7.56
Valor Estate,157.20,142.41,152.73,143.60,9.13,6.36
PG Electroplast,567.90,528.00,559.45,528.00,31.45,5.96
Ashok Leyland,151.46,143.63,150.41,142.53,7.88,5.53
CenturyPlyboard,807.65,761.50,799.45,763.75,35.7,4.67
Five-Star Busin,646.90,615.95,642.35,615.00,27.35,4.45
Asian Paints,"2,897.10","2,840.00","2,879.40","2,769.80",109.6,3.96
SignatureGlobal,"1,112.00","1,070.00","1,102.40","1,065.40",37,3.47
City Union Bank,264.00,246.83,259.97,251.69,8.28,3.29
RamkrishnaForge,588.40,522.00,556.10,538.45,17.65,3.28
Berger Paints,582.00,564.75,577.90,560.10,17.8,3.18
Prestige Estate,"1,776.50","1,720.00","1,755.20","1,701.20",54,3.17
Emcure Pharmace,"1,419.40","1,343.20","1,379.40","1,337.40",42,3.14
MOTHERSON,111.75,103.89,109.13,105.92,3.21,3.03
AIA Engineering,"3,719.40","3,580.00","3,709.00","3,603.20",105.8,2.94
Elecon Eng,542.60,524.55,540.35,525.75,14.6,2.78
Hind Zinc,504.00,486.60,495.20,481.90,13.3,2.76
Biocon,423.10,405.75,417.00,405.90,11.1,2.73
Tata Comm,"1,905.20","1,836.10","1,888.70","1,840.00",48.7,2.65
Honasa Consumer,308.20,286.35,289.40,282.05,7.35,2.61
Granules India,561.80,536.20,556.30,542.45,13.85,2.55
Kirloskar Oil,"1,094.35","1,054.75","1,084.90","1,058.65",26.25,2.48
RHI Magnesita,498.95,480.05,492.05,480.20,11.85,2.47
Global Health,"1,210.00","1,173.40","1,201.80","1,173.80",28,2.39
J. K. Cement,"5,658.00","5,502.00","5,626.50","5,500.50",126,2.29
IGL,216.65,205.10,215.02,210.23,4.79,2.28
Aurobindo Pharm,"1,222.90","1,185.60","1,210.20","1,183.60",26.6,2.25
Motherson SWI,47.50,46.00,47.39,46.35,1.04,2.24
Hindalco,816.50,799.00,811.95,794.40,17.55,2.21
Kajaria Ceramic,"1,139.90","1,105.00","1,128.30","1,105.00",23.3,2.11
Muthoot Finance,"3,406.80","3,307.20","3,393.10","3,324.90",68.2,2.05
Dr Lal PathLab,"3,175.00","3,065.20","3,143.60","3,080.70",62.9,2.04
Authum Invest,"2,879.00","2,800.00","2,854.10","2,798.00",56.1,2.01
Balrampur Chini,459.75,449.70,458.15,449.15,9,2
ICICI Bank,"1,390.40","1,358.50","1,385.90","1,358.90",27,1.99
Adani Energy,"1,035.75",998.35,"1,021.40","1,001.90",19.5,1.95
ABSL AMC,757.45,737.30,751.20,737.05,14.15,1.92
Deepak Fert,"1,433.90","1,393.30","1,419.80","1,393.20",26.6,1.91
AAVAS Financier,"1,771.90","1,694.10","1,736.40","1,704.00",32.4,1.9
Interglobe Avi,"5,938.00","5,811.00","5,905.50","5,795.50",110,1.9
Glenmark,"1,918.90","1,845.90","1,880.60","1,847.80",32.8,1.78
MCX India,"9,723.00","9,465.00","9,597.00","9,432.00",165,1.75
JM Financial,164.56,151.47,154.10,151.47,2.63,1.74
Westlife Food,562.85,548.95,560.05,550.55,9.5,1.73
Vedanta,535.50,524.20,529.60,520.60,9,1.73
Vijaya Diagnost,"1,054.00","1,012.40","1,041.20","1,023.85",17.35,1.69
Elgi Equipments,507.90,490.80,500.00,491.80,8.2,1.67
Godrej Agrovet,586.40,578.30,584.65,575.45,9.2,1.6
Welspun Corp,938.30,920.00,928.15,913.80,14.35,1.57
Kansai Nerolac,252.45,245.05,249.34,245.53,3.81,1.55
APTUS VALUE,289.35,282.60,287.25,282.95,4.3,1.52
Indian Hotels,720.35,705.00,717.70,706.95,10.75,1.52
Home First,"1,177.30","1,136.20","1,168.10","1,150.70",17.4,1.51
PNB Housing Fin,919.25,894.30,912.55,899.05,13.5,1.5
Jindal Stainles,751.90,731.35,738.90,728.25,10.65,1.46
Nippon,894.85,874.95,884.95,873.10,11.85,1.36
Angel One,"2,768.30","2,666.40","2,713.50","2,679.50",34,1.27
General Insuran,393.50,386.20,391.80,386.90,4.9,1.27
Larsen,"4,022.90","3,925.60","4,002.50","3,954.60",47.9,1.21
Fert and Chem,909.95,887.55,905.00,894.55,10.45,1.17
Coromandel Int,"2,234.00","2,186.60","2,210.20","2,184.80",25.4,1.16
Divis Labs,"6,645.00","6,473.00","6,593.50","6,520.00",73.5,1.13
Jubilant Ing.,687.15,672.00,681.50,673.90,7.6,1.13
Guj State Petro,303.10,297.00,301.35,298.10,3.25,1.09
Castrol,194.84,190.21,192.25,190.21,2.04,1.07
Escorts Kubota,"3,644.60","3,584.10","3,608.00","3,570.40",37.6,1.05
Power Grid Corp,270.45,265.65,269.85,267.10,2.75,1.03
Rashtriya Chem,153.00,150.41,151.97,150.42,1.55,1.03
Bajaj Finserv,"2,072.40","2,032.30","2,056.20","2,035.50",20.7,1.02
Indegene,518.50,508.00,514.00,508.80,5.2,1.02
Narayana Hruda,"1,799.00","1,756.90","1,777.10","1,759.20",17.9,1.02
KEI Industries,"4,131.90","4,061.00","4,113.60","4,073.20",40.4,0.99
Vodafone Idea,10.55,10.50,10.47,10.37,0.1,0.96
Lupin,"2,068.30","2,033.50","2,052.90","2,033.90",19,0.93
SBI Card,886.85,866.35,877.65,869.80,7.85,0.9
Chola Fin Hold,"1,980.00","1,931.20","1,967.00","1,949.90",17.1,0.88
Bharti Airtel,"2,107.00","2,079.00","2,091.80","2,073.80",18,0.87
SAIL,145.90,143.00,144.72,143.49,1.23,0.86
United Brewerie,"1,815.00","1,785.70","1,810.30","1,794.90",15.4,0.86
Apollo Tyres,539.25,532.35,536.90,532.35,4.55,0.85
Hyundai Motor,"2,444.90","2,398.60","2,415.20","2,395.00",20.2,0.84
Sundaram Fin,"4,825.00","4,703.50","4,748.00","4,710.30",37.7,0.8
Laurus Labs,"1,005.00",984.65,997.05,989.25,7.8,0.79
Vardhman Text,457.00,447.00,450.85,447.35,3.5,0.78
Sammaan Capital,180.94,176.90,178.33,176.97,1.36,0.77
Jindal Steel,"1,098.00","1,075.90","1,087.80","1,079.90",7.9,0.73
Karur Vysya,254.04,248.60,251.84,250.02,1.82,0.73
CG Power ,749.45,735.00,745.20,739.85,5.35,0.72
UTI AMC,"1,188.60","1,169.90","1,175.80","1,167.70",8.1,0.69
Route,733.40,702.30,712.55,707.75,4.8,0.68
AB Capital,335.00,328.00,331.80,329.60,2.2,0.67
GAIL,185.37,182.18,183.67,182.45,1.22,0.67
Star Health,504.90,495.80,500.85,497.60,3.25,0.65
BASF,"4,560.00","4,486.40","4,522.30","4,493.50",28.8,0.64
NALCO,271.89,266.11,268.67,266.95,1.72,0.64
