company_name,high,low,last_price,prev_close,change,percent_gain
Capri Global,182.44,158.58,181.34,152.04,29.3,19.27
Capri Global,182.44,158.58,181.34,152.04,29.3,19.27
Westlife Food,752.00,668.85,738.00,667.35,70.65,10.59
Five-Star Busin,817.00,730.70,800.80,730.80,70,9.58
Jaiprakash Pow,17.95,16.35,17.73,16.24,1.49,9.17
JM Financial,155.99,143.25,155.02,142.57,12.45,8.73
IIFL Finance,490.00,457.75,487.45,451.05,36.4,8.07
Bandhan Bank,187.46,174.98,186.24,173.55,12.69,7.31
MCX India,"7,983.50","7,521.50","7,955.50","7,418.00",537.5,7.25
Manappuram Fin,266.76,250.08,264.78,247.56,17.22,6.96
Cera Sanitary,"7,149.00","6,644.50","7,052.00","6,609.50",442.5,6.69
Mahanagar Gas,"1,422.00","1,341.50","1,416.30","1,329.60",86.7,6.52
Jindal Saw,233.47,218.69,231.88,217.85,14.03,6.44
Jindal Saw,233.47,218.69,231.88,217.85,14.03,6.44
RBL Bank,231.30,218.81,230.29,217.63,12.66,5.82
Praj Industries,536.85,509.35,532.60,505.90,26.7,5.28
Whirlpool,"1,371.80","1,293.10","1,354.70","1,288.40",66.3,5.15
Coromandel Int,"2,420.00","2,301.90","2,411.20","2,298.30",112.9,4.91
Hyundai Motor,"1,984.80","1,898.40","1,952.20","1,861.10",91.1,4.89
Kirloskar Oil,923.55,870.00,911.85,869.65,42.2,4.85
Reliance Power,64.95,62.20,64.62,61.64,2.98,4.83
Rattanindia Ent,52.50,47.63,49.90,47.61,2.29,4.81
Indian Renew,186.58,175.36,183.24,174.87,8.37,4.79
Happiest Minds ,630.00,590.00,615.85,588.90,26.95,4.58
Hind Zinc,532.70,508.00,525.00,502.25,22.75,4.53
Concord Biotech,"2,058.00","1,919.50","2,013.00","1,926.60",86.4,4.48
Aditya Birla Re,"2,494.00","2,280.10","2,460.40","2,355.80",104.6,4.44
JSW Infra,318.80,307.10,317.10,303.65,13.45,4.43
Techno Electric,"1,557.00","1,492.60","1,548.30","1,484.10",64.2,4.33
Sagility India,40.86,38.71,40.56,38.89,1.67,4.29
Oracle Fin Serv,"9,200.00","8,829.50","9,161.50","8,786.00",375.5,4.27
UTI AMC,"1,288.90","1,229.30","1,273.70","1,223.90",49.8,4.07
Metropolis,"1,725.00","1,647.80","1,717.80","1,652.20",65.6,3.97
Bank of India,129.99,125.40,129.31,124.38,4.93,3.96
Laurus Labs,669.45,642.05,667.35,642.05,25.3,3.94
Interglobe Avi,"5,709.00","5,510.00","5,695.00","5,480.50",214.5,3.91
JBM Auto,766.25,711.25,735.30,707.75,27.55,3.89
AFFLE 3I,"1,888.00","1,804.50","1,868.70","1,799.20",69.5,3.86
Zensar Tech,861.95,825.50,854.45,822.70,31.75,3.86
Raymond Life,"1,108.80","1,044.60","1,087.40","1,047.00",40.4,3.86
ABSL AMC,822.00,783.25,808.70,778.70,30,3.85
Muthoot Finance,"2,548.00","2,461.10","2,539.90","2,446.20",93.7,3.83
Amber Enterpris,"6,750.00","6,322.00","6,638.00","6,396.50",241.5,3.78
JK Tyre Ind,385.00,370.30,382.95,369.10,13.85,3.75
APTUS VALUE,329.80,320.05,328.40,316.60,11.8,3.73
Sai Life Sci,773.50,740.70,764.70,737.20,27.5,3.73
Bharat Forge,"1,362.10","1,298.40","1,344.60","1,296.40",48.2,3.72
KEC Intl,933.00,898.00,921.50,889.25,32.25,3.63
IEX,215.40,203.50,209.31,202.13,7.18,3.55
NTPC Green Ener,113.48,109.28,112.59,108.74,3.85,3.54
Usha Martin,319.90,305.30,316.95,306.15,10.8,3.53
Jio Financial,305.50,295.65,304.25,294.00,10.25,3.49
Ramco Cements,"1,042.00","1,005.00","1,039.15","1,005.05",34.1,3.39
Can Fin Homes,812.20,787.00,808.90,782.55,26.35,3.37
Bank of Mah,57.85,55.36,56.85,55.04,1.81,3.29
Guj Mineral,419.90,401.50,414.25,401.05,13.2,3.29
KPIL,"1,234.00","1,180.10","1,187.60","1,149.80",37.8,3.29
Chola Invest.,"1,653.00","1,604.00","1,644.60","1,593.20",51.4,3.23
Nuvama Wealth,"7,800.00","7,377.50","7,599.00","7,365.50",233.5,3.17
Kotak Mahindra,"2,142.40","2,090.00","2,138.20","2,073.40",64.8,3.13
Jindal Stainles,733.55,695.20,716.35,694.70,21.65,3.12
Sarda Energy,451.20,436.25,449.50,435.95,13.55,3.11
Sarda Energy,451.20,436.25,449.50,435.95,13.55,3.11
Railtel,463.70,444.15,457.85,444.15,13.7,3.08
Power Finance,432.60,421.30,431.00,418.40,12.6,3.01
AU Small Financ,782.60,750.25,772.00,749.55,22.45,3
Kirloskar Bros,"1,838.00","1,770.40","1,826.90","1,774.20",52.7,2.97
Vishal Mega Mar,134.60,127.60,131.01,127.23,3.78,2.97
MM Financial,288.55,278.65,283.65,275.55,8.1,2.94
AB Capital,243.29,235.00,240.23,233.41,6.82,2.92
Afcons Infra,460.45,442.30,447.90,435.20,12.7,2.92
IRB Infra,53.48,51.70,53.16,51.65,1.51,2.92
IRB Infra,53.48,51.70,53.16,51.65,1.51,2.92
Swan Energy,471.45,452.90,466.55,453.70,12.85,2.83
Tata Chemicals,962.85,935.50,960.45,934.10,26.35,2.82
Indian Bank,653.20,638.45,651.80,634.05,17.75,2.8
Inventurus Know,"1,692.00","1,611.20","1,653.80","1,609.70",44.1,2.74
AstraZeneca,"10,130.00","9,750.00","10,057.00","9,790.00",267,2.73
PNC Infratech,319.55,308.90,313.45,305.15,8.3,2.72
Motherson SWI,62.43,61.00,62.15,60.51,1.64,2.71
ABB India,"6,240.50","6,071.00","6,215.00","6,051.50",163.5,2.7
REC,428.70,417.00,426.20,415.00,11.2,2.7
Motilal Oswal,896.90,875.65,893.70,870.35,23.35,2.68
NLC India,243.00,237.00,241.75,235.52,6.23,2.65
Triveni Turbine,616.90,592.65,607.45,591.75,15.7,2.65
KPIT Tech,"1,364.20","1,312.80","1,353.40","1,318.70",34.7,2.63
Siemens,"3,405.00","3,306.60","3,383.30","3,297.50",85.8,2.6
KNR Construct,217.50,211.92,216.56,211.11,5.45,2.58
HDFC AMC,"5,278.90","5,080.20","5,217.20","5,087.50",129.7,2.55
Bajaj Finance,"9,788.00","9,403.00","9,607.50","9,371.50",236,2.52
Chola Fin Hold,"2,000.00","1,928.10","1,988.80","1,940.30",48.5,2.5
Biocon,341.85,330.90,338.15,330.05,8.1,2.45
FSN E-Co Nykaa,203.32,197.10,202.03,197.20,4.83,2.45
Tata Elxsi,"6,643.00","6,500.00","6,631.50","6,473.00",158.5,2.45
Poonawalla Fin,433.70,424.35,431.25,421.10,10.15,2.41
SBI Card,"1,018.75",994.05,"1,017.00",993.10,23.9,2.41
Federal Bank,213.75,208.01,212.70,207.78,4.92,2.37
Trent,"5,924.50","5,764.50","5,913.50","5,777.00",136.5,2.36
Syrma SGS,548.80,535.75,547.50,534.90,12.6,2.36
Narayana Hruda,"1,795.00","1,752.90","1,791.50","1,750.70",40.8,2.33
Just Dial,926.90,900.00,916.35,895.70,20.65,2.31
JSW Energy,541.85,525.00,534.90,522.85,12.05,2.3
Oil India,435.00,424.50,434.20,424.45,9.75,2.3
Tata Tech,779.00,759.80,775.80,758.45,17.35,2.29
Piramal Pharma,213.65,207.85,211.03,206.33,4.7,2.28
MphasiS,"2,632.30","2,553.60","2,603.00","2,545.20",57.8,2.27
IOB,41.50,39.99,40.53,39.63,0.9,2.27
Max Healthcare,"1,196.80","1,161.10","1,194.60","1,168.20",26.4,2.26
Route,"1,061.00","1,027.75","1,044.45","1,021.35",23.1,2.26
MOTHERSON,161.35,158.15,161.00,157.49,3.51,2.23
Chambal Fert,553.75,540.15,551.95,540.05,11.9,2.2
Graphite India,557.40,544.10,553.95,542.00,11.95,2.2
Sona BLW,523.55,507.90,521.35,510.15,11.2,2.2
Vedanta,461.40,451.10,457.90,448.05,9.85,2.2
Axis Bank,"1,224.50","1,206.20","1,219.90","1,194.60",25.3,2.12
BSE Limited,"3,024.90","2,935.30","2,994.40","2,933.20",61.2,2.09
NMDC,74.71,72.67,74.00,72.49,1.51,2.08
General Insuran,410.90,401.60,407.85,399.75,8.1,2.03
Nippon,821.95,801.90,806.45,790.50,15.95,2.02
Persistent,"5,815.00","5,694.00","5,790.50","5,676.50",114,2.01
Persistent,"5,815.00","5,694.00","5,790.50","5,676.50",114,2.01
Shree Renuka,34.10,33.00,33.47,32.81,0.66,2.01
Devyani Int,175.23,170.08,174.48,171.10,3.38,1.98
Sterling Wilson,312.80,299.00,303.70,297.80,5.9,1.98
Adani Energy,908.40,876.00,901.40,884.10,17.3,1.96
