company_name,high,low,last_price,prev_close,change,percent_gain
Aegis Logistics,944.00,767.00,902.60,786.75,115.85,14.73
BEML,"3,265.00","2,721.20","3,140.40","2,760.40",380.00,13.77
RHI Magnesita,526.00,462.00,514.70,465.15,49.55,10.65
Firstsource Sol,368.60,320.35,356.05,324.70,31.35,9.66
Adani Energy,882.45,796.05,872.85,803.00,69.85,8.7
Thermax,"3,950.00","3,428.05","3,776.75","3,477.65",299.10,8.6
Valor Estate,156.80,143.70,154.44,143.71,10.73,7.47
CreditAccess Gr,"1,010.95",918.95,985.65,921.55,64.10,6.96
Eris Life,"1,430.00","1,261.00","1,405.45","1,314.65",90.80,6.91
Hitachi Energy,"13,275.00","11,950.00","12,947.95","12,172.85",775.10,6.37
Gujarat Pipavav,146.90,134.16,142.10,134.47,7.63,5.67
Welspun Corp,875.00,821.95,871.90,826.90,45.00,5.44
Adani Green Ene,966.60,905.20,959.90,912.10,47.80,5.24
Action Const,"1,274.45","1,186.30","1,259.00","1,198.25",60.75,5.07
Aadhar Housing ,428.00,403.25,423.50,403.25,20.25,5.02
Godfrey Phillip,"6,465.00","6,081.00","6,465.00","6,157.15",307.85,5
Indegene,572.60,531.80,566.85,540.15,26.70,4.94
Bank of Baroda,232.00,219.00,230.98,220.34,10.64,4.83
KEC Intl,813.35,754.40,798.05,761.45,36.60,4.81
BSE Limited,"4,735.00","4,578.20","4,684.35","4,474.70",209.65,4.69
Adani Power,523.50,492.35,519.90,497.85,22.05,4.43
GE Vernova TD,"1,617.05","1,514.45","1,606.85","1,540.05",66.80,4.34
GAIL,182.25,172.20,181.56,174.07,7.49,4.3
One 97 Paytm,813.95,771.00,810.10,776.90,33.20,4.27
Newgen Software,"1,038.90",975.00,"1,009.90",968.90,41.00,4.23
Fortis Health,677.90,630.65,671.80,645.70,26.10,4.04
Concord Biotech,"1,738.85","1,637.15","1,720.60","1,653.90",66.70,4.03
Amber Enterpris,"7,204.95","6,728.30","7,131.30","6,857.15",274.15,4
Glenmark,"1,528.00","1,450.05","1,519.85","1,461.80",58.05,3.97
Archean Chem,549.80,499.00,523.55,503.75,19.80,3.93
Page Industries,"44,282.00","41,000.00","43,891.45","42,261.15","1,630.30",3.86
PNB,96.76,91.92,96.41,92.86,3.55,3.82
Tejas Networks,787.35,741.10,776.40,748.65,27.75,3.71
J. K. Cement,"4,939.95","4,650.90","4,885.80","4,712.45",173.35,3.68
Macrotech Dev,"1,255.00","1,190.00","1,241.30","1,197.35",43.95,3.67
AAVAS Financier,"2,095.00","1,976.75","2,087.20","2,013.60",73.60,3.66
Emami,589.75,547.10,577.30,557.00,20.30,3.64
Ramco Cements,888.45,844.75,882.75,852.15,30.60,3.59
Rainbow Child,"1,391.00","1,325.30","1,378.50","1,330.90",47.60,3.58
Vedant Fashions,787.75,746.35,781.85,755.50,26.35,3.49
India Cements,279.50,265.10,277.15,267.85,9.30,3.47
Hero Motocorp,"3,789.00","3,610.35","3,772.05","3,645.95",126.10,3.46
United Spirits,"1,418.90","1,367.50","1,408.10","1,361.50",46.60,3.42
Guj Amb Exports,109.10,102.15,106.62,103.11,3.51,3.4
Affle India,"1,738.80","1,585.60","1,655.70","1,601.90",53.80,3.36
Union Bank,125.54,119.66,124.21,120.21,4.00,3.33
Five-Star Busin,737.90,693.60,724.60,701.30,23.30,3.32
Sun TV Network,673.00,633.50,665.45,644.40,21.05,3.27
Home First,"1,066.00","1,011.00","1,049.45","1,016.70",32.75,3.22
Bajaj Finserv,"2,011.50","1,932.60","2,005.75","1,943.40",62.35,3.21
Bajaj Finserv,"2,011.50","1,932.60","2,005.75","1,943.40",62.35,3.21
Guj State Petro,300.05,286.00,297.10,287.90,9.20,3.2
Jubilant Pharmo,899.00,851.10,888.70,861.40,27.30,3.17
Sapphire Foods,307.75,288.00,299.00,290.15,8.85,3.05
Sapphire Foods,307.75,288.00,299.00,290.15,8.85,3.05
MMTC Ltd,59.39,51.19,54.08,52.49,1.59,3.03
Swan Energy,445.00,421.00,442.45,429.45,13.00,3.03
Avenue Supermar,"4,085.00","3,932.45","4,065.00","3,945.70",119.30,3.02
IFCI,44.50,42.30,44.23,42.94,1.29,3
Dalmia Bharat,"1,821.45","1,743.15","1,813.55","1,760.75",52.80,3
Aster DM Health,460.70,434.05,453.35,440.30,13.05,2.96
GSFC,184.85,177.31,181.77,176.57,5.20,2.95
Alembic Pharma,941.30,894.15,931.25,904.90,26.35,2.91
C. E. Info Syst,"1,680.00","1,581.45","1,653.50","1,608.35",45.15,2.81
IndusInd Bank,676.75,640.50,673.55,655.30,18.25,2.78
Canara Bank,90.00,86.80,89.65,87.24,2.41,2.76
Canara Bank,90.00,86.80,89.65,87.24,2.41,2.76
Godawari Power,183.98,177.50,182.16,177.29,4.87,2.75
Godawari Power,183.98,177.50,182.16,177.29,4.87,2.75
Federal Bank,200.00,191.56,197.58,192.31,5.27,2.74
Jaiprakash Pow,14.60,14.08,14.48,14.10,0.38,2.7
Bombay Burmah,"1,790.00","1,691.05","1,771.25","1,724.80",46.45,2.69
Narayana Hruda,"1,710.00","1,627.65","1,673.40","1,629.85",43.55,2.67
Max Financial,"1,151.60","1,118.05","1,147.30","1,117.60",29.70,2.66
Rattanindia Ent,43.45,40.21,42.32,41.23,1.09,2.64
Rashtriya Chem,129.00,123.50,128.37,125.08,3.29,2.63
IIFL Finance,339.45,322.95,336.90,328.40,8.50,2.59
Ipca Labs,"1,493.95","1,399.30","1,470.05","1,433.25",36.80,2.57
Power Finance,423.25,409.10,421.00,410.50,10.50,2.56
VIP Industries,319.70,272.90,286.15,279.05,7.10,2.54
Rajesh Exports,207.71,184.00,195.52,190.85,4.67,2.45
Info Edge,"7,249.95","6,956.05","7,214.60","7,044.35",170.25,2.42
Finolex Ind,181.85,173.06,180.07,175.91,4.16,2.36
Anant Raj,515.20,487.00,509.85,498.25,11.60,2.33
Adani Total Gas,617.20,595.60,611.90,598.05,13.85,2.32
United Brewerie,"1,987.90","1,917.10","1,975.95","1,931.15",44.80,2.32
Emcure Pharmace,"1,056.10","1,004.85","1,049.25","1,025.55",23.70,2.31
Jyoti CNC Auto,"1,072.75","1,031.10","1,063.10","1,039.40",23.70,2.28
Jindal Saw,275.87,264.50,272.66,266.59,6.07,2.28
Jindal Saw,275.87,264.50,272.66,266.59,6.07,2.28
Bank of India,108.63,104.07,107.80,105.41,2.39,2.27
Persistent,"5,669.00","5,440.60","5,641.45","5,517.00",124.45,2.26
Persistent,"5,669.00","5,440.60","5,641.45","5,517.00",124.45,2.26
