company_name,high,low,last_price,prev_close,change,percent_gain
HBL Eng,"1,122.00","1,035.60","1,098.80",979.20,119.6,12.21
NALCO,259.64,241.15,257.36,234.73,22.63,9.64
UNO Minda,"1,327.80","1,227.30","1,319.30","1,229.70",89.6,7.29
Torrent Pharma,"3,835.10","3,602.00","3,817.50","3,580.00",237.5,6.63
Balrampur Chini,463.75,441.95,461.20,432.55,28.65,6.62
JB Chemicals,"1,820.70","1,713.90","1,813.30","1,702.90",110.4,6.48
FSN E-Co Nykaa,265.20,249.60,260.82,245.87,14.95,6.08
AIA Engineering,"3,476.90","3,290.00","3,445.70","3,256.20",189.5,5.82
AAVAS Financier,"1,694.00","1,562.40","1,654.00","1,574.10",79.9,5.08
Nippon,896.85,851.00,891.00,849.55,41.45,4.88
Reliance Power,42.30,38.00,41.10,39.19,1.91,4.87
Emcure Pharmace,"1,463.70","1,362.40","1,426.60","1,362.40",64.2,4.71
Bharat Dynamics,"1,521.50","1,449.70","1,514.40","1,447.70",66.7,4.61
CreditAccess Gr,"1,414.00","1,341.00","1,407.80","1,346.90",60.9,4.52
Latent View,469.00,436.55,455.50,436.55,18.95,4.34
CCL Products,"1,074.40","1,012.05","1,068.45","1,025.15",43.3,4.22
Garden Reach Sh,"2,748.00","2,580.00","2,682.50","2,574.10",108.4,4.21
Kaynes Tech,"6,513.50","6,167.50","6,482.00","6,225.00",257,4.13
Home First,"1,178.40","1,125.00","1,175.80","1,132.00",43.8,3.87
Jindal Saw,173.65,165.22,170.73,164.50,6.23,3.79
Sai Life Sci,913.80,866.55,907.05,875.45,31.6,3.61
BHEL,274.80,264.20,273.35,263.85,9.5,3.6
Zensar Tech,726.85,695.00,722.75,697.65,25.1,3.6
Hindustan Aeron,"4,795.00","4,645.00","4,789.80","4,626.60",163.2,3.53
Finolex Cables,802.05,770.15,793.55,766.55,27,3.52
KPIT Tech,"1,209.50","1,147.20","1,192.90","1,153.00",39.9,3.46
Concord Biotech,"1,450.00","1,398.10","1,439.20","1,394.90",44.3,3.18
Firstsource Sol,352.85,340.50,350.85,340.45,10.4,3.05
Muthoot Finance,"3,335.00","3,220.30","3,328.20","3,230.00",98.2,3.04
Chola Invest.,"1,759.00","1,691.90","1,754.40","1,703.90",50.5,2.96
IIFL Finance,544.00,524.50,541.90,526.30,15.6,2.96
Shree Renuka,29.90,28.49,28.63,27.83,0.8,2.87
Mastek,"2,173.00","2,092.10","2,158.00","2,099.60",58.4,2.78
Aurobindo Pharm,"1,160.80","1,123.80","1,154.80","1,123.80",31,2.76
