company_name,high,low,last_price,prev_close,change,percent_gain
Just Dial,"1,048.90",955.00,"1,028.25",921.90,106.35,11.54
Vodafone Idea,8.19,7.30,8.07,7.31,0.76,10.4
Suzlon Energy,61.10,55.50,60.29,55.07,5.22,9.48
Techno Electric,"1,167.90","1,050.90","1,155.70","1,057.80",97.9,9.26
Tata Elxsi,"5,396.50","4,805.00","5,342.00","4,900.50",441.5,9.01
KFin Tech,"1,215.00","1,113.30","1,200.80","1,105.80",95,8.59
KPIL,"1,075.05",928.15,"1,011.30",934.25,77.05,8.25
AAVAS Financier,"2,199.00","2,020.70","2,166.30","2,024.30",142,7.01
AU Small Financ,641.75,592.00,623.60,586.55,37.05,6.32
Nippon,647.70,596.25,633.65,596.85,36.8,6.17
Sterling Wilson,314.70,287.10,309.00,291.35,17.65,6.06
JK Bank,110.50,101.60,108.27,102.16,6.11,5.98
BSE Limited,"6,313.00","5,970.00","6,285.00","5,931.00",354,5.97
IDFC First Bank,66.84,63.60,66.64,63.00,3.64,5.78
Bandhan Bank,168.68,159.09,167.94,158.79,9.15,5.76
HDFC AMC,"4,497.10","4,205.00","4,459.80","4,218.00",241.8,5.73
Vijaya Diagnost,"1,112.00","1,033.00","1,100.20","1,040.70",59.5,5.72
Gujarat Pipavav,151.67,142.36,151.13,143.12,8.01,5.6
Zensar Tech,695.00,653.50,689.45,653.10,36.35,5.57
NALCO,162.20,153.73,161.41,152.89,8.52,5.57
Elecon Eng,498.50,468.75,496.25,470.25,26,5.53
Elecon Eng,498.50,468.75,496.25,470.25,26,5.53
Aarti Ind,426.50,399.05,421.65,399.75,21.9,5.48
CDSL,"1,315.00","1,248.40","1,306.80","1,241.90",64.9,5.23
Bank of Mah,51.21,49.06,50.90,48.40,2.5,5.17
Atul,"6,146.50","5,713.50","5,974.00","5,681.00",293,5.16
TBO Tek,"1,134.50","1,046.80","1,100.20","1,046.20",54,5.16
COFORGE LTD.,"7,061.00","6,666.00","6,938.00","6,600.00",338,5.12
Tech Mahindra,"1,389.00","1,303.00","1,373.50","1,306.80",66.7,5.1
Quess Corp,345.10,345.10,345.10,328.70,16.4,4.99
Ujjivan Small,44.55,42.41,44.20,42.10,2.1,4.99
Tata Tech,686.75,655.00,683.95,651.50,32.45,4.98
CG Power ,652.55,624.55,650.60,619.85,30.75,4.96
Motilal Oswal,694.00,655.30,685.05,653.35,31.7,4.85
MCX India,"5,958.00","5,648.00","5,942.00","5,668.50",273.5,4.82
Hind Copper,221.49,213.00,220.39,210.41,9.98,4.74
Equitas Bank,69.20,65.65,68.18,65.11,3.07,4.72
MphasiS,"2,418.50","2,260.20","2,380.70","2,273.70",107,4.71
Macrotech Dev,"1,308.00","1,239.00","1,293.40","1,236.10",57.3,4.64
Swan Energy,453.00,426.05,449.20,429.30,19.9,4.64
LT Finance,172.99,165.00,171.26,163.69,7.57,4.62
Anant Raj,507.35,464.80,493.60,471.85,21.75,4.61
Chola Invest.,"1,682.00","1,595.00","1,659.80","1,587.30",72.5,4.57
RBL Bank,194.71,185.20,192.03,183.64,8.39,4.57
Chola Fin Hold,"1,966.00","1,876.00","1,958.50","1,872.90",85.6,4.57
Angel One,"2,524.00","2,356.20","2,463.30","2,356.20",107.1,4.55
Piramal Enter,"1,044.00",995.00,"1,039.85",995.10,44.75,4.5
BLS Internation,406.00,387.00,403.95,386.60,17.35,4.49
Birlasoft,389.75,371.40,388.20,371.55,16.65,4.48
Trent,"5,374.50","5,126.00","5,360.00","5,130.50",229.5,4.47
Divis Labs,"5,920.00","5,799.00","5,891.50","5,640.00",251.5,4.46
GAIL,197.00,188.59,195.32,186.99,8.33,4.45
Prestige Estate,"1,274.50","1,207.40","1,268.60","1,215.20",53.4,4.39
Muthoot Finance,"2,211.00","2,134.90","2,203.60","2,111.60",92,4.36
Cyient,"1,254.00","1,190.30","1,241.00","1,189.50",51.5,4.33
CreditAccess Gr,"1,173.90","1,107.05","1,168.00","1,120.60",47.4,4.23
IndusInd Bank,841.90,798.35,828.20,794.70,33.5,4.22
BASF,"4,681.00","4,426.30","4,657.50","4,469.80",187.7,4.2
Kaynes Tech,"5,917.80","5,671.10","5,879.00","5,643.00",236,4.18
Devyani Int,176.42,166.20,172.12,165.31,6.81,4.12
Linde India,"6,531.00","6,243.50","6,500.00","6,243.50",256.5,4.11
Sapphire Foods,316.90,304.05,315.75,303.30,12.45,4.1
Sapphire Foods,316.90,304.05,315.75,303.30,12.45,4.1
UTI AMC,"1,087.00","1,031.40","1,070.50","1,028.80",41.7,4.05
Yes Bank,19.35,18.78,18.82,18.09,0.73,4.04
Can Fin Homes,746.15,716.50,739.95,711.55,28.4,3.99
SBFC Finance,102.40,98.70,101.54,97.67,3.87,3.96
Sammaan Capital,125.59,119.20,124.99,120.24,4.75,3.95
Sobha,"1,251.40","1,186.70","1,242.60","1,195.60",47,3.93
IFCI,45.75,43.40,45.48,43.77,1.71,3.91
Tube Investment,"2,601.00","2,485.50","2,593.30","2,495.80",97.5,3.91
Delhivery,293.50,284.00,292.00,281.05,10.95,3.9
Zee Entertain,119.80,113.34,118.75,114.29,4.46,3.9
RITES,248.00,232.40,242.82,233.75,9.07,3.88
IIFL Finance,349.70,334.85,347.35,334.40,12.95,3.87
Hero Motocorp,"3,932.50","3,756.00","3,917.00","3,771.80",145.2,3.85
Bharti Hexacom,"1,665.40","1,576.20","1,643.90","1,583.10",60.8,3.84
Dalmia Bharat,"1,932.00","1,851.00","1,922.50","1,851.60",70.9,3.83
Coromandel Int,"2,228.90","2,136.10","2,197.90","2,118.30",79.6,3.76
Lupin,"2,014.60","1,928.40","2,009.20","1,937.20",72,3.72
Federal Bank,202.85,195.10,202.04,194.85,7.19,3.69
GE Vernova TD,"1,521.00","1,444.00","1,496.20","1,443.30",52.9,3.67
