company_name,high,low,last_price,prev_close,change,percent_gain
HBL Eng,692.00,646.10,683.95,599.80,84.15,14.03
DOMS Industries,"2,569.00","2,321.50","2,503.20","2,287.70",215.5,9.42
Sai Life Sci,904.35,810.85,893.25,827.90,65.35,7.89
Transformers,537.40,486.30,526.15,491.20,34.95,7.12
Home First,"1,292.90","1,215.00","1,282.20","1,202.30",79.9,6.65
One 97 Paytm,"1,130.00","1,050.40","1,122.00","1,062.40",59.6,5.61
Craftsman,"7,020.00","6,505.00","6,859.00","6,520.00",339,5.2
PB Fintech,"1,870.70","1,769.90","1,860.60","1,769.40",91.2,5.15
Supreme Ind,"4,359.50","4,139.50","4,354.70","4,150.50",204.2,4.92
Adani Enterpris,"2,302.00","2,183.00","2,283.40","2,178.10",105.3,4.83
Godawari Power,197.20,186.00,196.57,187.88,8.69,4.63
Godawari Power,197.20,186.00,196.57,187.88,8.69,4.63
KPIL,"1,245.00","1,189.50","1,237.80","1,183.60",54.2,4.58
Afcons Infra,432.00,413.70,424.90,406.65,18.25,4.49
Swiggy,404.95,381.65,400.70,384.80,15.9,4.13
Anand Rathi,"2,714.80","2,590.30","2,693.60","2,587.80",105.8,4.09
Sarda Energy,569.80,537.85,556.65,534.95,21.7,4.06
Sarda Energy,569.80,537.85,556.65,534.95,21.7,4.06
Guj Mineral,421.50,399.20,418.30,402.05,16.25,4.04
Ashok Leyland,120.34,114.96,120.02,115.42,4.6,3.99
Tube Investment,"3,015.40","2,878.50","3,000.60","2,885.70",114.9,3.98
ZFCVINDIA,"13,833.00","13,145.00","13,805.00","13,308.00",497,3.73
Data Patterns,"2,585.70","2,372.20","2,514.30","2,427.50",86.8,3.58
Indian Bank,677.00,650.00,674.00,650.85,23.15,3.56
Swan Energy,433.30,412.20,429.75,415.15,14.6,3.52
Power Finance,419.90,405.45,418.80,404.65,14.15,3.5
Sun TV Network,591.85,546.65,567.90,549.60,18.3,3.33
JSW Energy,537.00,518.30,535.10,518.30,16.8,3.24
NAVA,628.35,604.10,625.85,606.35,19.5,3.22
Tata Motors,655.00,627.10,653.75,633.70,20.05,3.16
Tata Motors,655.00,627.10,653.75,633.70,20.05,3.16
NBCC (India),109.95,104.61,109.12,105.81,3.31,3.13
Prestige Estate,"1,659.40","1,598.00","1,652.80","1,603.60",49.2,3.07
MCX India,"7,966.50","7,692.50","7,947.00","7,712.50",234.5,3.04
JM Financial,166.80,152.75,159.99,155.29,4.7,3.03
Varun Beverages,512.00,492.50,510.75,495.95,14.8,2.98
Varun Beverages,512.00,492.50,510.75,495.95,14.8,2.98
Varun Beverages,512.00,492.50,510.75,495.95,14.8,2.98
Solar Ind,"15,087.00","14,341.00","14,891.00","14,462.00",429,2.97
V-Guard Ind,366.00,348.55,362.85,352.40,10.45,2.97
Honasa Consumer,268.95,255.45,266.35,258.70,7.65,2.96
Adani Power,599.00,571.20,593.90,576.90,17,2.95
Cera Sanitary,"6,420.00","6,184.50","6,388.00","6,205.50",182.5,2.94
Union Bank,134.96,130.98,134.78,130.98,3.8,2.9
Eternal,310.40,299.50,309.40,300.90,8.5,2.82
LT Foods,470.10,440.00,467.60,455.00,12.6,2.77
EID Parry,"1,159.00","1,122.00","1,148.40","1,117.60",30.8,2.76
Siemens,"3,138.70","2,925.00","3,114.80","3,031.80",83,2.74
Bharat Forge,"1,173.30","1,129.50","1,165.90","1,135.20",30.7,2.7
Hitachi Energy,"20,900.00","20,020.00","20,840.00","20,295.00",545,2.69
Fortis Health,923.00,895.00,920.65,897.35,23.3,2.6
Oberoi Realty,"1,612.50","1,564.30","1,610.70","1,571.30",39.4,2.51
Grasim,"2,795.00","2,720.00","2,758.90","2,691.60",67.3,2.5
PNB,106.75,103.84,106.54,103.95,2.59,2.49
Apollo Hospital,"7,320.00","7,020.50","7,259.00","7,084.50",174.5,2.46
BEML,"4,044.00","3,801.00","3,953.50","3,859.20",94.3,2.44
TBO Tek,"1,412.40","1,340.20","1,394.80","1,361.70",33.1,2.43
Chennai Petro,662.85,638.70,659.10,643.50,15.6,2.42
Poly Medicure,"2,019.80","1,905.00","1,974.10","1,927.40",46.7,2.42
Rainbow Child,"1,511.90","1,464.60","1,503.90","1,468.50",35.4,2.41
Bajaj Holdings,"14,099.00","13,515.00","14,047.00","13,718.00",329,2.4
DLF,768.50,742.15,764.95,747.20,17.75,2.38
Trent,"5,487.00","5,306.50","5,443.50","5,317.00",126.5,2.38
SBI,825.00,808.00,823.45,804.30,19.15,2.38
Bank of India,113.45,110.55,113.20,110.63,2.57,2.32
