company_name,high,low,last_price,prev_close,change,percent_gain
Brigade Ent,"1,284.70","1,211.05","1,255.75","1,178.80",76.95,6.53
PCBL,442.00,416.10,432.90,410.95,21.95,5.34
Poly Medicure,"3,038.00","2,917.45","3,026.95","2,874.30",152.65,5.31
Motilal Oswal,989.15,945.85,982.50,937.30,45.2,4.82
Piramal Pharma,284.50,271.45,281.30,268.47,12.83,4.78
NCC,317.95,312.00,312.55,298.80,13.75,4.6
Vodafone Idea,8.53,8.23,8.47,8.12,0.35,4.31
IIFL Finance,455.00,437.90,454.60,436.80,17.8,4.08
RBL Bank,176.40,170.01,176.04,169.75,6.29,3.71
EIH,380.10,365.15,377.05,364.45,12.6,3.46
Whirlpool,"2,056.40","1,986.00","2,056.40","1,989.30",67.1,3.37
PNB,101.17,98.61,101.10,97.90,3.2,3.27
M&M,"2,821.50","2,780.00","2,817.55","2,728.55",89,3.26
Sterling Wilson,603.35,587.95,603.35,584.70,18.65,3.19
Jubilant Pharmo,"1,277.00","1,225.00","1,250.00","1,211.75",38.25,3.16
IRB Infra,53.50,52.90,53.48,51.85,1.63,3.14
IRB Infra,53.50,52.90,53.48,51.85,1.63,3.14
Zomato,250.00,244.15,249.13,241.75,7.38,3.05
Aarti Ind,528.35,512.00,526.25,510.90,15.35,3
JK Lakshmi Cem,834.45,810.45,834.05,810.20,23.85,2.94
NBCC (India),100.90,97.55,100.00,97.19,2.81,2.89
Campus Active,304.40,297.20,303.35,295.00,8.35,2.83
Bharat Dynamics,"1,119.90","1,089.00","1,115.00","1,085.30",29.7,2.74
Bharat Dynamics,"1,119.90","1,089.00","1,115.00","1,085.30",29.7,2.74
Chalet Hotels,907.85,880.00,893.45,870.90,22.55,2.59
Tanla Platforms,784.00,750.50,771.45,752.20,19.25,2.56
Blue Star,"1,919.10","1,880.00","1,918.40","1,871.05",47.35,2.53
Nuvoco Vistas,362.65,353.70,361.50,352.70,8.8,2.5
Birla Corp,"1,197.95","1,171.00","1,197.00","1,168.05",28.95,2.48
Chennai Petro,656.60,647.05,655.50,639.70,15.8,2.47
Westlife Food,778.90,758.00,778.90,760.20,18.7,2.46
Craftsman,"5,225.35","5,100.00","5,219.90","5,099.15",120.75,2.37
Adani Green Ene,"1,639.55","1,614.45","1,636.00","1,598.30",37.7,2.36
HEG,442.95,434.05,442.15,432.30,9.85,2.28
HEG,442.95,434.05,442.15,432.30,9.85,2.28
Linde India,"7,846.05","7,700.00","7,828.05","7,654.65",173.4,2.27
MRPL,151.80,148.61,151.11,147.76,3.35,2.27
KPIT Tech,"1,428.25","1,416.55","1,424.50","1,393.25",31.25,2.24
Mah Seamless,640.00,627.50,639.90,625.85,14.05,2.24
SignatureGlobal,"1,424.00","1,369.50","1,393.65","1,363.15",30.5,2.24
BLS Internation,408.60,400.25,406.65,397.85,8.8,2.21
DOMS Industries,"2,875.00","2,802.05","2,846.75","2,785.10",61.65,2.21
Delhivery,366.00,356.20,363.75,356.10,7.65,2.15
CG Power ,721.60,711.90,719.50,704.40,15.1,2.14
Cochin Shipyard,"1,530.00","1,505.00","1,529.00","1,497.20",31.8,2.12
Cochin Shipyard,"1,530.00","1,505.00","1,529.00","1,497.20",31.8,2.12
Borosil Renew,462.00,447.50,455.95,446.60,9.35,2.09
ONGC,272.15,268.65,271.65,266.15,5.5,2.07
Indiamart Inter,"2,561.95","2,511.75","2,550.90","2,500.00",50.9,2.04
Kalyan Jeweller,675.00,665.80,670.55,657.15,13.4,2.04
Ujjivan Small,39.00,38.15,38.85,38.09,0.76,2
Prince Pipes,487.35,477.25,482.50,473.10,9.4,1.99
Welspun Living,155.70,153.00,155.21,152.21,3,1.97
Indigo Paints,"1,684.80","1,652.05","1,677.70","1,645.40",32.3,1.96
Rattanindia Ent,77.59,74.72,75.65,74.20,1.45,1.95
Tejas Networks,"1,381.35","1,348.00","1,368.05","1,341.85",26.2,1.95
SAIL,118.18,116.36,118.00,115.75,2.25,1.94
UTI AMC,"1,373.95","1,346.00","1,359.35","1,333.50",25.85,1.94
Capri Global,207.50,204.00,206.39,202.49,3.9,1.93
Capri Global,207.50,204.00,206.39,202.49,3.9,1.93
Tata Tech,"1,028.80","1,012.00","1,025.75","1,006.30",19.45,1.93
NMDC Steel,48.55,47.68,48.40,47.49,0.91,1.92
Lemon Tree,120.41,118.40,120.00,117.75,2.25,1.91
Star Health,518.95,506.25,513.50,503.95,9.55,1.9
Chola Fin Hold,"1,755.85","1,715.35","1,747.95","1,715.35",32.6,1.9
IDFC First Bank,67.62,66.50,67.17,65.93,1.24,1.88
eClerx Services,"2,982.25","2,930.00","2,965.00","2,910.55",54.45,1.87
Medplus Health,680.00,667.10,679.25,666.85,12.4,1.86
Motherson SWI,64.06,63.19,63.97,62.80,1.17,1.86
Avenue Supermar,"4,008.00","3,939.95","4,003.00","3,930.70",72.3,1.84
Castrol,215.29,212.00,214.18,210.32,3.86,1.84
Eris Life,"1,349.70","1,323.15","1,347.45","1,323.15",24.3,1.84
PNC Infratech,325.10,320.00,324.00,318.15,5.85,1.84
Finolex Cables,"1,256.50","1,237.15","1,245.95","1,223.50",22.45,1.83
Grindwell Norto,"2,304.75","2,218.70","2,254.00","2,213.55",40.45,1.83
NHPC,84.38,83.01,84.11,82.60,1.51,1.83
Natco Pharma,"1,439.80","1,421.30","1,428.00","1,402.95",25.05,1.79
Amber Enterpris,"6,293.60","6,045.25","6,146.80","6,040.25",106.55,1.76
L&T Finance,148.70,146.70,148.54,146.00,2.54,1.74
New India Assur,200.62,196.99,199.35,195.94,3.41,1.74
Thermax,"5,012.75","4,969.00","5,011.00","4,925.45",85.55,1.74
TataTeleservice,75.00,73.69,74.71,73.45,1.26,1.72
Triveni Turbine,707.95,695.00,703.75,691.90,11.85,1.71
KEC Intl,"1,020.70",992.60,"1,001.50",984.90,16.6,1.69
Suzlon Energy,68.40,67.20,68.08,66.95,1.13,1.69
Phoenix Mills,"1,559.30","1,529.95","1,547.65","1,522.15",25.5,1.68
Jyothy Labs,535.00,521.50,527.75,519.10,8.65,1.67
Aditya Birla F,317.90,310.00,313.30,308.15,5.15,1.67
SKF India,"5,255.00","5,155.50","5,245.00","5,158.70",86.3,1.67
Emami,719.95,711.00,715.05,703.35,11.7,1.66
IOC,145.00,143.00,144.97,142.62,2.35,1.65
JSW Infra,323.40,320.00,320.10,314.90,5.2,1.65
JK Bank,102.40,100.88,102.08,100.43,1.65,1.64
RamkrishnaForge,942.55,934.95,935.95,920.85,15.1,1.64
