company_name,high,low,last_price,prev_close,change,percent_gain
Ipca Labs,"1,548.00","1,305.00","1,479.60","1,302.00",177.6,13.64
Transformers,318.20,285.75,318.20,289.30,28.9,9.99
Muthoot Finance,"3,755.00","3,580.00","3,725.60","3,393.10",332.5,9.8
HBL Eng,"1,051.90",960.90,"1,041.30",964.80,76.5,7.93
Jubilant Food,622.95,599.30,615.30,573.50,41.8,7.29
Bharat Dynamics,"1,633.40","1,583.20","1,613.80","1,517.90",95.9,6.32
Sagility,54.20,47.60,53.28,50.44,2.84,5.63
Garden Reach Sh,"2,904.40","2,741.60","2,897.10","2,749.80",147.3,5.36
Engineers India,203.40,190.11,200.25,190.48,9.77,5.13
Godawari Power,282.50,271.00,276.70,263.25,13.45,5.11
Bajaj Holdings,"12,642.00","12,019.00","12,570.00","11,981.00",589,4.92
Zen Tech,"1,472.90","1,368.00","1,434.40","1,367.60",66.8,4.88
NBCC (India),116.60,108.31,114.14,108.98,5.16,4.73
DOMS Industries,"2,633.00","2,505.90","2,621.70","2,509.00",112.7,4.49
Vodafone Idea,10.99,10.84,10.94,10.47,0.47,4.49
Star Health,531.85,500.50,522.45,500.85,21.6,4.31
City Union Bank,271.50,256.25,270.59,259.97,10.62,4.09
Amber Enterpris,"7,400.00","7,099.00","7,376.00","7,122.00",254,3.57
PG Electroplast,582.00,537.05,578.10,559.45,18.65,3.33
Data Patterns,"3,120.00","2,970.20","3,100.70","3,003.40",97.3,3.24
IDBI Bank,101.50,98.25,101.04,98.22,2.82,2.87
JSW Holdings,"17,290.00","16,630.00","17,192.00","16,721.00",471,2.82
Concord Biotech,"1,510.10","1,389.90","1,499.20","1,458.80",40.4,2.77
Home First,"1,203.90","1,159.70","1,200.30","1,168.10",32.2,2.76
Manappuram Fin,286.30,277.80,281.15,273.85,7.3,2.67
Swiggy,395.00,379.60,393.10,383.10,10,2.61
Usha Martin,466.50,448.35,459.55,448.15,11.4,2.54
BSE Limited,"2,834.00","2,740.30","2,827.60","2,760.20",67.4,2.44
Marico,741.85,712.40,738.70,722.00,16.7,2.31
Radico Khaitan,"3,265.70","3,180.00","3,259.90","3,187.10",72.8,2.28
Can Fin Homes,894.80,860.05,884.65,865.10,19.55,2.26
Apar Ind,"9,109.00","8,830.00","9,071.00","8,874.50",196.5,2.21
Rail Vikas,325.25,314.30,321.05,314.30,6.75,2.15
Eris Life,"1,553.80","1,510.00","1,550.40","1,518.10",32.3,2.13
Eternal,305.25,294.75,303.75,297.75,6,2.02
BLS Internation,334.20,318.85,328.55,322.30,6.25,1.94
Bank of Mah,58.13,56.75,58.01,56.96,1.05,1.84
Vijaya Diagnost,"1,064.85","1,038.00","1,060.40","1,041.20",19.2,1.84
Canara Bank,146.38,143.36,146.07,143.45,2.62,1.83
IIFL Finance,558.00,539.95,547.30,537.65,9.65,1.79
Mahanagar Gas,"1,256.00","1,227.10","1,253.30","1,231.80",21.5,1.75
Bharat Elec,428.70,418.70,426.85,419.80,7.05,1.68
Mazagon Dock,"2,797.00","2,727.90","2,782.10","2,736.00",46.1,1.68
Balrampur Chini,473.70,457.40,465.50,458.15,7.35,1.6
SJVN,84.13,81.90,83.44,82.13,1.31,1.6
Railtel,361.65,350.35,358.10,352.70,5.4,1.53
Trent,"4,399.90","4,327.00","4,391.20","4,326.40",64.8,1.5
SBI,969.05,952.00,967.85,954.00,13.85,1.45
IRB Infra,43.24,42.08,42.96,42.35,0.61,1.44
Whirlpool,"1,255.00","1,227.50","1,245.00","1,227.30",17.7,1.44
Varun Beverages,460.50,448.60,459.40,453.00,6.4,1.41
Gravita India,"1,758.40","1,715.00","1,742.20","1,718.50",23.7,1.38
Neuland Lab,"17,950.00","17,227.00","17,461.00","17,223.00",238,1.38
Adani Power,155.99,152.20,153.91,151.85,2.06,1.36
Jio Financial,315.70,309.30,314.90,310.70,4.2,1.35
Axis Bank,"1,246.00","1,222.00","1,241.60","1,225.20",16.4,1.34
Ircon Internati,167.80,161.20,163.27,161.13,2.14,1.33
Latent View,491.00,477.45,488.80,482.40,6.4,1.33
Bank of India,146.80,144.00,146.52,144.62,1.9,1.31
Bajaj Finance,"1,019.90","1,002.60","1,018.50","1,005.40",13.1,1.3
Welspun Living,139.20,137.50,138.33,136.58,1.75,1.28
CESC,174.75,171.01,174.41,172.22,2.19,1.27
Phoenix Mills,"1,741.60","1,710.00","1,736.40","1,714.80",21.6,1.26
BEML,"2,043.50","1,975.70","2,009.80","1,985.10",24.7,1.24
Bank of Baroda,287.45,281.30,286.75,283.25,3.5,1.24
FSN E-Co Nykaa,261.45,255.03,260.13,256.95,3.18,1.24
Central Bank,38.05,37.24,37.91,37.45,0.46,1.23
Motherson SWI,48.45,47.36,47.96,47.39,0.57,1.2
NAVA,553.10,538.10,549.25,542.75,6.5,1.2
Angel One,"2,757.00","2,710.70","2,745.30","2,713.50",31.8,1.17
Godrej Consumer,"1,152.00","1,127.70","1,146.50","1,133.40",13.1,1.16
Adani Enterpris,"2,553.70","2,481.00","2,516.80","2,488.20",28.6,1.15
Sun Pharma,"1,760.10","1,734.70","1,757.10","1,737.40",19.7,1.13
Tube Investment,"3,075.00","3,019.00","3,067.60","3,033.40",34.2,1.13
INDUS TOWERS,414.00,405.15,412.35,407.85,4.5,1.1
Deepak Nitrite,"1,745.50","1,711.50","1,741.00","1,722.10",18.9,1.1
APTUS VALUE,292.75,284.00,290.35,287.25,3.1,1.08
Fert and Chem,919.80,898.05,914.55,905.00,9.55,1.06
Cochin Shipyard,"1,751.00","1,696.50","1,725.30","1,707.30",18,1.05
KPIL,"1,275.00","1,237.20","1,253.20","1,240.20",13,1.05
Voltas,"1,385.50","1,299.30","1,350.90","1,336.90",14,1.05
Campus Active,274.50,267.50,272.70,269.90,2.8,1.04
Aurobindo Pharm,"1,231.90","1,202.90","1,222.50","1,210.20",12.3,1.02
RBL Bank,319.50,314.35,318.65,315.45,3.2,1.01
Triveni Turbine,544.50,531.05,540.55,535.25,5.3,0.99
Coal India,387.35,382.30,386.95,383.20,3.75,0.98
Adani Total Gas,634.90,621.60,625.15,619.30,5.85,0.94
Asian Paints,"2,909.90","2,862.00","2,906.40","2,879.40",27,0.94
PNB,122.58,121.35,122.21,121.07,1.14,0.94
Honasa Consumer,296.80,283.85,292.10,289.40,2.7,0.93
HUDCO,228.45,224.25,227.49,225.39,2.1,0.93
Adani Ports,"1,523.60","1,497.00","1,512.70","1,499.00",13.7,0.91
SignatureGlobal,"1,118.00","1,090.50","1,112.40","1,102.40",10,0.91
Dr Reddys Labs,"1,249.00","1,231.80","1,246.00","1,234.90",11.1,0.9
Gillette India,"8,565.00","8,414.00","8,539.00","8,463.50",75.5,0.89
KEC Intl,803.05,778.55,791.55,784.60,6.95,0.89
Solar Ind,"14,016.00","13,700.00","13,880.00","13,759.00",121,0.88
JK Bank,107.65,106.06,107.24,106.33,0.91,0.86
Lemon Tree,160.45,155.11,156.52,155.19,1.33,0.86
HUL,"2,430.20","2,392.00","2,427.70","2,407.60",20.1,0.83
Syrma SGS,902.10,878.00,894.35,887.00,7.35,0.83
CCL Products,"1,069.90","1,031.85","1,053.10","1,044.60",8.5,0.81
ABB India,"4,963.00","4,899.00","4,952.50","4,913.00",39.5,0.8
CreditAccess Gr,"1,374.50","1,343.00","1,366.70","1,355.80",10.9,0.8
Glenmark,"1,931.90","1,855.00","1,895.60","1,880.60",15,0.8
Saregama India,405.85,395.15,399.90,396.80,3.1,0.78
Aster DM Health,680.55,666.65,678.10,673.15,4.95,0.74
Sarda Energy,525.00,508.00,518.05,514.25,3.8,0.74
LIC India,910.75,897.60,909.45,902.85,6.6,0.73
MCX India,"9,744.00","9,439.50","9,666.50","9,597.00",69.5,0.72
Ambuja Cements,564.80,558.70,563.20,559.35,3.85,0.69
L&T Finance,296.75,290.15,294.15,292.20,1.95,0.67
Kirloskar Oil,"1,099.40","1,064.25","1,092.05","1,084.90",7.15,0.66
Shipping Corp,268.75,260.65,265.30,263.55,1.75,0.66
LT Foods,415.95,409.05,412.90,410.25,2.65,0.65
MOTHERSON,113.47,108.80,109.84,109.13,0.71,0.65
SBFC Finance,110.06,108.00,109.30,108.59,0.71,0.65
SBI Life Insura,"2,003.90","1,977.80","2,000.90","1,987.90",13,0.65
Bikaji Foods,716.80,705.05,711.95,707.50,4.45,0.63
Dixon Technolog,"15,570.00","15,232.00","15,419.00","15,323.00",96,0.63
Jyoti CNC Auto,975.65,945.50,955.35,949.40,5.95,0.63
Niva Bupa Healt,77.14,75.71,76.57,76.09,0.48,0.63
United Spirits,"1,432.40","1,412.80","1,429.40","1,420.80",8.6,0.61
ITC,408.75,400.10,408.15,405.70,2.45,0.6
Pfizer,"5,084.00","5,028.00","5,074.00","5,043.50",30.5,0.6
TBO Tek,"1,579.00","1,552.60","1,572.40","1,563.00",9.4,0.6
Siemens,"3,105.00","3,037.70","3,084.20","3,066.10",18.1,0.59
AWL Agri,274.70,270.10,274.20,272.65,1.55,0.57
Bharat Forge,"1,405.00","1,368.00","1,396.70","1,388.80",7.9,0.57
Torrent Power,"1,310.00","1,280.70","1,301.00","1,293.60",7.4,0.57
Union Bank,153.74,151.53,152.76,151.90,0.86,0.57
CRISIL,"4,673.90","4,600.00","4,639.20","4,613.70",25.5,0.55
Oil India,439.60,431.05,436.85,434.45,2.4,0.55
Delhivery,439.85,433.10,436.40,434.05,2.35,0.54
Dabur India,527.00,517.55,525.00,522.20,2.8,0.54
Hero Motocorp,"5,629.50","5,462.50","5,538.50","5,508.50",30,0.54
IDFC First Bank,81.00,79.75,80.43,80.00,0.43,0.54
Power Grid Corp,272.30,269.50,271.30,269.85,1.45,0.54
Reliance,"1,520.90","1,505.50","1,518.90","1,510.90",8,0.53
Atul,"5,952.00","5,860.50","5,916.50","5,886.00",30.5,0.52
Finolex Ind,190.90,184.80,188.04,187.14,0.9,0.48
Chola Fin Hold,"1,985.90","1,943.10","1,976.50","1,967.00",9.5,0.48
Jubilant Pharmo,"1,135.00","1,120.10","1,131.40","1,126.00",5.4,0.48
Bajaj Finserv,"2,072.00","2,044.20","2,065.80","2,056.20",9.6,0.47
Oberoi Realty,"1,763.70","1,733.80","1,752.40","1,744.20",8.2,0.47
Max Healthcare,"1,106.40","1,085.30","1,103.10","1,098.00",5.1,0.46
NTPC,327.05,327.05,328.45,326.95,1.5,0.46
Power Finance,375.45,371.15,374.60,372.90,1.7,0.46
Mankind Pharma,"2,286.70","2,252.60","2,267.10","2,257.00",10.1,0.45
Page Industries,"39,985.00","38,765.00","39,765.00","39,585.00",180,0.45
AU Small Financ,894.55,882.50,890.60,886.70,3.9,0.44
RITES,248.59,243.30,246.32,245.25,1.07,0.44
Bharti Airtel,"2,107.90","2,081.90","2,100.70","2,091.80",8.9,0.43
Indian Hotels,724.00,712.00,720.80,717.70,3.1,0.43
Vardhman Text,454.00,445.70,452.80,450.85,1.95,0.43
Cipla,"1,534.40","1,522.00","1,532.10","1,525.80",6.3,0.41
Raymond Life,"1,173.80","1,112.20","1,124.50","1,119.90",4.6,0.41
TITAGARH,887.35,846.00,866.45,863.00,3.45,0.4
Waaree Energies,"3,359.90","3,324.00","3,348.70","3,335.50",13.2,0.4
Capri Global,200.07,195.15,198.35,197.59,0.76,0.38
Shyam Metalics,860.00,844.95,855.80,852.55,3.25,0.38
Exide Ind,382.40,378.00,381.00,379.70,1.3,0.34
Happiest Minds ,506.95,499.15,504.85,503.15,1.7,0.34
Zee Entertain,101.50,99.80,100.48,100.14,0.34,0.34
General Insuran,402.00,388.95,393.05,391.80,1.25,0.32
Jyothy Labs,312.60,308.95,310.85,309.85,1,0.32
Dr Lal PathLab,"3,165.00","3,110.50","3,153.20","3,143.60",9.6,0.31
UNO Minda,"1,310.70","1,290.20","1,307.20","1,303.20",4,0.31
PNB Housing Fin,923.85,907.85,915.40,912.55,2.85,0.31
Bandhan Bank,155.26,153.40,154.59,154.13,0.46,0.3
Elgi Equipments,504.80,496.70,501.50,500.00,1.5,0.3
HDFC Bank,991.65,976.05,989.60,986.65,2.95,0.3
Alok Industries,17.37,17.20,17.31,17.26,0.05,0.29
Berger Paints,587.95,564.50,579.55,577.90,1.65,0.29
JBM Auto,635.25,628.00,633.40,631.55,1.85,0.29
Guj State Petro,304.60,300.65,302.15,301.35,0.8,0.27
Metropolis,"1,987.60","1,957.50","1,970.80","1,965.40",5.4,0.27
TATA Cons. Prod,"1,163.60","1,146.80","1,157.80","1,154.80",3,0.26
Hitachi Energy,"21,619.00","21,315.00","21,466.00","21,415.00",51,0.24
Adani Energy,"1,050.00","1,017.00","1,023.85","1,021.40",2.45,0.24
Five-Star Busin,652.50,636.10,643.90,642.35,1.55,0.24
JB Chemicals,"1,838.00","1,811.00","1,823.00","1,818.60",4.4,0.24
Tata Inv Corp,782.00,772.15,779.20,777.30,1.9,0.24
Chola Invest.,"1,726.90","1,705.10","1,714.60","1,710.60",4,0.23
Havells India,"1,473.00","1,453.60","1,469.40","1,466.10",3.3,0.23
HFCL,76.68,75.13,75.86,75.69,0.17,0.22
IRFC,121.99,120.40,121.01,120.75,0.26,0.22
Jubilant Ing.,689.50,670.50,683.00,681.50,1.5,0.22
Kotak Mahindra,"2,085.50","2,063.00","2,079.70","2,075.20",4.5,0.22
PB Fintech,"1,748.00","1,715.00","1,738.60","1,734.70",3.9,0.22
Indian Renew,150.95,148.31,149.61,149.29,0.32,0.21
Ola Electric,42.90,41.80,42.29,42.20,0.09,0.21
Triveni Engg,367.50,363.25,365.10,364.35,0.75,0.21
Federal Bank,237.19,235.08,236.26,235.79,0.47,0.2
Grasim,"2,790.00","2,761.00","2,783.40","2,777.80",5.6,0.2
Laurus Labs,"1,014.40",992.95,999.00,997.05,1.95,0.2
GMR Airports,99.19,94.65,95.67,95.49,0.18,0.19
