company_name,high,low,last_price,prev_close,change,percent_gain
Craftsman,"5,247.95","4,415.25","5,103.45","4,531.10",572.35,12.63
IIFL Finance,316.55,282.35,313.70,283.60,30.10,10.61
Adani Green Ene,857.90,769.00,848.70,768.55,80.15,10.43
Adani Energy,731.50,646.00,709.45,646.65,62.80,9.71
Akums Drugs P,523.50,472.15,515.65,475.95,39.70,8.34
COFORGE LTD.,"8,006.00","7,500.00","7,814.20","7,212.40",601.80,8.34
Hitachi Energy,"13,300.00","12,201.05","13,191.10","12,187.35","1,003.75",8.24
Redington,252.24,229.01,246.99,228.54,18.45,8.07
Adani Total Gas,600.00,544.35,589.90,547.15,42.75,7.81
Adani Wilmar,260.90,245.60,258.42,239.87,18.55,7.73
Ceat,"2,615.00","2,399.10","2,583.00","2,399.10",183.90,7.67
Hind Copper,219.22,202.85,217.41,202.34,15.07,7.45
Guj State Petro,297.90,272.00,291.80,271.80,20.00,7.36
Sona BLW,511.90,470.00,509.05,474.20,34.85,7.35
Deepak Fert,"1,060.15",975.80,"1,047.40",975.80,71.60,7.34
Engineers India,159.70,148.00,158.59,147.95,10.64,7.19
Bharti Hexacom,"1,460.00","1,284.90","1,381.30","1,288.80",92.50,7.18
PNC Infratech,274.40,251.95,271.55,253.40,18.15,7.16
Elecon Eng,422.45,392.50,419.55,392.25,27.30,6.96
Elecon Eng,422.45,392.50,419.55,392.25,27.30,6.96
Welspun Corp,760.00,712.15,757.85,708.65,49.20,6.94
3M India,"28,494.70","25,769.50","27,781.65","25,982.50","1,799.15",6.92
Jindal Saw,251.60,235.85,250.36,234.35,16.01,6.83
Jindal Saw,251.60,235.85,250.36,234.35,16.01,6.83
Quess Corp,632.70,595.25,627.25,587.85,39.40,6.7
TataTeleservice,60.40,56.00,59.68,56.00,3.68,6.57
Chambal Fert,573.55,535.10,571.10,536.20,34.90,6.51
KPIL,915.00,846.15,898.40,843.95,54.45,6.45
Godawari Power,164.79,153.37,163.73,153.82,9.91,6.44
Godawari Power,164.79,153.37,163.73,153.82,9.91,6.44
Inox Wind,154.85,143.39,153.93,144.74,9.19,6.35
Zee Entertain,98.90,92.49,98.41,92.54,5.87,6.34
Avanti Feeds,815.00,728.90,786.10,740.05,46.05,6.22
Easy Trip,11.90,11.03,11.78,11.09,0.69,6.22
Easy Trip,11.90,11.03,11.78,11.09,0.69,6.22
