company_name,high,low,last_price,prev_close,change,percent_gain
DCM Shriram,"1,279.00","1,169.30","1,268.50","1,174.20",94.3,8.03
Five-Star Busin,623.00,583.25,619.40,593.50,25.9,4.36
CreditAccess Gr,"1,363.00","1,324.10","1,359.20","1,328.30",30.9,2.33
IndusInd Bank,856.80,830.55,846.55,829.40,17.15,2.07
TBO Tek,"1,764.80","1,667.20","1,710.00","1,678.00",32,1.91
Escorts Kubota,"3,642.00","3,540.00","3,617.50","3,557.80",59.7,1.68
Ramco Cements,"1,032.70",992.10,"1,010.50",996.80,13.7,1.37
Narayana Hruda,"2,068.00","1,982.70","2,043.20","2,017.00",26.2,1.3
CESC,172.95,169.75,172.01,169.83,2.18,1.28
Cohance Life,601.85,576.15,589.30,581.85,7.45,1.28
Sammaan Capital,164.97,156.00,158.91,157.02,1.89,1.2
Campus Active,263.95,253.10,260.90,257.95,2.95,1.14
Global Health,"1,229.00","1,212.00","1,226.90","1,213.10",13.8,1.14
Maruti Suzuki,"16,150.00","15,737.00","15,977.00","15,801.00",176,1.11
Max Healthcare,"1,183.90","1,160.00","1,181.10","1,168.90",12.2,1.04
Interglobe Avi,"5,873.50","5,755.00","5,843.50","5,785.50",58,1
Finolex Ind,185.61,177.70,181.73,179.95,1.78,0.99
M&M,"3,779.00","3,726.00","3,749.60","3,716.70",32.9,0.89
Sundaram Fin,"4,748.90","4,652.30","4,703.20","4,661.50",41.7,0.89
Balkrishna Ind,"2,372.00","2,295.20","2,319.50","2,299.70",19.8,0.86
Lemon Tree,155.00,152.50,153.75,152.46,1.29,0.85
Page Industries,"38,980.00","38,160.00","38,885.00","38,565.00",320,0.83
TATA Cons. Prod,"1,187.00","1,162.50","1,183.10","1,173.90",9.2,0.78
Firstsource Sol,361.80,347.80,359.65,356.90,2.75,0.77
United Spirits,"1,430.00","1,395.30","1,427.10","1,416.20",10.9,0.77
GMR Airports,105.49,102.55,104.05,103.27,0.78,0.76
TMPV,364.25,358.00,362.25,359.80,2.45,0.68
Godrej Agrovet,579.00,567.90,574.85,571.20,3.65,0.64
BASF,"4,420.00","4,325.00","4,395.30","4,368.80",26.5,0.61
Asian Paints,"2,895.60","2,854.10","2,876.60","2,859.80",16.8,0.59
ITC,408.50,404.70,407.85,405.45,2.4,0.59
Infosys,"1,551.50","1,526.30","1,545.00","1,536.50",8.5,0.55
APL Apollo,"1,732.70","1,703.00","1,730.30","1,721.20",9.1,0.53
Marico,743.00,733.00,739.90,736.15,3.75,0.51
Dr Lal PathLab,"3,165.50","3,083.00","3,142.20","3,127.40",14.8,0.47
PTC Industries,"17,290.00","16,936.00","17,231.00","17,153.00",78,0.45
SBI Card,881.25,867.80,878.05,874.10,3.95,0.45
Mah Seamless,574.75,560.70,573.50,571.00,2.5,0.44
Biocon,401.90,395.00,396.85,395.15,1.7,0.43
Ipca Labs,"1,455.50","1,426.90","1,444.00","1,438.20",5.8,0.4
Can Fin Homes,891.00,880.90,884.95,881.60,3.35,0.38
Tech Mahindra,"1,469.00","1,440.00","1,461.50","1,456.00",5.5,0.38
Chambal Fert,462.90,454.50,459.15,457.50,1.65,0.36
Gujarat Pipavav,181.00,176.50,177.95,177.31,0.64,0.36
LT Foods,410.50,401.45,409.55,408.25,1.3,0.32
MRF,"154,750.00","152,000.00","152,435.00","151,950.00",485,0.32
Petronet LNG,276.90,272.90,275.15,274.35,0.8,0.29
MphasiS,"2,777.20","2,713.50","2,747.10","2,740.40",6.7,0.24
HDFC Life,766.20,758.60,764.00,762.20,1.8,0.24
HUL,"2,443.20","2,413.00","2,433.70","2,428.40",5.3,0.22
Bharti Airtel,"2,174.50","2,148.60","2,162.70","2,158.30",4.4,0.2
Poonawalla Fin,474.90,462.85,469.30,468.45,0.85,0.18
TCS,"3,170.00","3,135.20","3,150.60","3,144.80",5.8,0.18
Tata Comm,"1,948.10","1,896.00","1,920.90","1,917.40",3.5,0.18
Alembic Pharma,958.00,890.65,901.00,899.45,1.55,0.17
Gravita India,"1,714.90","1,682.00","1,704.20","1,701.60",2.6,0.15
PG Electroplast,607.35,585.95,591.40,590.55,0.85,0.14
Power Grid Corp,279.00,275.40,277.60,277.20,0.4,0.14
Godrej Ind,"1,061.70","1,037.00","1,049.40","1,048.00",1.4,0.13
Nestle,"1,288.90","1,273.00","1,280.80","1,279.20",1.6,0.13
Mankind Pharma,"2,247.20","2,210.00","2,242.10","2,239.50",2.6,0.12
GNFC,494.65,489.55,492.30,491.75,0.55,0.11
Triveni Engg,362.50,357.30,361.65,361.25,0.4,0.11
Eicher Motors,"7,205.00","7,088.50","7,132.50","7,125.50",7,0.1
Sun Pharma,"1,787.40","1,773.70","1,778.90","1,777.40",1.5,0.08
Federal Bank,247.60,244.00,245.06,244.93,0.13,0.05
Hero Motocorp,"6,038.00","5,957.50","6,002.50","5,999.50",3,0.05
Titan Company,"3,925.00","3,882.10","3,904.20","3,902.40",1.8,0.05
Colgate,"2,195.00","2,167.40","2,180.60","2,179.70",0.9,0.04
Akums Drugs P,424.10,415.35,421.65,421.55,0.1,0.02
NTPC,328.40,325.00,326.65,326.60,0.05,0.02
Ceat,"3,943.20","3,856.10","3,877.80","3,877.50",0.3,0.01
