company_name,high,low,last_price,prev_close,change,percent_gain
Tata Inv Corp,"6,721.00","5,852.00","6,474.70","5,852.00",622.70,10.64
ABB India,"5,134.00","4,640.00","4,984.70","4,524.50",460.20,10.17
Epigral,"1,265.00","1,112.55","1,221.90","1,132.45",89.45,7.9
Sterlite Techno,147.00,133.10,144.85,134.45,10.40,7.74
Sobha,"1,516.45","1,380.20","1,480.00","1,386.80",93.20,6.72
Raymond,"1,909.90","1,770.05","1,873.70","1,771.20",102.50,5.79
One 97 Paytm,395.05,395.05,395.05,376.25,18.80,5
Guj Amb Exports,412.00,386.90,403.50,386.10,17.40,4.51
CAMS,"3,039.95","2,863.50","2,989.55","2,861.45",128.10,4.48
General Insuran,449.45,410.00,425.20,407.55,17.65,4.33
Clean Science,"1,477.05","1,412.45","1,465.60","1,406.45",59.15,4.21
CHEMPLAST SANMA,495.00,460.00,474.00,455.05,18.95,4.16
Concord Biotech,"1,472.60","1,388.40","1,443.40","1,387.30",56.10,4.04
Piramal Enter,964.50,883.85,922.35,886.55,35.80,4.04
Kalyan Jeweller,388.00,364.55,376.25,364.55,11.70,3.21
UTI AMC,960.95,909.15,934.90,908.45,26.45,2.91
Sapphire Foods,"1,455.00","1,405.00","1,448.90","1,408.00",40.90,2.9
Campus Active,275.80,249.05,252.00,245.05,6.95,2.84
Guj State Petro,376.00,362.30,373.75,363.45,10.30,2.83
Union Bank,150.80,144.15,145.10,141.10,4.00,2.83
DLF,896.75,863.90,886.85,863.90,22.95,2.66
Archean Chem,767.30,731.05,759.15,739.85,19.30,2.61
Elgi Equipments,669.80,631.60,646.70,630.25,16.45,2.61
Alembic Pharma,"1,094.00","1,030.10","1,075.15","1,048.00",27.15,2.59
Phoenix Mills,"2,942.00","2,810.05","2,896.15","2,826.65",69.50,2.46
Westlife Food,825.00,803.95,822.75,803.95,18.80,2.34
Global Health,"1,480.00","1,374.80","1,432.25","1,400.45",31.80,2.27
Prestige Estate,"1,204.10","1,166.00","1,190.25","1,164.50",25.75,2.21
Brigade Ent,"1,018.40",983.35,"1,005.00",983.55,21.45,2.18
Avenue Supermar,"3,889.00","3,752.00","3,835.75","3,756.20",79.55,2.12
Tata Steel,146.20,141.45,143.90,141.05,2.85,2.02
Tata Steel,146.20,141.45,143.90,141.05,2.85,2.02
Sunteck Realty,502.20,482.25,492.50,483.10,9.40,1.95
ICICI Securitie,821.15,799.45,812.90,797.50,15.40,1.93
Piramal Pharma,136.80,132.05,134.90,132.35,2.55,1.93
Godrej Prop,"2,369.00","2,301.35","2,343.35","2,299.40",43.95,1.91
Gujarat Gas,569.75,554.00,565.55,555.00,10.55,1.9
JM Financial,106.00,101.35,102.75,100.85,1.90,1.88
eClerx Services,"2,523.70","2,379.10","2,449.05","2,404.15",44.90,1.87
Varun Beverages,"1,473.55","1,442.75","1,464.20","1,437.50",26.70,1.86
Varun Beverages,"1,473.55","1,442.75","1,464.20","1,437.50",26.70,1.86
KFin Tech,688.00,643.25,651.00,639.25,11.75,1.84
Vijaya Diagnost,650.00,628.95,645.00,633.35,11.65,1.84
JK Lakshmi Cem,975.00,944.50,959.10,942.00,17.10,1.82
Quess Corp,545.25,525.85,534.95,525.65,9.30,1.77
Tejas Networks,758.00,737.50,750.50,737.75,12.75,1.73
SKF India,"4,585.45","4,486.30","4,557.20","4,480.95",76.25,1.7
Macrotech Dev,"1,179.30","1,109.45","1,136.20","1,117.55",18.65,1.67
Sundram,"1,122.00","1,093.15","1,111.00","1,093.10",17.90,1.64
Berger Paints,575.85,561.50,572.25,563.35,8.90,1.58
Go Fashion,"1,172.00","1,143.10","1,167.20","1,149.10",18.10,1.58
Indian Hotels,564.65,546.15,557.00,548.65,8.35,1.52
Jindal Steel,785.00,761.85,771.50,760.00,11.50,1.51
SBI,777.50,759.60,771.50,760.10,11.40,1.5
Sonata,859.90,821.15,833.45,821.15,12.30,1.5
JB Chemicals,"1,675.00","1,658.10","1,673.25","1,648.95",24.30,1.47
JB Chemicals,"1,675.00","1,658.10","1,673.25","1,648.95",24.30,1.47
Deepak Fert,527.40,514.55,522.05,514.55,7.50,1.46
Solar Ind,"6,747.90","6,623.00","6,687.90","6,593.75",94.15,1.43
Havells India,"1,419.70","1,397.10","1,414.85","1,395.20",19.65,1.41
Poly Medicure,"1,729.00","1,547.80","1,613.40","1,591.30",22.10,1.39
P and G,"16,816.00","16,569.95","16,778.10","16,554.95",223.15,1.35
HFCL,115.75,108.50,112.20,110.85,1.35,1.22
Kaynes Tech,"2,845.00","2,717.75","2,811.05","2,778.20",32.85,1.18
Syrma SGS,524.70,512.00,517.30,511.30,6.00,1.17
360 ONE WAM,744.90,707.75,713.70,705.50,8.20,1.16
360 ONE WAM,744.90,707.75,713.70,705.50,8.20,1.16
Data Patterns,"2,110.00","2,018.20","2,060.45","2,036.95",23.50,1.15
J. K. Cement,"4,294.00","4,204.60","4,249.85","4,201.70",48.15,1.15
Relaxo Footwear,853.60,832.25,841.05,832.10,8.95,1.08
Honeywell Autom,"37,790.00","37,021.15","37,512.90","37,114.55",398.35,1.07
Rashtriya Chem,154.65,148.00,150.70,149.15,1.55,1.04
Sundaram Fin,"4,241.90","4,145.90","4,159.80","4,119.65",40.15,0.97
Thermax,"3,581.95","3,486.05","3,544.20","3,511.65",32.55,0.93
FDC,463.70,447.65,454.05,449.95,4.10,0.91
JBM Auto,"2,414.25","2,272.00","2,310.25","2,289.50",20.75,0.91
Capri Global,967.85,950.95,958.05,949.55,8.50,0.9
Oberoi Realty,"1,354.00","1,302.20","1,321.35","1,309.50",11.85,0.9
Adani Total Gas,"1,046.00","1,011.05","1,021.05","1,012.05",9.00,0.89
IndusInd Bank,"1,526.80","1,502.50","1,517.25","1,504.20",13.05,0.87
Rossari,780.00,756.05,767.00,760.40,6.60,0.87
JSW Steel,850.00,820.95,828.25,821.20,7.05,0.86
Devyani Int,175.00,165.50,167.05,165.75,1.30,0.78
