company_name,high,low,last_price,prev_close,change,percent_gain
Sonata,381.00,329.15,373.60,329.75,43.85,13.3
Alkem Lab,"5,207.50","4,822.00","5,149.00","4,844.50",304.5,6.29
SJVN,98.90,92.60,97.99,93.01,4.98,5.35
Jindal Stainles,715.55,675.25,713.15,678.30,34.85,5.14
Himadri Special,480.90,447.75,469.30,446.45,22.85,5.12
Valor Estate,187.40,176.46,185.59,177.46,8.13,4.58
PCBL Chemical,387.50,369.65,385.50,368.90,16.6,4.5
Mah Seamless,698.00,655.60,679.95,653.95,26,3.98
Sammaan Capital,125.46,115.51,119.48,114.97,4.51,3.92
Biocon,357.50,340.10,354.90,342.10,12.8,3.74
ACME Solar,287.00,272.85,285.90,275.65,10.25,3.72
TBO Tek,"1,459.00","1,395.70","1,445.40","1,394.80",50.6,3.63
Wockhardt,"1,529.80","1,455.70","1,515.60","1,463.00",52.6,3.6
Fert and Chem,959.85,914.75,947.50,914.75,32.75,3.58
Alivus Life,974.00,925.80,959.70,927.40,32.3,3.48
CreditAccess Gr,"1,313.00","1,259.00","1,301.90","1,259.10",42.8,3.4
Granules India,460.90,440.00,455.10,440.55,14.55,3.3
India Cements,370.00,356.05,368.80,357.10,11.7,3.28
NLC India,241.69,232.25,240.22,232.69,7.53,3.24
Usha Martin,355.90,339.80,350.20,339.50,10.7,3.15
TITAGARH,818.00,776.00,799.45,776.15,23.3,3
Ipca Labs,"1,395.60","1,343.30","1,376.70","1,336.70",40,2.99
APTUS VALUE,345.70,333.25,344.55,334.75,9.8,2.93
GE Shipping,977.50,946.85,973.95,946.85,27.1,2.86
Concord Biotech,"1,681.20","1,583.80","1,648.30","1,604.10",44.2,2.76
Chambal Fert,539.00,519.50,536.65,522.25,14.4,2.76
Aster DM Health,605.75,584.00,603.95,587.85,16.1,2.74
Graphite India,539.00,521.05,537.10,523.30,13.8,2.64
Narayana Hruda,"1,832.50","1,773.80","1,811.80","1,765.60",46.2,2.62
Adani Total Gas,615.50,596.05,611.85,596.30,15.55,2.61
MCX India,"8,230.00","7,914.50","8,151.50","7,947.00",204.5,2.57
Minda Corp,478.30,462.00,471.35,459.65,11.7,2.55
TataTeleservice,59.99,57.50,59.14,57.70,1.44,2.5
Hyundai Motor,"2,239.90","2,172.10","2,205.10","2,151.70",53.4,2.48
Metropolis,"2,106.40","2,050.10","2,092.90","2,043.40",49.5,2.42
Vardhman Text,402.80,389.25,399.65,390.25,9.4,2.41
Petronet LNG,281.80,272.25,279.55,273.10,6.45,2.36
Anand Rathi,"2,783.80","2,678.70","2,755.60","2,693.60",62,2.3
Latent View,400.45,388.65,397.35,388.65,8.7,2.24
Rainbow Child,"1,548.00","1,512.60","1,537.60","1,503.90",33.7,2.24
Star Health,446.10,434.00,444.85,435.25,9.6,2.21
Zensar Tech,823.80,788.00,808.80,791.55,17.25,2.18
Max Financial,"1,595.60","1,535.00","1,588.40","1,556.40",32,2.06
Lemon Tree,147.40,142.80,144.99,142.11,2.88,2.03
Patanjali Foods,"1,825.50","1,771.50","1,819.30","1,783.30",36,2.02
Jyothy Labs,340.95,325.65,332.75,326.45,6.3,1.93
Maruti Suzuki,"12,959.00","12,606.00","12,840.00","12,597.00",243,1.93
Elgi Equipments,522.40,508.35,518.55,508.90,9.65,1.9
SUMITOMO,596.80,579.60,594.50,583.40,11.1,1.9
Tech Mahindra,"1,517.40","1,481.00","1,509.30","1,481.10",28.2,1.9
Aegis Logistics,721.65,705.65,720.45,707.40,13.05,1.84
Hero Motocorp,"4,669.60","4,571.00","4,645.20","4,562.20",83,1.82
PG Electroplast,536.90,513.05,515.20,506.00,9.2,1.82
PG Electroplast,536.90,513.05,515.20,506.00,9.2,1.82
Ajanta Pharma,"2,714.00","2,633.30","2,697.30","2,649.30",48,1.81
Apollo Tyres,448.95,434.80,446.65,438.90,7.75,1.77
Sundram,951.00,922.00,943.05,926.80,16.25,1.75
CESC,166.34,162.00,164.81,161.99,2.82,1.74
EID Parry,"1,175.00","1,141.70","1,168.40","1,148.40",20,1.74
Bombay Burmah,"1,899.00","1,825.00","1,866.90","1,835.50",31.4,1.71
MphasiS,"2,732.80","2,674.90","2,717.80","2,672.20",45.6,1.71
KPIT Tech,"1,227.00","1,191.20","1,219.40","1,199.10",20.3,1.69
IGL,208.83,202.63,206.03,202.63,3.4,1.68
Shipping Corp,213.73,203.02,205.75,202.36,3.39,1.68
JM Financial,167.60,158.55,162.65,159.99,2.66,1.66
Balrampur Chini,567.90,537.55,560.85,551.80,9.05,1.64
Avenue Supermar,"4,273.40","4,184.50","4,252.50","4,184.50",68,1.63
M&M,"3,253.00","3,185.10","3,236.50","3,186.20",50.3,1.58
Sun TV Network,585.00,571.00,576.90,567.90,9,1.58
PVR INOX,"1,106.70","1,075.20","1,090.10","1,073.50",16.6,1.55
Welspun Corp,887.55,858.10,876.65,863.40,13.25,1.53
IGIL,342.80,328.45,334.25,329.25,5,1.52
Triveni Engg,343.20,333.00,340.15,335.10,5.05,1.51
Niva Bupa Healt,81.73,79.86,80.83,79.65,1.18,1.48
Navin Fluorine,"4,914.00","4,808.50","4,895.50","4,824.50",71,1.47
Hind Zinc,424.45,418.80,423.45,417.40,6.05,1.45
Mahanagar Gas,"1,359.00","1,332.50","1,356.80","1,337.40",19.4,1.45
Kansai Nerolac,239.59,233.77,238.36,235.02,3.34,1.42
Timken,"2,911.90","2,835.00","2,891.30","2,851.40",39.9,1.4
Radico Khaitan,"2,915.00","2,845.60","2,895.50","2,856.30",39.2,1.37
EIH,365.20,359.10,364.50,359.65,4.85,1.35
Premier Energie,"1,022.90",998.50,"1,017.10","1,003.60",13.5,1.35
