company_name,high,low,last_price,prev_close,change,percent_gain
Gujarat Fluoro,"3,735.00","3,388.20","3,638.30","3,368.50",269.80,8.01
Action Const,"1,158.50","1,085.10","1,143.40","1,061.20",82.20,7.75
AFFLE 3I,"2,108.90","1,937.00","2,070.20","1,941.60",128.60,6.62
Intellect Desig,976.50,905.00,959.80,902.40,57.40,6.36
Motherson SWI,50.54,46.43,50.05,47.26,2.79,5.9
Railtel,367.80,355.50,365.80,345.95,19.85,5.74
Infosys,"1,507.20","1,472.50","1,504.30","1,432.90",71.40,4.98
Asahi India,884.00,826.80,875.70,834.25,41.45,4.97
TITAGARH,886.00,839.10,885.70,845.00,40.70,4.82
Amber Enterpris,"7,836.00","7,376.50","7,817.00","7,473.00",344.00,4.6
Raymond Life,"1,322.90","1,220.80","1,284.10","1,228.80",55.30,4.5
TBO Tek,"1,688.00","1,578.40","1,642.60","1,578.30",64.30,4.07
Olectra Greente,"1,575.00","1,492.70","1,567.90","1,507.90",60.00,3.98
Sonata,373.00,355.15,369.50,355.40,14.10,3.97
JSW Infra,313.90,301.45,313.05,301.25,11.80,3.92
Tata Comm,"1,614.40","1,547.20","1,603.50","1,547.00",56.50,3.65
Sagility India,43.95,41.73,43.54,42.02,1.52,3.62
Alivus Life,957.00,917.60,952.00,920.55,31.45,3.42
Devyani Int,189.00,179.00,186.32,180.19,6.13,3.4
Dr Reddys Labs,"1,295.80","1,256.80","1,291.30","1,250.60",40.70,3.25
RITES,270.80,261.59,269.87,261.44,8.43,3.22
Glenmark,"2,119.90","2,062.00","2,116.30","2,051.90",64.40,3.14
Welspun Corp,887.90,856.05,885.15,858.90,26.25,3.06
Chennai Petro,729.00,702.90,723.15,702.40,20.75,2.95
Wipro,249.85,245.00,249.18,242.52,6.66,2.75
Jindal Stainles,774.90,741.70,769.05,748.70,20.35,2.72
KEC Intl,881.30,856.15,879.15,856.15,23.00,2.69
Aditya Birla F,92.48,89.50,91.25,88.86,2.39,2.69
PG Electroplast,569.95,548.25,566.25,551.75,14.50,2.63
Tube Investment,"3,169.00","3,079.30","3,151.50","3,072.30",79.20,2.58
Zydus Life,"1,038.70","1,009.20","1,035.60","1,009.65",25.95,2.57
Tech Mahindra,"1,500.00","1,465.70","1,498.20","1,460.70",37.50,2.57
Waaree Energies,"3,265.00","3,151.20","3,259.10","3,177.50",81.60,2.57
Bajaj Holdings,"13,100.00","12,776.00","13,091.00","12,771.00",320.00,2.51
Godfrey Phillip,"10,992.00","10,602.00","10,925.00","10,657.00",268.00,2.51
Adani Ports,"1,382.00","1,348.30","1,381.70","1,348.30",33.40,2.48
eClerx Services,"4,404.00","4,220.00","4,338.20","4,234.50",103.70,2.45
GE Shipping,996.00,952.00,975.15,951.90,23.25,2.44
Engineers India,212.90,201.82,205.70,200.84,4.86,2.42
