company_name,high,low,last_price,prev_close,change,percent_gain
Adani Power,723.00,665.35,709.40,631.35,78.05,12.36
Alivus Life,"1,078.40",947.25,"1,047.45",946.85,100.6,10.62
Anant Raj,647.80,580.15,640.40,585.50,54.9,9.38
Netweb,"3,305.00","3,050.40","3,279.40","3,037.70",241.7,7.96
Tanla Platforms,766.00,696.10,753.70,699.60,54.1,7.73
Ipca Labs,"1,506.90","1,333.80","1,441.00","1,340.80",100.2,7.47
Adani Total Gas,687.75,634.25,651.45,606.95,44.5,7.33
Vodafone Idea,8.60,8.14,8.40,7.84,0.56,7.14
SUMITOMO,617.45,555.80,601.80,564.55,37.25,6.6
PCBL Chemical,425.95,384.20,413.55,388.10,25.45,6.56
Aster DM Health,658.65,614.20,650.55,613.90,36.65,5.97
Dr Lal PathLab,"3,540.00","3,276.10","3,473.50","3,285.40",188.1,5.73
Adani Green Ene,"1,071.00","1,003.00","1,030.70",978.90,51.8,5.29
Adani Enterpris,"2,579.00","2,466.10","2,524.00","2,402.00",122,5.08
Valor Estate,176.50,167.11,175.37,167.45,7.92,4.73
Adani Energy,899.00,855.20,877.15,837.60,39.55,4.72
Metropolis,"2,150.00","2,044.20","2,133.60","2,047.20",86.4,4.22
Gillette India,"10,553.00","9,928.00","10,352.00","9,940.00",412,4.14
Vishal Mega Mar,153.40,146.70,152.35,146.35,6,4.1
Redington,314.40,286.86,299.73,288.14,11.59,4.02
NMDC Steel,47.15,44.90,46.92,45.17,1.75,3.87
Guj Mineral,586.90,547.25,572.05,552.05,20,3.62
Chola Fin Hold,"2,046.30","1,948.00","2,019.50","1,951.40",68.1,3.49
Indian Renew,161.20,154.11,160.87,155.53,5.34,3.43
Minda Corp,550.50,532.55,549.25,531.45,17.8,3.35
Hyundai Motor,"2,849.50","2,679.20","2,809.30","2,720.80",88.5,3.25
Swiggy,474.00,440.85,458.45,444.50,13.95,3.14
Sammaan Capital,145.49,137.61,143.21,139.19,4.02,2.89
Bayer CropScien,"5,489.00","5,179.00","5,347.00","5,197.50",149.5,2.88
Capri Global,195.00,184.10,190.66,185.41,5.25,2.83
GE Vernova TD,"3,117.80","2,975.10","3,068.70","2,985.90",82.8,2.77
Godrej Prop,"2,148.00","2,078.90","2,145.20","2,087.60",57.6,2.76
New India Assur,202.50,194.39,201.29,195.95,5.34,2.73
Union Bank,141.23,136.52,140.30,136.59,3.71,2.72
CESC,171.45,164.67,169.46,165.00,4.46,2.7
HUDCO,229.33,222.60,229.04,223.03,6.01,2.69
